Date,Open,High,Low,Close,Adj Close,Volume,MFII_14,MFI_Recommend_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,BB_Recommend_20,CCI_20,CCI_Recommend_20,SO_14,SO_Recommend_14
2019-01-01,1215.0,1215.0,1215.0,1215.0,900.407470703125,0,,,,,,,,,,
2019-01-02,1215.0,1225.0,1215.0,1225.0,907.8181762695312,17086200,,,,,,,,,,
2019-01-03,1225.0,1235.0,1215.0,1230.0,911.5235595703125,26738400,,,,,,,,,,
2019-01-04,1220.0,1390.0,1220.0,1390.0,1030.095947265625,258453600,,,,,,,,,,
2019-01-07,1410.0,1430.0,1365.0,1390.0,1030.095947265625,188434700,,,,,,,,,,
2019-01-08,1395.0,1415.0,1360.0,1410.0,1044.917236328125,87842100,,,,,,,,,,
2019-01-09,1425.0,1435.0,1380.0,1395.0,1033.80126953125,112359400,,,,,,,,,,
2019-01-10,1395.0,1415.0,1370.0,1405.0,1041.2119140625,59780600,,,,,,,,,,
2019-01-11,1405.0,1420.0,1395.0,1405.0,1041.2119140625,38608700,,,,,,,,,,
2019-01-14,1405.0,1415.0,1385.0,1410.0,1044.917236328125,49808900,,,,,,,,,,
2019-01-15,1420.0,1470.0,1405.0,1460.0,1081.97119140625,114172600,,,,,,,,,,
2019-01-16,1475.0,1495.0,1455.0,1460.0,1081.97119140625,84230700,,,,,,,,,,
2019-01-17,1480.0,1510.0,1455.0,1460.0,1081.97119140625,142090600,,,,,,,,,,
2019-01-18,1480.0,1495.0,1475.0,1485.0,1100.498046875,86803600,90.72492166406735,SELL,,,,,,,91.52542372881356,SELL
2019-01-21,1495.0,1505.0,1445.0,1470.0,1089.3818359375,42644600,87.40435034459556,SELL,,,,,,,86.44067796610169,SELL
2019-01-22,1460.0,1460.0,1375.0,1410.0,1044.917236328125,66118800,82.68731358574789,SELL,,,,,,,66.10169491525424,HOLD
2019-01-23,1410.0,1420.0,1370.0,1380.0,1022.6851806640625,99859900,76.3320718425181,HOLD,,,,,,,55.172413793103445,HOLD
2019-01-24,1385.0,1405.0,1380.0,1380.0,1022.6851806640625,55564000,67.70455349338766,HOLD,,,,,,,13.333333333333334,BUY
2019-01-25,1380.0,1410.0,1380.0,1395.0,1033.80126953125,59077400,63.678178667478,HOLD,,,,,,,23.333333333333332,HOLD
2019-01-28,1400.0,1430.0,1380.0,1390.0,1030.095947265625,97669800,66.81333831686266,HOLD,1388.25,1540.1800826038082,1236.3199173961918,BUY,16.161616161616323,SELL,14.285714285714286,BUY
2019-01-29,1390.0,1390.0,1335.0,1340.0,993.0419921875,76464700,58.86912060466716,HOLD,1394.5,1526.3673575984594,1262.6326424015406,BUY,-57.66840666169495,BUY,2.857142857142857,BUY
2019-01-30,1340.0,1375.0,1340.0,1350.0,1000.4527587890625,56906800,62.26690343934363,HOLD,1400.75,1509.7580272273558,1291.7419727726442,BUY,-80.88016651798974,BUY,8.571428571428571,BUY
2019-01-31,1365.0,1415.0,1360.0,1390.0,1030.095947265625,109294400,64.64786395738739,HOLD,1408.75,1485.0307315119614,1332.4692684880386,BUY,-42.798792399219,BUY,31.428571428571427,HOLD
2019-02-01,1395.0,1400.0,1365.0,1375.0,1018.9796752929688,45433300,64.95076258463058,HOLD,1408.0,1485.291655435758,1330.708344564242,BUY,-68.60011154489682,BUY,22.857142857142858,HOLD
2019-02-04,1370.0,1380.0,1355.0,1360.0,1007.8635864257812,41270100,58.339980281608916,HOLD,1406.5,1486.2558775263615,1326.7441224736385,BUY,-95.83107742284814,BUY,14.285714285714286,BUY
2019-02-05,1360.0,1360.0,1360.0,1360.0,1007.8635864257812,0,54.38528598773026,HOLD,1404.0,1486.255698890715,1321.744301109285,BUY,-99.47643979057591,BUY,14.285714285714286,BUY
2019-02-06,1370.0,1380.0,1355.0,1365.0,1011.5689697265625,36227000,48.004224399963434,HOLD,1402.5,1486.4344982709729,1318.5655017290271,BUY,-78.7083753784053,BUY,17.647058823529413,BUY
2019-02-07,1375.0,1380.0,1335.0,1345.0,996.7473754882812,45892300,39.01673141519432,HOLD,1399.5,1487.0728268357254,1311.9271731642746,BUY,-96.80012863804482,BUY,5.882352941176471,BUY
2019-02-08,1330.0,1330.0,1305.0,1305.0,967.1043090820312,65555100,38.19205277272569,HOLD,1394.5,1491.1902270139024,1297.8097729860976,BUY,-151.5957446808515,BUY,0.0,BUY
2019-02-11,1300.0,1305.0,1255.0,1260.0,933.7559814453125,62534100,38.681617526601485,HOLD,1387.0,1499.6676528556443,1274.3323471443557,BUY,-189.03891977760128,BUY,2.857142857142857,BUY
2019-02-12,1275.0,1290.0,1240.0,1275.0,944.8721313476562,85248600,39.805352138607184,HOLD,1377.75,1495.2010536351208,1260.2989463648792,BUY,-172.534332084894,BUY,18.42105263157895,BUY
2019-02-13,1295.0,1300.0,1260.0,1260.0,933.7559814453125,89133300,48.869527015580225,HOLD,1367.75,1489.465857635725,1246.034142364275,BUY,-147.549019607843,BUY,10.526315789473685,BUY
2019-02-14,1265.0,1280.0,1240.0,1240.0,918.934326171875,51789900,41.99880227322317,HOLD,1356.75,1482.8164507313506,1230.6835492686494,BUY,-158.93798872522262,BUY,0.0,BUY
2019-02-15,1240.0,1245.0,1215.0,1220.0,904.11279296875,54815800,31.302537314272115,HOLD,1343.5,1468.5639836243836,1218.4360163756164,BUY,-167.46085772634393,BUY,2.5,BUY
2019-02-18,1240.0,1265.0,1240.0,1245.0,922.6397705078125,45571400,38.76625936514002,HOLD,1332.25,1450.0411286982178,1214.4588713017822,BUY,-115.42223671340054,BUY,15.0,BUY
2019-02-19,1270.0,1310.0,1270.0,1295.0,959.6937255859375,81308800,44.81118706467432,HOLD,1326.5,1439.6856881412139,1213.3143118587861,BUY,-53.29838357361306,BUY,40.0,HOLD
2019-02-20,1305.0,1350.0,1285.0,1345.0,996.7473754882812,103338100,44.04103258909567,HOLD,1324.75,1435.6316937100082,1213.8683062899918,BUY,-3.4305317324182134,BUY,70.27027027027027,HOLD
2019-02-21,1345.0,1420.0,1330.0,1415.0,1048.6226806640625,155986100,56.40902782720591,HOLD,1326.5,1441.8299614150637,1211.1700385849363,SELL,81.18925100057152,SELL,97.5609756097561,SELL
2019-02-22,1420.0,1460.0,1410.0,1410.0,1044.917236328125,144782800,65.41045637399246,HOLD,1327.25,1444.530646314727,1209.969353685273,SELL,127.86757762595133,SELL,79.59183673469387,HOLD
2019-02-25,1430.0,1430.0,1380.0,1405.0,1041.2119140625,68473000,61.0691571595969,HOLD,1328.0,1447.0546093185817,1208.9453906814183,SELL,98.20836098208366,SELL,77.55102040816327,HOLD
2019-02-26,1405.0,1410.0,1350.0,1350.0,1000.4527587890625,43479900,57.25625613333572,HOLD,1328.5,1447.8356610573726,1209.1643389426274,SELL,50.090031101653295,SELL,55.10204081632653,HOLD
2019-02-27,1360.0,1395.0,1360.0,1375.0,1018.9796752929688,43819400,61.46437117761186,HOLD,1329.75,1450.4759292778485,1209.0240707221515,SELL,56.32294678231065,SELL,65.3061224489796,HOLD
2019-02-28,1380.0,1390.0,1305.0,1310.0,970.8096923828125,62148900,61.5964937671186,HOLD,1325.75,1443.4901800576172,1208.0098199423828,BUY,6.511732345346557,SELL,38.775510204081634,HOLD
2019-03-01,1320.0,1345.0,1310.0,1310.0,970.8096923828125,77736800,60.63300306357125,HOLD,1322.5,1438.1935607542619,1206.8064392457381,BUY,-7.850029291153964,BUY,38.775510204081634,HOLD
2019-03-04,1330.0,1420.0,1325.0,1410.0,1044.917236328125,144915900,69.83924546495936,HOLD,1325.0,1445.8718329471349,1204.1281670528651,BUY,78.14113597246127,SELL,79.59183673469387,HOLD
2019-03-05,1400.0,1455.0,1385.0,1400.0,1037.5067138671875,99046800,70.33957340474076,HOLD,1327.0,1451.3945336419574,1202.6054663580426,SELL,107.5584556824362,SELL,75.51020408163265,HOLD
2019-03-06,1410.0,1415.0,1360.0,1360.0,1007.8635864257812,43142100,70.5802760939274,HOLD,1326.75,1450.8578160310626,1202.6421839689374,SELL,60.43010752688163,SELL,59.183673469387756,HOLD
2019-03-07,1360.0,1360.0,1360.0,1360.0,1007.8635864257812,0,73.69402094355029,HOLD,1327.5,1452.2196856955634,1202.7803143044366,SELL,36.11111111111121,SELL,54.54545454545455,HOLD
2019-03-08,1370.0,1395.0,1365.0,1390.0,1030.095947265625,50118800,73.90574396519017,HOLD,1331.75,1458.8828045785197,1204.6171954214803,SELL,59.99999999999972,SELL,63.1578947368421,HOLD
