Date,Open,High,Low,Close,Adj Close,Volume,MFII_14,MFI_Recommend_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,BB_Recommend_20,CCI_20,CCI_Recommend_20,SO_14,SO_Recommend_14
2019-07-10,374.0,374.0,374.0,374.0,356.3403015136719,21000,,,,,,,,,,
2019-07-11,466.0,466.0,378.0,452.0,430.6572570800781,19877200,,,,,,,,,,
2019-07-12,464.0,474.0,340.0,376.0,358.2458801269531,9188000,,,,,,,,,,
2019-07-15,376.0,400.0,340.0,376.0,358.2458801269531,2435700,,,,,,,,,,
2019-07-16,378.0,394.0,376.0,386.0,367.773681640625,6093600,,,,,,,,,,
2019-07-17,392.0,426.0,348.0,422.0,402.0738220214844,69014500,,,,,,,,,,
2019-07-18,422.0,458.0,418.0,442.0,421.12945556640625,77113200,,,,,,,,,,
2019-07-19,442.0,448.0,414.0,416.0,396.35711669921875,21521800,,,,,,,,,,
2019-07-22,416.0,426.0,410.0,414.0,394.4515686035156,5428800,,,,,,,,,,
2019-07-23,414.0,424.0,392.0,392.0,373.4903869628906,7878200,,,,,,,,,,
2019-07-24,392.0,412.0,392.0,398.0,379.2070617675781,12039400,,,,,,,,,,
2019-07-25,398.0,402.0,392.0,392.0,373.4903869628906,6199400,,,,,,,,,,
2019-07-26,392.0,398.0,378.0,380.0,362.0570068359375,883100,,,,,,,,,,
2019-07-29,382.0,394.0,378.0,394.0,375.39593505859375,9428300,73.9507728788207,HOLD,,,,,,,40.298507462686565,HOLD
2019-07-30,400.0,406.0,390.0,392.0,373.4903869628906,2168200,74.16662308742815,HOLD,,,,,,,38.80597014925373,HOLD
2019-07-31,394.0,400.0,390.0,392.0,373.4903869628906,889500,71.56840956667776,HOLD,,,,,,,38.80597014925373,HOLD
2019-08-01,392.0,398.0,390.0,392.0,373.4903869628906,1521100,73.92954531964236,HOLD,,,,,,,44.067796610169495,HOLD
2019-08-02,392.0,392.0,382.0,384.0,365.8681335449219,1353500,74.23798388833089,HOLD,,,,,,,32.72727272727273,HOLD
2019-08-05,384.0,384.0,376.0,378.0,360.15142822265625,502400,73.40676389514138,HOLD,,,,,,,27.272727272727273,HOLD
2019-08-06,376.0,382.0,374.0,374.0,356.3403015136719,1289500,61.18152339976089,HOLD,396.3,439.49768512316376,353.10231487683626,BUY,-98.28645328160363,BUY,0.0,BUY
2019-08-07,374.0,378.0,370.0,376.0,358.2458801269531,303600,15.595834313234093,BUY,396.4,439.3995348812054,353.40046511879456,BUY,-108.33130920573215,BUY,7.6923076923076925,BUY
2019-08-08,376.0,382.0,370.0,376.0,358.2458801269531,336800,23.29496146078293,HOLD,392.6,428.0423475520458,357.15765244795426,BUY,-97.27800089245854,BUY,10.714285714285714,BUY
2019-08-09,372.0,376.0,368.0,376.0,358.2458801269531,434800,26.033513010741558,HOLD,392.6,428.0423475520458,357.15765244795426,BUY,-98.82747068676724,BUY,14.285714285714286,BUY
2019-08-12,372.0,376.0,364.0,368.0,350.6236267089844,435300,31.31336986784727,HOLD,392.2,428.55161619515707,355.8483838048429,BUY,-117.08126036484258,BUY,8.333333333333334,BUY
2019-08-13,368.0,380.0,364.0,378.0,360.15142822265625,290900,46.95599184111858,HOLD,391.8,428.5891288290441,355.0108711709559,BUY,-87.35083532219575,BUY,33.333333333333336,HOLD
2019-08-14,380.0,410.0,372.0,410.0,390.64044189453125,20213100,81.38891707591449,SELL,391.2,426.3545160683518,356.04548393164816,BUY,24.46043165467637,SELL,100.0,SELL
2019-08-15,404.0,416.0,386.0,386.0,367.773681640625,4878400,73.90394431693062,HOLD,388.4,414.73932421304704,362.0606757869529,BUY,33.71212121212123,SELL,42.30769230769231,HOLD
2019-08-16,390.0,400.0,388.0,388.0,369.67926025390625,4141200,59.78005339142626,HOLD,387.0,410.09978354876966,363.90021645123034,SELL,24.069780280446007,SELL,46.15384615384615,HOLD
2019-08-19,390.0,392.0,388.0,388.0,369.67926025390625,3275000,52.71711166414437,HOLD,385.7,405.22536811432786,366.1746318856721,SELL,17.61006289308162,SELL,46.15384615384615,HOLD
2019-08-20,390.0,390.0,382.0,384.0,365.8681335449219,3256000,49.843173864578596,HOLD,385.3,404.61942028115783,365.9805797188422,BUY,-6.55737704918042,BUY,38.46153846153846,HOLD
2019-08-21,384.0,392.0,374.0,376.0,358.2458801269531,5029700,46.178169737069986,HOLD,384.2,403.0000000000003,365.3999999999997,BUY,-38.6389850057668,BUY,23.076923076923077,HOLD
2019-08-22,376.0,380.0,374.0,378.0,360.15142822265625,4273800,43.527422132547045,HOLD,383.5,402.12793601019746,364.87206398980254,BUY,-59.92184107685656,BUY,26.923076923076923,HOLD
2019-08-23,376.0,380.0,374.0,378.0,360.15142822265625,4091300,43.96862725163624,HOLD,383.4,402.12324758154983,364.6767524184501,BUY,-54.393305439330554,BUY,26.923076923076923,HOLD
2019-08-26,376.0,386.0,376.0,378.0,360.15142822265625,3720900,49.066571562028074,HOLD,382.6,400.80329640477277,364.3967035952273,BUY,-28.789161727349526,BUY,26.923076923076923,HOLD
2019-08-27,378.0,410.0,376.0,410.0,390.64044189453125,15379200,61.412117861184385,HOLD,383.5,404.96159360345854,362.03840639654146,BUY,125.7966195622056,SELL,88.46153846153847,SELL
2019-08-28,410.0,422.0,388.0,414.0,394.4515686035156,18361000,69.99473883916536,HOLD,384.6,409.6471555271255,359.55284447287454,SELL,180.25534066489695,SELL,86.20689655172414,SELL
2019-08-29,414.0,420.0,412.0,418.0,398.2626953125,3471200,71.58677819126879,HOLD,385.9,414.7575813262306,357.04241867376936,SELL,206.79012345679044,,93.10344827586206,SELL
2019-08-30,418.0,440.0,410.0,436.0,415.4127502441406,7408700,74.30645274209422,HOLD,388.5,424.6524549650506,352.3475450349494,SELL,216.9479606188468,,94.73684210526316,SELL
2019-09-02,436.0,440.0,422.0,422.0,402.0738220214844,4443700,70.63032422626456,HOLD,390.7,429.30103625552056,352.0989637444794,SELL,174.14529914529913,SELL,73.52941176470588,HOLD
2019-09-03,422.0,468.0,420.0,468.0,445.9017639160156,28208500,73.78568370249911,HOLD,395.4,445.8079358831525,344.9920641168475,SELL,221.37791286727463,,100.0,SELL
2019-09-04,470.0,480.0,420.0,450.0,428.751708984375,16899500,65.3458495583571,HOLD,399.1,453.93757835645204,344.262421643548,SELL,175.438596491228,SELL,71.69811320754717,HOLD
2019-09-05,450.0,462.0,444.0,452.0,430.6572570800781,12247700,70.91806305735105,HOLD,402.9,461.22975227103245,344.5702477289675,SELL,150.9803921568626,SELL,73.58490566037736,HOLD
