Date,Open,High,Low,Close,Adj Close,Volume,MFII_14,MFI_Recommend_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,BB_Recommend_20,CCI_20,CCI_Recommend_20,SO_14,SO_Recommend_14
2019-01-01,1685.0,1685.0,1685.0,1685.0,1512.728515625,0,,,,,,,,,,
2019-01-02,1685.0,1690.0,1645.0,1645.0,1476.8179931640625,933700,,,,,,,,,,
2019-01-03,1645.0,1680.0,1645.0,1650.0,1481.3067626953125,1670200,,,,,,,,,,
2019-01-04,1655.0,1785.0,1655.0,1725.0,1548.638916015625,2955600,,,,,,,,,,
2019-01-07,1745.0,1805.0,1740.0,1765.0,1584.5494384765625,5718800,,,,,,,,,,
2019-01-08,1775.0,1830.0,1775.0,1805.0,1620.4598388671875,8600100,,,,,,,,,,
2019-01-09,1840.0,2250.0,1835.0,2250.0,2019.9638671875,78808600,,,,,,,,,,
2019-01-10,2100.0,2100.0,1890.0,1945.0,1746.146484375,35247300,,,,,,,,,,
2019-01-11,1950.0,2010.0,1945.0,1975.0,1773.079345703125,6310200,,,,,,,,,,
2019-01-14,1975.0,2120.0,1960.0,2100.0,1885.299560546875,14616500,,,,,,,,,,
2019-01-15,2140.0,2160.0,2050.0,2130.0,1912.232421875,10217900,,,,,,,,,,
2019-01-16,2130.0,2210.0,2100.0,2100.0,1885.299560546875,12134200,,,,,,,,,,
2019-01-17,2100.0,2140.0,2010.0,2040.0,1831.433837890625,2893700,,,,,,,,,,
2019-01-18,2060.0,2120.0,2050.0,2120.0,1903.2547607421875,3444100,75.30078632751534,HOLD,,,,,,,78.51239669421487,HOLD
2019-01-21,2140.0,2160.0,2070.0,2090.0,1876.3218994140625,2396500,75.62934132540832,HOLD,,,,,,,73.55371900826447,HOLD
2019-01-22,2100.0,2590.0,2060.0,2380.0,2136.6728515625,45643300,81.24621789761413,SELL,,,,,,,77.77777777777777,HOLD
2019-01-23,2390.0,2970.0,2350.0,2960.0,2657.374755859375,59472800,86.35730415936999,SELL,,,,,,,99.23954372623574,SELL
2019-01-24,2970.0,3190.0,2850.0,2880.0,2585.5537109375,48583900,88.77730221948212,SELL,,,,,,,78.62068965517241,HOLD
2019-01-25,2900.0,2900.0,2700.0,2700.0,2423.95654296875,12039500,84.98100542402713,SELL,,,,,,,65.37102473498233,HOLD
2019-01-28,2710.0,3020.0,2630.0,2750.0,2468.8447265625,30278100,86.16574178721353,SELL,2134.75,2931.433594659762,1338.066405340238,SELL,148.8323070949132,SELL,67.52767527675277,HOLD
2019-01-29,2780.0,2810.0,2630.0,2690.0,2414.97900390625,7087700,80.75166692037834,SELL,2185.0,2988.623045961227,1381.376954038773,SELL,107.94006727143005,SELL,61.53846153846154,HOLD
2019-01-30,2700.0,2780.0,2630.0,2690.0,2414.97900390625,15693100,83.8918368798661,SELL,2237.25,3029.4461562643437,1445.0538437356563,SELL,90.97543176842616,SELL,59.83935742971887,HOLD
2019-01-31,2720.0,2790.0,2700.0,2740.0,2459.866943359375,12839900,86.11371019663709,SELL,2291.75,3064.5842319022886,1518.9157680977112,SELL,86.90204288795837,SELL,63.41463414634146,HOLD
2019-02-01,2750.0,2940.0,2720.0,2920.0,2621.464111328125,48055300,87.9015014621247,SELL,2351.5,3124.6047794445467,1578.3952205554533,SELL,96.58311510163357,SELL,77.11864406779661,HOLD
2019-02-04,2950.0,3160.0,2880.0,3100.0,2783.061279296875,60997000,89.89280026645436,SELL,2418.25,3207.6312450267624,1628.8687549732379,SELL,115.39908222372677,SELL,92.37288135593221,SELL
2019-02-05,3100.0,3100.0,3100.0,3100.0,2783.061279296875,0,89.6231953507347,SELL,2483.0,3272.9962025225195,1693.0037974774807,SELL,111.98334820101107,SELL,92.37288135593221,SELL
2019-02-06,3100.0,3350.0,3100.0,3300.0,2962.613525390625,40858800,91.36425984060087,SELL,2535.5,3393.2348075017135,1677.7651924982865,SELL,123.57744486594227,SELL,96.15384615384616,SELL
2019-02-07,3300.0,3590.0,3300.0,3490.0,3133.188232421875,39122700,92.2661968460685,SELL,2612.75,3520.6678101568455,1704.8321898431545,SELL,145.3208934124965,SELL,93.4640522875817,SELL
2019-02-08,3530.0,3560.0,3390.0,3460.0,3106.25537109375,14783300,92.54713451162667,SELL,2687.0,3616.776317186022,1757.223682813978,SELL,138.00313643491899,SELL,91.50326797385621,SELL
