Date,Open,High,Low,Close,Adj Close,Volume,MFII_14,MFI_Recommend_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,BB_Recommend_20,CCI_20,CCI_Recommend_20,SO_14,SO_Recommend_14
2019-01-01,720.0,720.0,720.0,720.0,655.485107421875,0,,,,,,,,,,
2019-01-02,716.0,730.0,706.0,710.0,646.3811645507812,4539000,,,,,,,,,,
2019-01-03,714.0,724.0,712.0,718.0,653.664306640625,11953500,,,,,,,,,,
2019-01-04,718.0,722.0,714.0,718.0,653.664306640625,6043500,,,,,,,,,,
2019-01-07,722.0,728.0,716.0,718.0,653.664306640625,8123000,,,,,,,,,,
2019-01-08,722.0,770.0,722.0,770.0,701.0049438476562,16099000,,,,,,,,,,
2019-01-09,780.0,860.0,776.0,858.0,781.1197509765625,24444500,,,,,,,,,,
2019-01-10,860.0,900.0,786.0,900.0,819.3563842773438,11298000,,,,,,,,,,
2019-01-11,904.0,904.0,860.0,900.0,819.3563842773438,13432500,,,,,,,,,,
2019-01-14,900.0,914.0,876.0,914.0,832.1019287109375,5951000,,,,,,,,,,
2019-01-15,914.0,996.0,900.0,996.0,906.75439453125,9823000,,,,,,,,,,
2019-01-16,990.0,990.0,922.0,940.0,855.7722778320312,12239000,,,,,,,,,,
2019-01-17,938.0,944.0,922.0,940.0,855.7722778320312,8236500,,,,,,,,,,
2019-01-18,940.0,944.0,924.0,944.0,859.4137573242188,3667500,79.35855805763978,HOLD,,,,,,,82.06896551724138,SELL
2019-01-21,944.0,956.0,924.0,940.0,855.7722778320312,3793000,80.00992571570646,SELL,,,,,,,80.6896551724138,SELL
2019-01-22,930.0,942.0,898.0,940.0,855.7722778320312,5213000,78.9038667205847,HOLD,,,,,,,80.28169014084507,SELL
2019-01-23,938.0,944.0,924.0,944.0,859.4137573242188,13402000,79.61203325459292,HOLD,,,,,,,81.56028368794327,SELL
2019-01-24,960.0,968.0,940.0,954.0,868.5177001953125,7693000,80.80062352137271,SELL,,,,,,,85.0,SELL
2019-01-25,954.0,986.0,950.0,986.0,897.6504516601562,9027000,81.23852913689338,SELL,,,,,,,96.35036496350365,SELL
2019-01-28,984.0,990.0,972.0,980.0,892.1880493164062,6407000,80.34516528966638,SELL,874.5,1079.4033918704129,669.596608129587,SELL,85.36342350420958,SELL,92.72727272727273,SELL
2019-01-29,980.0,986.0,964.0,984.0,895.82958984375,5918500,72.37307512228446,HOLD,887.7,1084.962363364125,690.4376366358752,SELL,78.68155236576288,SELL,94.28571428571429,SELL
2019-01-30,984.0,988.0,970.0,984.0,895.82958984375,4692000,70.99906570891909,HOLD,901.4,1084.9782122148488,717.8217877851513,SELL,77.63966028975284,SELL,91.17647058823529,SELL
2019-01-31,974.0,988.0,972.0,984.0,895.82958984375,8029000,69.81598133769772,HOLD,914.7,1080.9252688372019,748.4747311627982,SELL,75.75225970293882,SELL,90.0,SELL
2019-02-01,984.0,988.0,976.0,988.0,899.47119140625,5403000,69.80159504388769,HOLD,928.2,1070.4611682786278,785.9388317213723,SELL,77.70863251954661,SELL,91.83673469387755,SELL
2019-02-04,990.0,990.0,922.0,922.0,839.3850708007812,10265500,60.11803064541692,HOLD,938.4,1043.2473175622538,833.5526824377462,BUY,22.951864839018157,SELL,26.08695652173913,HOLD
2019-02-05,922.0,922.0,922.0,922.0,839.3850708007812,0,68.08510299024331,HOLD,946.0,1017.7216843081651,874.2783156918349,BUY,-36.231884057970944,BUY,26.08695652173913,HOLD
2019-02-06,924.0,964.0,924.0,952.0,866.6969604492188,8578500,76.9691504350603,HOLD,950.7,1009.9793387277566,891.4206612722435,BUY,5.957938731047717,SELL,58.69565217391305,HOLD
2019-02-07,948.0,960.0,940.0,960.0,873.9801635742188,3870500,77.0348085007776,HOLD,953.7,1008.3007325958188,899.0992674041813,BUY,13.713080168776493,SELL,67.3913043478261,HOLD
2019-02-08,966.0,966.0,922.0,922.0,839.3850708007812,7323500,70.38365254687443,HOLD,954.8,1005.7964704661028,903.8035295338971,BUY,-52.615951065978116,BUY,26.08695652173913,HOLD
2019-02-11,926.0,950.0,924.0,944.0,859.4137573242188,3079500,75.1227003217704,HOLD,956.3,1004.0707023184724,908.5292976815275,BUY,-54.9019607843133,BUY,32.35294117647059,HOLD
2019-02-12,944.0,944.0,924.0,924.0,841.2058715820312,4011000,67.80188191791953,HOLD,952.7,998.7829686543749,906.6170313456252,BUY,-81.08108108108111,BUY,2.9411764705882355,BUY
2019-02-13,940.0,940.0,914.0,914.0,832.1019287109375,2716500,62.46781640803299,HOLD,951.4,1000.2278608992867,902.5721391007132,BUY,-100.0725163161715,BUY,0.0,BUY
2019-02-14,920.0,920.0,900.0,900.0,819.3563842773438,2137500,55.9596622372797,HOLD,949.4,1002.977607262737,895.8223927372629,BUY,-143.9135381114901,BUY,0.0,BUY
2019-02-15,892.0,924.0,892.0,924.0,841.2058715820312,1752500,52.76858962664747,HOLD,948.4,1003.0786978630626,893.7213021369373,BUY,-111.58100195185456,BUY,32.6530612244898,HOLD
2019-02-18,926.0,936.0,896.0,908.0,826.6395263671875,3844000,57.9600055392769,HOLD,946.8,1004.174558821834,889.4254411781659,BUY,-101.76467561866524,BUY,16.3265306122449,BUY
2019-02-19,908.0,916.0,894.0,898.0,817.5355834960938,2249500,52.43028871040434,HOLD,944.7,1005.8656766495728,883.5343233504273,BUY,-124.74888529570305,BUY,6.122448979591836,BUY
2019-02-20,902.0,912.0,868.0,886.0,806.6107788085938,5366500,40.67500492649489,HOLD,941.8,1008.1071640171715,875.4928359828284,BUY,-143.61702127659572,BUY,14.754098360655737,BUY
2019-02-21,886.0,888.0,868.0,888.0,808.431640625,5270000,31.065680061809672,HOLD,938.5,1008.5157125222623,868.4842874777377,BUY,-141.24847001224,BUY,16.39344262295082,BUY
2019-02-22,888.0,894.0,840.0,840.0,764.7326049804688,9569500,31.971434382902956,HOLD,931.2,1009.8017811503028,852.5982188496973,BUY,-171.17937049677667,BUY,0.0,BUY
2019-02-25,842.0,856.0,834.0,850.0,773.8365478515625,3895500,30.029276678554908,HOLD,924.7,1007.4746337956266,841.9253662043735,BUY,-171.75627240143348,BUY,12.121212121212121,BUY
2019-02-26,850.0,860.0,848.0,860.0,782.9404907226562,4210500,23.680145092914074,HOLD,918.5,1001.1547034354371,835.8452965645629,BUY,-135.40681587334913,BUY,19.696969696969695,BUY
2019-02-27,870.0,870.0,838.0,858.0,781.1197509765625,3082500,16.619055368222902,BUY,912.2,993.1137812736499,831.2862187263502,BUY,-122.6972540841155,BUY,18.181818181818183,BUY
2019-02-28,850.0,866.0,796.0,796.0,724.6752319335938,6695500,17.101244829127637,BUY,902.8,991.4737841754825,814.1262158245174,BUY,-169.7990080918816,BUY,0.0,BUY
2019-03-01,800.0,826.0,792.0,810.0,737.4207153320312,11867000,9.627486097949415,BUY,893.9,982.3124425632504,805.4875574367495,BUY,-161.17216117216105,BUY,11.842105263157896,BUY
2019-03-04,812.0,818.0,798.0,806.0,733.7791748046875,5553000,9.495713967050136,BUY,888.1,983.3342375409184,792.8657624590817,BUY,-141.31112244319812,BUY,9.45945945945946,BUY
2019-03-05,802.0,810.0,784.0,794.0,722.8543090820312,11234000,8.497919605085258,BUY,881.7,983.9097842674569,779.4902157325432,BUY,-137.27779940314016,BUY,6.578947368421052,BUY
2019-03-06,794.0,794.0,770.0,770.0,701.0049438476562,13376500,7.465627979624699,BUY,872.6,980.4079774413752,764.7920225586248,BUY,-143.01043800604825,BUY,0.0,BUY
2019-03-07,770.0,770.0,770.0,770.0,701.0049438476562,0,5.29122792614929,BUY,863.1,971.9079041246548,754.2920958753452,BUY,-137.07120889519783,BUY,0.0,BUY
2019-03-08,770.0,792.0,770.0,770.0,701.0049438476562,14659500,18.86454939502228,BUY,855.5,967.962438173819,743.037561826181,BUY,-114.96204083557316,BUY,0.0,BUY
2019-03-11,770.0,790.0,768.0,780.0,710.10888671875,3059000,21.76607852403133,HOLD,847.3,956.6272152759781,737.9727847240218,BUY,-100.64491832603682,BUY,8.333333333333334,BUY
2019-03-12,772.0,782.0,730.0,740.0,673.6930541992188,6726000,21.690047472045393,HOLD,838.1,950.9714312835629,725.2285687164372,BUY,-124.46391094077943,BUY,6.097560975609756,BUY
2019-03-13,750.0,754.0,720.0,728.0,662.7682495117188,14535000,20.173700099081202,HOLD,828.8,945.7026945797232,711.8973054202767,BUY,-130.8016877637132,BUY,4.597701149425287,BUY
2019-03-14,724.0,762.0,718.0,756.0,688.2593383789062,13101000,30.947513911653772,HOLD,821.6,937.8108428676088,705.3891571323912,BUY,-105.35232617757863,BUY,25.0,HOLD
2019-03-15,754.0,758.0,748.0,748.0,680.9761352539062,10575000,37.992177469567416,HOLD,812.8,923.1695610211441,702.4304389788558,BUY,-90.31657355679698,BUY,19.736842105263158,BUY
2019-03-18,740.0,742.0,724.0,738.0,671.8721923828125,13207500,31.978818753370703,HOLD,804.3,910.1245718158125,698.4754281841874,BUY,-106.31424375917783,BUY,13.157894736842104,BUY
2019-03-19,744.0,748.0,728.0,740.0,673.6930541992188,18380000,41.19026101322369,HOLD,796.4,896.5007492479455,696.2992507520545,BUY,-92.85824463982729,BUY,14.864864864864865,BUY
2019-03-20,740.0,750.0,738.0,744.0,677.3345947265625,11064000,47.521343279380815,HOLD,789.3,882.9057690529812,695.6942309470187,BUY,-78.4798308482302,BUY,24.074074074074073,HOLD
2019-03-21,746.0,790.0,746.0,780.0,710.10888671875,28518000,60.46042391491719,HOLD,783.9,865.8411984291179,701.9588015708821,BUY,-26.332094175960492,BUY,62.0,HOLD
2019-03-22,804.0,846.0,804.0,832.0,757.449462890625,16316000,66.48508226289277,HOLD,783.5,864.4135340965902,702.5864659034098,SELL,83.65987460815028,SELL,89.0625,SELL
2019-03-25,840.0,842.0,786.0,802.0,730.1375732421875,10772500,66.59303068784911,HOLD,781.1,856.6510423488655,705.5489576511345,SELL,56.97528278173445,SELL,65.625,HOLD
2019-03-26,802.0,830.0,790.0,822.0,748.345458984375,7343000,73.51668823323213,HOLD,779.2,848.3595257357948,710.0404742642053,SELL,75.75068243858038,SELL,81.25,SELL
2019-03-27,836.0,844.0,802.0,808.0,735.5999755859375,4772500,74.29498127667802,HOLD,776.7,837.3798154249012,716.0201845750989,SELL,96.29174349518527,SELL,70.3125,HOLD
2019-03-28,800.0,800.0,780.0,792.0,721.0335693359375,6483500,68.97168264157017,HOLD,776.5,836.9499793217506,716.0500206782494,SELL,34.548611111111065,SELL,57.8125,HOLD
2019-03-29,792.0,794.0,764.0,778.0,708.2880859375,6559000,65.67510388485118,HOLD,774.9,833.3804240750703,716.4195759249296,BUY,7.709251101321769,SELL,46.875,HOLD
2019-04-01,788.0,810.0,766.0,796.0,724.6752319335938,5730500,69.45776189403256,HOLD,774.4,831.9722155210311,716.8277844789689,BUY,44.41918833167555,SELL,60.9375,HOLD
2019-04-02,790.0,792.0,772.0,778.0,708.2880859375,4864500,73.37272968640686,HOLD,773.6,830.5013180866671,716.698681913333,BUY,18.73536299765801,SELL,46.875,HOLD
2019-04-03,778.0,778.0,778.0,778.0,708.2880859375,0,71.05416118698572,HOLD,774.0,830.9069415800925,717.0930584199075,SELL,10.928961748633924,SELL,44.26229508196721,HOLD
2019-04-04,792.0,808.0,776.0,808.0,735.5999755859375,3519500,69.66392785842898,HOLD,775.9,834.6533828813291,717.1466171186709,SELL,61.717861205915604,SELL,68.85245901639344,HOLD
2019-04-05,812.0,822.0,792.0,798.0,726.4960327148438,1870000,76.96711851626837,HOLD,777.3,836.75452043369,717.8454795663099,SELL,73.5400797968806,SELL,59.32203389830509,HOLD
2019-04-08,784.0,818.0,778.0,786.0,715.5712280273438,1752500,72.12035364819259,HOLD,777.6,837.1664335007566,718.0335664992434,SELL,43.30499468650362,SELL,44.44444444444444,HOLD
2019-04-09,806.0,806.0,780.0,784.0,713.7503662109375,6045000,65.21911371640114,HOLD,779.8,836.8459463941134,722.7540536058865,SELL,28.663892741562446,SELL,38.0,HOLD
2019-04-10,784.0,810.0,778.0,794.0,722.8543090820312,5266500,55.72376835099221,HOLD,783.1,835.1995201513417,731.0004798486583,BUY,34.239677744209246,SELL,36.58536585365854,HOLD
2019-04-11,804.0,806.0,770.0,774.0,704.6464233398438,7221000,39.8431915666862,HOLD,784.0,834.8015747787415,733.1984252212585,BUY,-4.115913009622009,BUY,12.5,BUY
2019-04-12,782.0,782.0,752.0,764.0,695.54248046875,6154500,42.83214485116724,HOLD,784.8,833.7799959167012,735.8200040832987,BUY,-67.11876195444255,BUY,13.043478260869565,BUY
2019-04-15,760.0,776.0,750.0,764.0,695.54248046875,6153500,32.430333953127544,HOLD,786.1,831.2747717205086,740.9252282794914,BUY,-88.66995073891616,BUY,14.893617021276595,BUY
2019-04-16,752.0,778.0,750.0,764.0,695.54248046875,7462500,34.679889037311625,HOLD,787.3,828.6236010047535,745.9763989952464,BUY,-98.76543209876543,BUY,19.444444444444443,BUY
2019-04-17,764.0,764.0,764.0,764.0,695.54248046875,0,38.318176667458424,HOLD,788.3,826.2109482867425,750.3890517132575,BUY,-110.37527593818994,BUY,19.444444444444443,BUY
2019-04-18,764.0,778.0,752.0,754.0,686.4385375976562,13268000,34.76500961967746,HOLD,787.0,827.644802865804,746.355197134196,BUY,-115.31378382207122,BUY,5.555555555555555,BUY
2019-04-19,754.0,754.0,754.0,754.0,686.4385375976562,0,28.772819199636402,HOLD,783.1,820.5694542260769,745.6305457739231,BUY,-132.758620689655,BUY,5.555555555555555,BUY
2019-04-22,754.0,762.0,732.0,732.0,666.4098510742188,7498500,27.77811344080827,HOLD,779.6,822.0942349031027,737.1057650968974,BUY,-162.13991769547317,BUY,0.0,BUY
2019-04-23,740.0,746.0,730.0,730.0,664.589111328125,18424500,21.956085721536894,HOLD,775.0,818.0534551459007,731.9465448540993,BUY,-165.48834773500909,BUY,0.0,BUY
2019-04-24,734.0,748.0,734.0,740.0,673.6930541992188,10851000,27.798626538237073,HOLD,771.6,814.4317639141804,728.7682360858197,BUY,-127.84679089026945,BUY,10.869565217391305,BUY
2019-04-25,732.0,740.0,724.0,724.0,659.1266479492188,10747000,23.514962038967795,HOLD,768.2,814.6568617106245,721.7431382893756,BUY,-148.2014388489207,BUY,0.0,BUY
2019-04-26,724.0,742.0,722.0,742.0,675.5137939453125,6039500,28.213585097723197,HOLD,766.4,813.9747832365013,718.8252167634987,BUY,-111.95842512568477,BUY,22.727272727272727,HOLD
2019-04-29,744.0,782.0,740.0,774.0,704.6464233398438,8675000,35.74990612439122,HOLD,765.3,811.0694221069054,719.5305778930945,BUY,-6.382466281310149,BUY,59.09090909090909,HOLD
2019-04-30,780.0,790.0,774.0,790.0,719.2128295898438,12328000,39.8238062867867,HOLD,765.9,812.6242977475326,719.1757022524673,SELL,61.935330480266366,SELL,80.95238095238095,SELL
2019-05-01,790.0,790.0,790.0,790.0,719.2128295898438,0,42.606354035038024,HOLD,766.5,814.1298225904746,718.8701774095254,SELL,75.89285714285717,SELL,100.0,SELL
2019-05-02,790.0,790.0,736.0,740.0,673.6930541992188,29738000,34.94530585916986,HOLD,763.1,808.026161643302,718.1738383566981,BUY,-38.851769364018494,BUY,26.470588235294116,HOLD
2019-05-03,742.0,750.0,730.0,730.0,664.589111328125,12244500,33.47900701743475,HOLD,759.7,803.8320745036997,715.5679254963004,BUY,-99.92889923081886,BUY,11.764705882352942,BUY
2019-05-06,730.0,748.0,722.0,748.0,680.9761352539062,16327000,37.35230801616663,HOLD,757.8,800.4877031473948,715.1122968526051,BUY,-80.19951434009324,BUY,38.23529411764706,HOLD
2019-05-07,758.0,762.0,744.0,758.0,690.080078125,24444000,46.392068932310096,HOLD,756.5,797.4658394275048,715.5341605724952,BUY,-13.90070921985809,BUY,52.94117647058823,HOLD
2019-05-08,758.0,758.0,730.0,742.0,675.5137939453125,18621000,45.073375326315364,HOLD,753.9,791.4760562060485,716.3239437939515,BUY,-56.097938943126955,BUY,29.41176470588235,HOLD
2019-05-09,736.0,750.0,734.0,750.0,682.7969970703125,25878000,52.08987758598666,HOLD,752.7,789.1477708509055,716.2522291490945,BUY,-43.607532210109376,BUY,41.1764705882353,HOLD
2019-05-10,752.0,752.0,732.0,736.0,670.0514526367188,32601500,46.382859569623605,HOLD,751.3,788.0537753162872,714.5462246837127,BUY,-60.08230452674935,BUY,20.58823529411765,HOLD
2019-05-13,736.0,736.0,718.0,718.0,653.664306640625,23931500,45.37100245693051,HOLD,749.0,787.9769162453898,710.0230837546102,BUY,-123.41026848798889,BUY,0.0,BUY
2019-05-14,714.0,714.0,644.0,652.0,593.578125,78277500,32.41809170819393,HOLD,743.4,800.2380154474113,686.5619845525887,BUY,-304.4354838709678,,5.47945205479452,BUY
2019-05-15,658.0,662.0,612.0,632.0,575.3702392578125,55659500,28.77799661555197,HOLD,736.8,810.6474102457234,662.9525897542765,BUY,-333.3333333333337,,11.235955056179776,BUY
2019-05-16,634.0,634.0,610.0,610.0,555.3414916992188,38465000,24.99516854575937,HOLD,729.6,821.2654787801832,637.9345212198168,BUY,-268.473777253978,,0.0,BUY
2019-05-17,612.0,618.0,608.0,610.0,555.3414916992188,19208500,22.05788806712235,HOLD,722.4,826.9799215910982,617.8200784089017,BUY,-206.21572212065826,,1.098901098901099,BUY
2019-05-20,610.0,632.0,610.0,620.0,564.445556640625,21168500,23.047076764447624,HOLD,716.8,830.3351927817989,603.264807218201,BUY,-149.37801472454947,BUY,6.593406593406593,BUY
2019-05-21,620.0,630.0,618.0,622.0,566.2662963867188,59419000,32.23893134638884,HOLD,711.4,831.9659985236315,590.8340014763685,BUY,-119.8611852642821,BUY,7.6923076923076925,BUY
2019-05-22,620.0,644.0,620.0,640.0,582.6534423828125,28019500,38.55580652733323,HOLD,706.4,830.0614733860159,582.738526613984,BUY,-90.19003595274773,BUY,20.77922077922078,HOLD
2019-05-23,640.0,672.0,640.0,650.0,591.7573852539062,28714000,43.320552588747304,HOLD,702.7,828.4443438091763,576.9556561908238,BUY,-59.12454731538347,BUY,27.272727272727273,HOLD
2019-05-24,662.0,666.0,650.0,658.0,599.0405883789062,48819000,46.711068014587816,HOLD,698.5,824.3244809248199,572.6755190751801,BUY,-48.85955771679987,BUY,32.467532467532465,HOLD
2019-05-27,658.0,686.0,658.0,666.0,606.32373046875,48858000,48.889585303181335,HOLD,693.1,814.6991776287997,571.5008223712003,BUY,-30.368159203980028,BUY,38.666666666666664,HOLD
2019-05-28,670.0,696.0,650.0,670.0,609.96533203125,961655000,83.21731653962232,SELL,687.1,800.5511348554982,573.6488651445019,BUY,-22.829293317942742,BUY,43.05555555555556,HOLD
2019-05-29,678.0,740.0,676.0,726.0,660.947509765625,225422500,85.33360414946179,SELL,683.9,788.8531323972774,578.9468676027226,BUY,39.05160390516039,SELL,81.94444444444444,SELL
2019-05-30,726.0,726.0,726.0,726.0,660.947509765625,0,87.2060842276926,SELL,683.2,786.8254794922583,579.5745205077418,SELL,59.853733641262565,SELL,89.39393939393939,SELL
2019-05-31,710.0,742.0,700.0,732.0,692.8824462890625,112564000,82.39159861924202,SELL,683.3,787.1096334643391,579.4903665356608,SELL,59.647581393078575,SELL,92.53731343283582,SELL
2019-06-03,732.0,732.0,732.0,732.0,692.8824462890625,0,86.28013834865268,SELL,682.5,784.534307955709,580.465692044291,SELL,71.5569673241241,SELL,92.53731343283582,SELL
2019-06-04,732.0,732.0,732.0,732.0,692.8824462890625,0,89.11602326038167,SELL,681.2,779.9635560315669,582.4364439684332,SELL,75.31211223378672,SELL,92.53731343283582,SELL
2019-06-05,732.0,732.0,732.0,732.0,692.8824462890625,0,91.12951616363114,SELL,680.7,778.3219237671562,583.0780762328438,SELL,77.270859021784,SELL,92.53731343283582,SELL
2019-06-06,732.0,732.0,732.0,732.0,692.8824462890625,0,92.15924739941313,SELL,679.8,775.1553354563889,584.444664543611,SELL,79.5279496618887,SELL,92.42424242424242,SELL
2019-06-07,732.0,732.0,732.0,732.0,692.8824462890625,0,92.05896012414821,SELL,679.6,774.4986828148867,584.7013171851133,SELL,80.99195356813097,SELL,91.93548387096774,SELL
2019-06-10,756.0,798.0,732.0,772.0,730.744873046875,76540500,92.22320229989342,SELL,682.3,784.2276213790965,580.3723786209034,SELL,126.34207240948815,SELL,85.3932584269663,SELL
2019-06-11,778.0,800.0,770.0,792.0,749.676025390625,60609000,92.43899788745816,SELL,689.3,800.7290805849191,577.8709194150808,SELL,133.78623188405803,SELL,95.0,SELL
2019-06-12,792.0,794.0,756.0,784.0,742.1035766601562,25444000,90.61296701804866,SELL,696.9,812.3225281303454,581.4774718696546,SELL,109.04255319148935,SELL,89.33333333333333,SELL
2019-06-13,780.0,800.0,780.0,792.0,749.676025390625,23812500,90.49595394082172,SELL,706.0,821.2805274103148,590.7194725896852,SELL,116.48163191623789,SELL,94.66666666666667,SELL
2019-06-14,796.0,796.0,760.0,768.0,726.9586181640625,17994000,88.99508101704254,SELL,713.9,823.2872021764899,604.51279782351,SELL,90.35836800233555,SELL,78.66666666666667,HOLD
2019-06-17,768.0,796.0,750.0,774.0,732.637939453125,14011500,69.41074846546866,HOLD,721.6,824.9796885272938,618.2203114727063,SELL,84.66624013648966,SELL,79.03225806451613,HOLD
2019-06-18,774.0,786.0,762.0,780.0,738.3173828125,10928000,51.46550292924109,HOLD,729.5,825.0813789396252,633.9186210603748,SELL,86.2089623771867,SELL,80.0,SELL
2019-06-19,792.0,794.0,756.0,768.0,726.9586181640625,22390000,48.25356286885614,HOLD,735.9,823.4577523695086,648.3422476304913,SELL,73.87105194466201,SELL,68.0,HOLD
2019-06-20,772.0,788.0,754.0,780.0,738.3173828125,28225500,71.5507655265335,HOLD,742.4,822.4659727974386,662.3340272025614,SELL,67.7040677040678,SELL,70.58823529411765,HOLD
2019-06-21,780.0,784.0,768.0,776.0,734.5311279296875,31510500,74.426181027084,HOLD,748.3,819.5210642998273,677.0789357001726,SELL,64.45672191528561,SELL,64.70588235294117,HOLD
2019-06-24,776.0,776.0,756.0,772.0,730.744873046875,8998000,72.35930418189558,HOLD,753.6,814.573436839333,692.626563160667,SELL,40.323913402743315,SELL,58.8235294117647,HOLD
2019-06-25,772.0,772.0,754.0,756.0,715.599853515625,19327000,68.32279352607563,HOLD,757.9,805.3042192215007,710.4957807784992,BUY,13.353115727002624,SELL,35.294117647058826,HOLD
2019-06-26,756.0,774.0,756.0,756.0,715.599853515625,15961500,69.72023633764606,HOLD,759.4,804.5149642579942,714.2850357420058,BUY,11.484640686848245,SELL,35.294117647058826,HOLD
2019-06-27,756.0,768.0,754.0,756.0,715.599853515625,24786000,65.2649327714364,HOLD,760.9,803.3918815775448,718.4081184224551,BUY,-3.3777444173390037,BUY,35.294117647058826,HOLD
2019-06-28,760.0,774.0,756.0,758.0,717.4929809570312,24368000,59.78280854497308,HOLD,762.2,802.6158384794883,721.7841615205118,BUY,2.2929206076233424,SELL,16.0,BUY
2019-07-01,768.0,786.0,768.0,770.0,728.8517456054688,15563000,53.22499443868042,HOLD,764.1,802.1625800491779,726.0374199508221,SELL,49.01036757775671,SELL,40.0,HOLD
2019-07-02,772.0,784.0,768.0,780.0,738.3173828125,12308500,60.425237721539155,HOLD,766.5,802.1398653196118,730.8601346803882,SELL,57.5692963752664,SELL,60.0,HOLD
2019-07-03,786.0,796.0,772.0,796.0,753.4623413085938,10015000,58.23446136146625,HOLD,769.7,803.8356119031145,735.5643880968856,SELL,112.44979919678678,SELL,100.0,SELL
2019-07-04,796.0,820.0,780.0,808.0,764.821044921875,72459500,71.63916610698645,HOLD,773.5,806.9155652353813,740.0844347646187,SELL,202.17096336499299,,82.85714285714286,SELL
2019-07-05,810.0,828.0,808.0,828.0,783.7522583007812,37591500,77.94867228773118,HOLD,778.3,813.993696922566,742.606303077434,SELL,282.05128205128256,,100.0,SELL
2019-07-08,830.0,830.0,798.0,800.0,757.24853515625,19578500,72.66537682571412,HOLD,779.7,816.4755353462053,742.9244646537948,SELL,162.41173275393817,SELL,60.526315789473685,HOLD
2019-07-09,800.0,814.0,798.0,806.0,762.927978515625,11016000,75.01211399486291,HOLD,780.4,818.5910984392958,742.2089015607041,SELL,125.83865161184795,SELL,68.42105263157895,HOLD
2019-07-10,806.0,828.0,806.0,826.0,781.859130859375,32019000,75.42760287694888,HOLD,782.5,825.5604226639728,739.4395773360272,SELL,155.67537674547202,SELL,94.73684210526316,SELL
2019-07-11,830.0,862.0,830.0,850.0,804.5765991210938,46011000,76.70450546355758,HOLD,785.4,837.4937616226739,733.306238377326,SELL,209.32455992351422,,88.88888888888889,SELL
