,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-12,34200.0,123,34323.0,0.0,BUY,BUY, ,345.9,362.7985206453109,329.0014793546891,-34.3505085876278,25.0
1,2019-02-14,35600.0,163,34323.0,1114.0,SELL,SELL, ,347.8,364.5284189330612,331.07158106693885,70.20997375328096,60.0
2,2019-02-25,34800.0,125,34925.0,0.0,BUY,BUY, ,353.2,369.8565302509256,336.5434697490744,-12.10826210826202,40.0
3,2019-03-20,35400.0,162,34925.0,313.0,SELL,SELL, ,350.7,359.11665016500046,342.2833498349995,88.4057971014493,70.0
4,2019-03-22,34800.0,125,34925.0,0.0,BUY,BUY, ,349.9,357.218469785413,342.58153021458696,-64.28885953324526,33.333333333333336
5,2019-06-13,24600.0,113,34925.0,-10438.0,SELL,SELL, ,243.0,248.13809303148085,237.86190696851915,154.16666666666737,33.333333333333336
6,2019-06-24,24600.0,88,24688.0,0.0,BUY,BUY, ,244.2,249.40000000001447,238.9999999999855,-1.740644038294808,38.46153846153846
7,2019-06-27,24600.0,113,24688.0,-201.0,SELL,SELL, ,245.1,250.68211429479453,239.51788570520546,87.22741433021847,38.46153846153846
8,2019-07-17,26000.0,93,26093.0,0.0,BUY,BUY, ,264.5,294.1074314995429,234.8925685004571,-24.221734536291837,28.0
9,2019-10-17,20600.0,94,26093.0,-5587.0,SELL,SELL,SELL,190.45,208.95918690813082,171.94081309186916,108.59281225729009,88.57142857142857
10,2019-11-04,19500.0,70,19570.0,0.0,BUY,BUY, ,194.35,209.71587127370657,178.98412872629342,-3.089598352214331,40.0
11,2019-12-27,18700.0,86,19570.0,-956.0,SELL,SELL, ,185.8,188.45329983230738,183.14670016769264,50.42016806722639,57.142857142857146
