,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-01-29,134000.0,482,134482.0,0.0,BUY,-57.66840666169495
1,2019-02-21,141500.0,650,134482.0,6368.0,SELL,81.18925100057152
2,2019-03-01,131000.0,471,131471.0,0.0,BUY,-7.850029291153964
3,2019-03-04,141000.0,648,131471.0,8881.0,SELL,78.14113597246127
4,2019-03-25,134500.0,484,134984.0,0.0,BUY,-77.94925451216324
5,2019-04-24,130500.0,600,134984.0,-5084.0,SELL,10.135687428478597
6,2019-04-25,129000.0,464,129464.0,0.0,BUY,-36.23188405797172
7,2019-04-29,131500.0,604,129464.0,1432.0,SELL,40.40404040404074
8,2019-05-08,129500.0,466,129966.0,0.0,BUY,-30.724637681159862
9,2019-05-23,128000.0,588,129966.0,-2554.0,SELL,2.4203307785397343
10,2019-06-14,123500.0,444,123944.0,0.0,BUY,-61.24852767962353
11,2019-06-25,133000.0,611,123944.0,8445.0,SELL,92.50398724082949
12,2019-07-12,128000.0,460,128460.0,0.0,BUY,-38.885719718577825
13,2019-08-27,113000.0,519,128460.0,-15979.0,SELL,36.91423519009714
14,2019-09-24,129500.0,466,129966.0,0.0,BUY,-1.4222503160557693
15,2019-10-15,133000.0,611,129966.0,2423.0,SELL,8.840864440078128
16,2019-10-30,130500.0,469,130969.0,0.0,BUY,-0.8658008658010227
17,2019-11-05,137000.0,630,130969.0,5401.0,SELL,53.65853658536582
18,2019-11-14,130000.0,468,130468.0,0.0,BUY,-86.56330749353992
19,2019-12-04,136000.0,625,130468.0,4907.0,SELL,35.82853486884162
