,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-24,138000.0,496,138496.0,0.0, , , ,BUY,67.70455349338766,,,,,13.333333333333334
1,2019-02-21,141500.0,650,138496.0,2354.0, ,SELL,SELL,SELL,56.40902782720591,1326.5,1441.8299614150637,1211.1700385849363,81.18925100057152,97.5609756097561
2,2019-03-25,134500.0,484,134984.0,0.0, ,BUY,BUY,BUY,55.52417553117198,1395.75,1483.001074491951,1308.498925508049,-77.94925451216324,6.896551724137931
3,2019-05-02,134500.0,618,134984.0,-1102.0, ,SELL, ,SELL,76.51564201997228,1296.25,1332.9753318569099,1259.5246681430901,254.13533834586457,85.0
4,2019-05-10,126500.0,455,126955.0,0.0, ,BUY, ,BUY,52.93561534644829,1300.75,1338.0695659138762,1263.4304340861238,-206.30630630630648,13.636363636363637
5,2019-05-31,129500.0,595,126955.0,1950.0, ,SELL,SELL,SELL,75.4018387160612,1253.75,1337.8853076894607,1169.6146923105393,56.12378704432166,93.10344827586206
6,2019-06-14,123500.0,444,123944.0,0.0, ,BUY,BUY,BUY,57.67846138465889,1269.5,1328.2281874401058,1210.7718125598942,-61.24852767962353,5.882352941176471
7,2019-06-25,133000.0,611,123944.0,8445.0, , ,SELL,SELL,44.48248254425935,1274.0,1326.4022900262976,1221.5977099737024,92.50398724082949,95.83333333333333
8,2019-07-15,127500.0,459,127959.0,0.0, ,BUY,BUY,BUY,62.196108972834104,1332.5,1466.0102992281873,1198.9897007718127,-64.79313036690073,4.878048780487805
9,2019-08-26,112000.0,515,127959.0,-16474.0, , , ,SELL,73.02282046028058,1101.5,1259.2371230877516,943.7628769122483,-9.132420091324281,81.48148148148148
10,2019-09-26,128500.0,462,128962.0,0.0, ,BUY,BUY,BUY,58.167752218086854,1335.25,1530.3518964541354,1140.1481035458646,-29.401172117997454,11.11111111111111
11,2019-10-15,133000.0,611,128962.0,3427.0, , ,SELL,SELL,58.52382152772759,1307.25,1396.942530346736,1217.557469653264,8.840864440078128,87.5
12,2019-11-01,127000.0,457,127457.0,0.0, ,BUY,BUY,BUY,55.6007864907658,1316.0,1390.8064168370613,1241.1935831629387,-90.48833475016542,14.814814814814815
13,2019-11-05,137000.0,630,127457.0,8913.0, , ,SELL,SELL,56.14062693851907,1322.0,1393.8609768928877,1250.1390231071123,53.65853658536582,88.88888888888889
14,2019-11-27,129500.0,466,129966.0,0.0, ,BUY,BUY,BUY,45.768077357360845,1338.5,1428.2273648337011,1248.7726351662989,-64.08655846858065,12.121212121212121
15,2019-12-05,146000.0,671,129966.0,15363.0, ,SELL,SELL,SELL,71.22058892897006,1334.5,1445.8956911195407,1223.1043088804593,161.61181616118196,100.0
