,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-01-28,139000.0,500,139500.0,0.0, ,BUY,66.81333831686266
1,2019-02-21,141500.0,650,139500.0,1350.0, ,SELL,56.40902782720591
2,2019-02-28,131000.0,471,131471.0,0.0, ,BUY,61.5964937671186
3,2019-03-05,140000.0,644,131471.0,7885.0, ,SELL,70.33957340474076
4,2019-03-25,134500.0,484,134984.0,0.0, ,BUY,55.52417553117198
5,2019-04-30,130500.0,600,134984.0,-5084.0, ,SELL,68.10868074056063
6,2019-05-06,131500.0,473,131973.0,0.0, ,BUY,61.28219410497603
7,2019-05-07,131000.0,602,131973.0,-1575.0, ,SELL,63.85547924467341
8,2019-05-08,129500.0,466,129966.0,0.0, ,BUY,58.91035014119933
9,2019-05-27,126500.0,581,129966.0,-4047.0, ,SELL,41.87284966262062
10,2019-05-28,127000.0,457,127457.0,0.0, ,BUY,52.59279510649062
11,2019-05-29,127000.0,584,127457.0,-1041.0, ,SELL,61.23988069610488
12,2019-06-13,127500.0,459,127959.0,0.0, ,BUY,64.88348393870973
13,2019-06-26,136000.0,625,127959.0,7416.0, ,SELL,60.40433508929294
14,2019-07-09,133500.0,480,133980.0,0.0, ,BUY,72.78558315518158
15,2019-07-10,134500.0,618,133980.0,-98.0, ,SELL,68.49945418879659
16,2019-07-11,133500.0,480,133980.0,0.0, ,BUY,72.00382491337818
17,2019-08-28,110500.0,508,133980.0,-23988.0, ,SELL,70.2129857713421
18,2019-09-24,129500.0,466,129966.0,0.0, ,BUY,65.02634947961411
19,2019-10-18,131000.0,602,129966.0,432.0, ,SELL,61.698003008162885
20,2019-10-30,130500.0,469,130969.0,0.0, ,BUY,67.15033711907792
21,2019-11-06,139000.0,639,130969.0,7392.0, ,SELL,63.98254746151332
22,2019-11-07,138500.0,498,138998.0,0.0, ,BUY,56.45839551328496
23,2019-11-08,141500.0,650,138998.0,1852.0, ,SELL,58.42221243836089
24,2019-11-13,133500.0,480,133980.0,0.0, ,BUY,52.47357400514124
25,2019-12-05,146000.0,671,133980.0,11349.0, ,SELL,71.22058892897006
