,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-01-29,134000.0,482,134482.0,0.0, ,BUY,BUY,58.86912060466716,1394.5,1526.3673575984594,1262.6326424015406,-57.66840666169495
1,2019-02-21,141500.0,650,134482.0,6368.0, ,SELL,SELL,56.40902782720591,1326.5,1441.8299614150637,1211.1700385849363,81.18925100057152
2,2019-03-01,131000.0,471,131471.0,0.0, ,BUY,BUY,60.63300306357125,1322.5,1438.1935607542619,1206.8064392457381,-7.850029291153964
3,2019-03-05,140000.0,644,131471.0,7885.0, ,SELL,SELL,70.33957340474076,1327.0,1451.3945336419574,1202.6054663580426,107.5584556824362
4,2019-03-25,134500.0,484,134984.0,0.0, ,BUY,BUY,55.52417553117198,1395.75,1483.001074491951,1308.498925508049,-77.94925451216324
5,2019-04-30,130500.0,600,134984.0,-5084.0, ,SELL,SELL,68.10868074056063,1293.75,1326.7462119037953,1260.7537880962047,120.39246884115641
6,2019-05-08,129500.0,466,129966.0,0.0, ,BUY,BUY,58.91035014119933,1303.25,1335.386427928445,1271.113572071555,-30.724637681159862
7,2019-05-27,126500.0,581,129966.0,-4047.0, ,SELL,SELL,41.87284966262062,1263.0,1364.3607419073096,1161.6392580926904,6.981548763980779
8,2019-06-14,123500.0,444,123944.0,0.0, ,BUY,BUY,57.67846138465889,1269.5,1328.2281874401058,1210.7718125598942,-61.24852767962353
9,2019-06-28,136000.0,625,123944.0,11431.0, ,SELL,SELL,62.25031706920243,1288.75,1374.1241764235542,1203.3758235764458,182.64299802761295
10,2019-07-12,128000.0,460,128460.0,0.0, ,BUY,BUY,69.31296154820902,1330.5,1468.5181147531007,1192.4818852468993,-38.885719718577825
11,2019-08-28,110500.0,508,128460.0,-18468.0, ,SELL,SELL,70.2129857713421,1085.0,1188.8749247893857,981.1250752106142,40.903054448870954
12,2019-09-24,129500.0,466,129966.0,0.0, ,BUY,BUY,65.02634947961411,1315.75,1555.7140598089643,1075.7859401910357,-1.4222503160557693
13,2019-10-18,131000.0,602,129966.0,432.0, ,SELL,SELL,61.698003008162885,1295.75,1351.8102354615123,1239.6897645384877,75.19939232814201
14,2019-10-30,130500.0,469,130969.0,0.0, ,BUY,BUY,67.15033711907792,1313.75,1391.7804427771632,1235.7195572228368,-0.8658008658010227
15,2019-11-06,139000.0,639,130969.0,7392.0, ,SELL,SELL,63.98254746151332,1328.0,1401.5119037979573,1254.4880962020427,127.9601990049754
16,2019-11-14,130000.0,468,130468.0,0.0, ,BUY,BUY,48.507503710244,1351.0,1438.2123844416612,1263.7876155583388,-86.56330749353992
17,2019-12-05,146000.0,671,130468.0,14861.0, ,SELL,SELL,71.22058892897006,1334.5,1445.8956911195407,1223.1043088804593,161.61181616118196
