,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-01-24,138000.0,496,138496.0,0.0, , ,BUY,67.70455349338766,,,,13.333333333333334
1,2019-02-21,141500.0,650,138496.0,2354.0, ,SELL,SELL,56.40902782720591,1326.5,1441.8299614150637,1211.1700385849363,97.5609756097561
2,2019-02-28,131000.0,471,131471.0,0.0, ,BUY, ,61.5964937671186,1325.75,1443.4901800576172,1208.0098199423828,38.775510204081634
3,2019-03-05,140000.0,644,131471.0,7885.0, ,SELL, ,70.33957340474076,1327.0,1451.3945336419574,1202.6054663580426,75.51020408163265
4,2019-03-25,134500.0,484,134984.0,0.0, ,BUY,BUY,55.52417553117198,1395.75,1483.001074491951,1308.498925508049,6.896551724137931
5,2019-04-30,130500.0,600,134984.0,-5084.0, ,SELL, ,68.10868074056063,1293.75,1326.7462119037953,1260.7537880962047,56.25
6,2019-05-06,131500.0,473,131973.0,0.0, ,BUY, ,61.28219410497603,1302.75,1334.7617166050204,1270.7382833949796,55.0
7,2019-05-07,131000.0,602,131973.0,-1575.0, ,SELL, ,63.85547924467341,1303.5,1335.4530906173432,1271.5469093826568,50.0
8,2019-05-08,129500.0,466,129966.0,0.0, ,BUY, ,58.91035014119933,1303.25,1335.386427928445,1271.113572071555,35.0
9,2019-05-27,126500.0,581,129966.0,-4047.0, ,SELL, ,41.87284966262062,1263.0,1364.3607419073096,1161.6392580926904,70.0
10,2019-05-28,127000.0,457,127457.0,0.0, ,BUY, ,52.59279510649062,1261.25,1360.8429214352116,1161.6570785647884,75.86206896551724
11,2019-05-29,127000.0,584,127457.0,-1041.0, ,SELL, ,61.23988069610488,1259.5,1357.1678043164698,1161.8321956835302,75.86206896551724
12,2019-06-13,127500.0,459,127959.0,0.0, ,BUY, ,64.88348393870973,1266.5,1336.9343666117627,1196.0656333882373,27.272727272727273
13,2019-06-25,133000.0,611,127959.0,4430.0, , ,SELL,44.48248254425935,1274.0,1326.4022900262976,1221.5977099737024,95.83333333333333
14,2019-07-09,133500.0,480,133980.0,0.0, ,BUY, ,72.78558315518158,1324.5,1465.5283659410406,1183.4716340589594,44.89795918367347
15,2019-07-10,134500.0,618,133980.0,-98.0, ,SELL, ,68.49945418879659,1327.75,1467.5167700134768,1187.9832299865232,48.97959183673469
16,2019-07-11,133500.0,480,133980.0,0.0, ,BUY, ,72.00382491337818,1330.25,1468.650686414483,1191.849313585517,44.89795918367347
17,2019-08-26,112000.0,515,133980.0,-22495.0, , ,SELL,73.02282046028058,1101.5,1259.2371230877516,943.7628769122483,81.48148148148148
18,2019-08-27,113000.0,406,113406.0,0.0, ,BUY, ,75.4915583161075,1093.25,1224.7138733645122,961.7861266354877,82.75862068965517
19,2019-08-28,110500.0,508,113406.0,-3414.0, ,SELL, ,70.2129857713421,1085.0,1188.8749247893857,981.1250752106142,65.51724137931035
20,2019-09-24,129500.0,466,129966.0,0.0, ,BUY, ,65.02634947961411,1315.75,1555.7140598089643,1075.7859401910357,28.30188679245283
21,2019-10-15,133000.0,611,129966.0,2423.0, , ,SELL,58.52382152772759,1307.25,1396.942530346736,1217.557469653264,87.5
22,2019-10-16,131500.0,473,131973.0,0.0, ,BUY, ,61.397181644947516,1302.75,1380.6265048008715,1224.8734951991285,64.28571428571429
23,2019-10-18,131000.0,602,131973.0,-1575.0, ,SELL, ,61.698003008162885,1295.75,1351.8102354615123,1239.6897645384877,60.714285714285715
24,2019-10-30,130500.0,469,130969.0,0.0, ,BUY, ,67.15033711907792,1313.75,1391.7804427771632,1235.7195572228368,30.434782608695652
25,2019-11-05,137000.0,630,130969.0,5401.0, , ,SELL,56.14062693851907,1322.0,1393.8609768928877,1250.1390231071123,88.88888888888889
26,2019-11-07,138500.0,498,138998.0,0.0, ,BUY, ,56.45839551328496,1334.25,1404.7677282674374,1263.7322717325626,84.375
27,2019-11-08,141500.0,650,138998.0,1852.0, ,SELL,SELL,58.42221243836089,1340.25,1416.5700497903408,1263.9299502096592,89.1891891891892
28,2019-11-13,133500.0,480,133980.0,0.0, ,BUY, ,52.47357400514124,1352.0,1437.2877482408821,1266.7122517591179,44.73684210526316
29,2019-12-05,146000.0,671,133980.0,11349.0, ,SELL,SELL,71.22058892897006,1334.5,1445.8956911195407,1223.1043088804593,100.0
