,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-24,138000.0,496,138496.0,0.0,BUY,13.333333333333334
1,2019-02-21,141500.0,650,138496.0,2354.0,SELL,97.5609756097561
2,2019-03-25,134500.0,484,134984.0,0.0,BUY,6.896551724137931
3,2019-05-02,134500.0,618,134984.0,-1102.0,SELL,85.0
4,2019-05-10,126500.0,455,126955.0,0.0,BUY,13.636363636363637
5,2019-05-31,129500.0,595,126955.0,1950.0,SELL,93.10344827586206
6,2019-06-14,123500.0,444,123944.0,0.0,BUY,5.882352941176471
7,2019-06-25,133000.0,611,123944.0,8445.0,SELL,95.83333333333333
8,2019-07-15,127500.0,459,127959.0,0.0,BUY,4.878048780487805
9,2019-08-26,112000.0,515,127959.0,-16474.0,SELL,81.48148148148148
10,2019-09-26,128500.0,462,128962.0,0.0,BUY,11.11111111111111
11,2019-10-15,133000.0,611,128962.0,3427.0,SELL,87.5
12,2019-11-01,127000.0,457,127457.0,0.0,BUY,14.814814814814815
13,2019-11-05,137000.0,630,127457.0,8913.0,SELL,88.88888888888889
14,2019-11-27,129500.0,466,129966.0,0.0,BUY,12.121212121212121
15,2019-12-05,146000.0,671,129966.0,15363.0,SELL,100.0
