,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20
0,2019-04-11,61000.0,219,61219.0,0.0,BUY, ,-126.12137203166203
1,2019-05-23,49200.0,226,61219.0,-12245.0,SELL, ,52.00291892307084
2,2019-06-12,47400.0,170,47570.0,0.0,BUY, ,-25.12471655328771
3,2019-06-14,49000.0,225,47570.0,1205.0,SELL, ,14.565186348707758
4,2019-06-17,48600.0,174,48774.0,0.0,BUY, ,-17.224685318248966
5,2019-07-03,48800.0,224,48774.0,-198.0,SELL, ,50.54991539763054
6,2019-07-12,48200.0,173,48373.0,0.0,BUY, ,-4.679144385026664
7,2019-07-15,49400.0,227,48373.0,800.0,SELL, ,43.15279612505479
8,2019-07-22,49400.0,177,49577.0,0.0,BUY, ,-9.738123437294053
9,2019-07-23,49400.0,227,49577.0,-404.0,SELL, ,58.97320760365259
10,2019-07-24,49200.0,177,49377.0,0.0,BUY, ,-16.260162601625115
11,2019-07-25,49200.0,226,49377.0,-403.0, ,SELL,-45.06604506604517
12,2019-07-29,48800.0,175,48975.0,0.0,BUY, ,-94.01709401709377
13,2019-07-31,50500.0,232,48975.0,1293.0,SELL, ,138.71323898424205
14,2019-08-02,46800.0,168,46968.0,0.0, ,BUY,-211.15065243179131
15,2019-08-14,49600.0,228,46968.0,2404.0,SELL, ,70.50092764378478
16,2019-08-21,48800.0,175,48975.0,0.0,BUY, ,-69.62025316455704
17,2019-08-23,49400.0,227,48975.0,198.0,SELL, ,58.54387394729659
18,2019-08-28,45800.0,164,45964.0,0.0,BUY, ,-137.81425035821295
19,2019-09-09,48400.0,222,45964.0,2214.0,SELL, ,8.810572687224749
20,2019-09-10,47600.0,171,47771.0,0.0,BUY, ,-42.216358839049995
21,2019-10-18,36000.0,165,47771.0,-11936.0,SELL, ,15.384615384615328
22,2019-10-24,34200.0,123,34323.0,0.0,BUY, ,-29.549549549549713
23,2019-10-25,38400.0,176,34323.0,3901.0,SELL, ,97.08222811671064
24,2019-11-04,34600.0,124,34724.0,0.0,BUY, ,-40.687679083094366
25,2019-11-21,33000.0,151,34724.0,-1875.0, ,SELL,-48.48484848484839
26,2019-11-22,33200.0,119,33319.0,0.0,BUY, ,-37.75971093044265
27,2019-11-28,31600.0,145,33319.0,-1864.0, ,SELL,-72.1921921921921
28,2019-11-29,29000.0,104,29104.0,0.0,BUY, ,-118.34733893557411
29,2019-12-18,31000.0,142,29104.0,1754.0,SELL, ,33.81437464629306
