,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-04-11,61000.0,219,61219.0,0.0, ,BUY,58.69879838094029
1,2019-05-24,46200.0,212,61219.0,-15231.0,SELL, ,80.43641685040426
2,2019-05-27,48000.0,172,48172.0,0.0, ,BUY,66.58436921843776
3,2019-05-29,50000.0,230,48172.0,1598.0,SELL, ,86.92878762380619
4,2019-06-12,47400.0,170,47570.0,0.0,BUY, ,10.151605419231913
5,2019-06-14,49000.0,225,47570.0,1205.0, ,SELL,24.821957645072274
6,2019-06-17,48600.0,174,48774.0,0.0, ,BUY,26.064065130611723
7,2019-07-03,48800.0,224,48774.0,-198.0, ,SELL,55.992317928865226
8,2019-07-12,48200.0,173,48373.0,0.0, ,BUY,52.95069386360092
9,2019-07-16,49400.0,227,48373.0,800.0, ,SELL,54.70788975568566
10,2019-07-18,49400.0,177,49577.0,0.0, ,BUY,56.95523668253171
11,2019-07-19,49400.0,227,49577.0,-404.0, ,SELL,56.81777355921378
12,2019-07-22,49400.0,177,49577.0,0.0, ,BUY,55.65134848642825
13,2019-07-23,49400.0,227,49577.0,-404.0, ,SELL,54.46392567454242
14,2019-07-24,49200.0,177,49377.0,0.0, ,BUY,54.14655540950688
15,2019-08-01,50500.0,232,49377.0,891.0, ,SELL,38.135482991848974
16,2019-08-02,46800.0,168,46968.0,0.0, ,BUY,32.54540634095045
17,2019-08-15,49600.0,228,46968.0,2404.0, ,SELL,53.02274125169765
18,2019-08-21,48800.0,175,48975.0,0.0,BUY, ,14.715281089198413
19,2019-08-23,49400.0,227,48975.0,198.0, ,SELL,25.71430849833733
20,2019-08-28,45800.0,164,45964.0,0.0, ,BUY,31.886006981182447
21,2019-09-09,48400.0,222,45964.0,2214.0, ,SELL,10.843431739074376
22,2019-09-10,47600.0,171,47771.0,0.0,BUY, ,15.775777183851446
23,2019-10-10,34200.0,157,47771.0,-13728.0,SELL, ,87.66274231809926
24,2019-10-11,33600.0,120,33720.0,0.0, ,BUY,56.04275089082868
25,2019-10-21,36000.0,165,33720.0,2115.0, ,SELL,57.992004020376704
26,2019-10-24,34200.0,123,34323.0,0.0, ,BUY,53.87042117674583
27,2019-10-28,36000.0,165,34323.0,1512.0, ,SELL,54.15284302040244
28,2019-10-30,38000.0,136,38136.0,0.0,BUY, ,5.7004995327695696
29,2019-11-01,35400.0,162,38136.0,-2898.0, ,SELL,20.481334680448697
30,2019-11-04,34600.0,124,34724.0,0.0,BUY, ,19.947016525797906
31,2019-12-16,27800.0,127,34724.0,-7051.0,SELL, ,96.49607043812227
32,2019-12-17,26200.0,94,26294.0,0.0, ,BUY,91.04009836882301
33,2019-12-18,31000.0,142,26294.0,4564.0,SELL, ,92.77808890444523
