,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-04-11,61000.0,219,61219.0,0.0, ,BUY,BUY,BUY,58.69879838094029,714.75,797.6037868778477,631.8962131221523,-126.12137203166203,0.0
1,2019-05-24,46200.0,212,61219.0,-15231.0,SELL, ,SELL, ,80.43641685040426,471.75,508.5514945348699,434.9485054651301,46.46464646464652,30.76923076923077
2,2019-06-12,47400.0,170,47570.0,0.0,BUY,BUY,BUY, ,10.151605419231913,486.4,515.837391188759,456.9626088112409,-25.12471655328771,32.0
3,2019-06-14,49000.0,225,47570.0,1205.0, ,SELL,SELL,SELL,24.821957645072274,486.4,518.4399750312017,454.3600249687982,14.565186348707758,80.0
4,2019-06-18,47000.0,169,47169.0,0.0,BUY,BUY,BUY, ,19.660841523529456,487.0,518.5594676761195,455.4405323238805,-109.27803844407454,40.0
5,2019-07-05,50000.0,230,47169.0,2601.0, ,SELL,SELL,SELL,72.5902717041337,479.0,503.9639740426088,454.0360259573912,107.2664359861592,100.0
6,2019-08-21,48800.0,175,48975.0,0.0,BUY,BUY,BUY, ,14.715281089198413,489.1,506.7737092880933,471.42629071190674,-69.62025316455704,70.0
7,2019-08-23,49400.0,227,48975.0,198.0, ,SELL,SELL,SELL,25.71430849833733,488.5,506.85755975068673,470.14244024931327,58.54387394729659,85.0
8,2019-08-28,45800.0,164,45964.0,0.0, ,BUY,BUY,BUY,31.886006981182447,486.65,508.2488425615827,465.05115743841725,-137.81425035821295,0.0
9,2019-10-10,34200.0,157,45964.0,-11921.0,SELL, , , ,87.66274231809926,368.0,405.3309523050271,330.6690476949729,-101.74255199550304,64.15094339622641
10,2019-10-15,33600.0,120,33720.0,0.0, ,BUY,BUY,BUY,58.14763081386414,360.6,400.621993953328,320.57800604667204,-93.22381930184798,0.0
11,2019-10-30,38000.0,174,33720.0,4106.0, ,SELL,SELL,SELL,5.7004995327695696,351.5,379.9218226016601,323.0781773983399,161.19116234389995,91.66666666666667
12,2019-11-04,34600.0,124,34724.0,0.0,BUY,BUY,BUY, ,19.947016525797906,352.4,382.3492904757397,322.4507095242603,-40.687679083094366,20.833333333333332
13,2019-12-16,27800.0,127,34724.0,-7051.0,SELL, , , ,96.49607043812227,297.3,335.6097898715245,258.9902101284755,-72.22222222222234,19.23076923076923
