,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-04-11,61000.0,219,61219.0,0.0, ,BUY,BUY,BUY,58.69879838094029,714.75,797.6037868778477,631.8962131221523,-126.12137203166203,0.0
1,2019-05-23,49200.0,226,61219.0,-12245.0, , ,SELL,SELL,59.36426671201328,474.65,516.6893862942842,432.61061370571576,52.00291892307084,100.0
2,2019-05-24,46200.0,166,46366.0,0.0, ,BUY, , ,80.43641685040426,471.75,508.5514945348699,434.9485054651301,46.46464646464652,30.76923076923077
3,2019-05-29,50000.0,230,46366.0,3404.0,SELL,SELL,SELL, ,86.92878762380619,469.5,499.6695210435973,439.3304789564027,160.72545340838028,66.66666666666667
4,2019-06-12,47400.0,170,47570.0,0.0,BUY,BUY,BUY, ,10.151605419231913,486.4,515.837391188759,456.9626088112409,-25.12471655328771,32.0
5,2019-06-14,49000.0,225,47570.0,1205.0, ,SELL,SELL,SELL,24.821957645072274,486.4,518.4399750312017,454.3600249687982,14.565186348707758,80.0
6,2019-06-17,48600.0,174,48774.0,0.0, ,BUY,BUY, ,26.064065130611723,487.1,518.4553823130899,455.74461768691015,-17.224685318248966,72.0
7,2019-07-03,48800.0,224,48774.0,-198.0, ,SELL,SELL, ,55.992317928865226,479.6,505.93932421304777,453.2606757869523,50.54991539763054,76.0
8,2019-07-12,48200.0,173,48373.0,0.0, ,BUY,BUY, ,52.95069386360092,481.9,504.4024443116751,459.39755568832487,-4.679144385026664,64.0
9,2019-07-15,49400.0,227,48373.0,800.0, , ,SELL,SELL,54.80916153152665,482.3,505.35731987894604,459.242680121054,43.15279612505479,87.5
10,2019-07-18,49400.0,177,49577.0,0.0, ,BUY, , ,56.95523668253171,485.9,507.60622030663177,464.1937796933682,9.389671361502016,85.0
11,2019-07-19,49400.0,227,49577.0,-404.0, ,SELL,SELL,SELL,56.81777355921378,487.1,507.78719410650064,466.4128058934994,63.54916067146274,85.0
12,2019-07-22,49400.0,177,49577.0,0.0, ,BUY,BUY, ,55.65134848642825,488.3,507.61942028115834,468.9805797188417,-9.738123437294053,85.0
13,2019-07-23,49400.0,227,49577.0,-404.0, ,SELL,SELL,SELL,54.46392567454242,489.5,507.0214154679361,471.9785845320639,58.97320760365259,85.0
14,2019-07-24,49200.0,177,49377.0,0.0, ,BUY,BUY, ,54.14655540950688,490.6,505.6784614599776,475.52153854002245,-16.260162601625115,80.0
15,2019-07-26,49200.0,226,49377.0,-403.0, , ,SELL,SELL,33.1057911917803,492.1,503.9978989741898,480.20210102581024,26.666666666667282,80.0
16,2019-07-29,48800.0,175,48975.0,0.0, ,BUY,BUY, ,68.87568543897939,492.5,503.2238052947648,481.7761947052352,-94.01709401709377,70.0
17,2019-07-31,50500.0,232,48975.0,1293.0, , ,SELL,SELL,27.96453538441797,493.85,504.09255827418247,483.6074417258176,138.71323898424205,90.0
18,2019-08-02,46800.0,168,46968.0,0.0, ,BUY, ,BUY,32.54540634095045,493.1,508.808596372688,477.39140362731206,-211.15065243179131,4.545454545454546
