,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-04-11,61000.0,219,61219.0,0.0, ,BUY,BUY,58.69879838094029,-126.12137203166203,0.0
1,2019-05-23,49200.0,226,61219.0,-12245.0, ,SELL,SELL,59.36426671201328,52.00291892307084,100.0
2,2019-06-12,47400.0,170,47570.0,0.0,BUY,BUY, ,10.151605419231913,-25.12471655328771,32.0
3,2019-06-14,49000.0,225,47570.0,1205.0, ,SELL,SELL,24.821957645072274,14.565186348707758,80.0
4,2019-06-18,47000.0,169,47169.0,0.0,BUY,BUY, ,19.660841523529456,-109.27803844407454,40.0
5,2019-07-05,50000.0,230,47169.0,2601.0, ,SELL,SELL,72.5902717041337,107.2664359861592,100.0
6,2019-08-21,48800.0,175,48975.0,0.0,BUY,BUY, ,14.715281089198413,-69.62025316455704,70.0
7,2019-08-23,49400.0,227,48975.0,198.0, ,SELL,SELL,25.71430849833733,58.54387394729659,85.0
8,2019-08-28,45800.0,164,45964.0,0.0, ,BUY,BUY,31.886006981182447,-137.81425035821295,0.0
9,2019-10-10,34200.0,157,45964.0,-11921.0,SELL, , ,87.66274231809926,-101.74255199550304,64.15094339622641
10,2019-10-15,33600.0,120,33720.0,0.0, ,BUY,BUY,58.14763081386414,-93.22381930184798,0.0
11,2019-10-25,38400.0,176,33720.0,4504.0, ,SELL,SELL,55.23042291872844,97.08222811671064,100.0
12,2019-10-30,38000.0,136,38136.0,0.0,BUY, , ,5.7004995327695696,161.19116234389995,91.66666666666667
13,2019-10-31,37600.0,172,38136.0,-708.0, ,SELL,SELL,20.945265723520365,71.61904761904778,83.33333333333333
14,2019-11-04,34600.0,124,34724.0,0.0,BUY,BUY, ,19.947016525797906,-40.687679083094366,20.833333333333332
15,2019-12-16,27800.0,127,34724.0,-7051.0,SELL, , ,96.49607043812227,-72.22222222222234,19.23076923076923
