,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-04-11,61000.0,219,61219.0,0.0, ,BUY,BUY,58.69879838094029,-126.12137203166203,0.0
1,2019-05-23,49200.0,226,61219.0,-12245.0, ,SELL,SELL,59.36426671201328,52.00291892307084,100.0
2,2019-06-12,47400.0,170,47570.0,0.0,BUY,BUY, ,10.151605419231913,-25.12471655328771,32.0
3,2019-06-14,49000.0,225,47570.0,1205.0, ,SELL,SELL,24.821957645072274,14.565186348707758,80.0
4,2019-06-17,48600.0,174,48774.0,0.0, ,BUY, ,26.064065130611723,-17.224685318248966,72.0
5,2019-07-03,48800.0,224,48774.0,-198.0, ,SELL, ,55.992317928865226,50.54991539763054,76.0
6,2019-07-12,48200.0,173,48373.0,0.0, ,BUY, ,52.95069386360092,-4.679144385026664,64.0
7,2019-07-15,49400.0,227,48373.0,800.0, ,SELL,SELL,54.80916153152665,43.15279612505479,87.5
8,2019-07-22,49400.0,177,49577.0,0.0, ,BUY, ,55.65134848642825,-9.738123437294053,85.0
9,2019-07-23,49400.0,227,49577.0,-404.0, ,SELL,SELL,54.46392567454242,58.97320760365259,85.0
10,2019-07-24,49200.0,177,49377.0,0.0, ,BUY, ,54.14655540950688,-16.260162601625115,80.0
11,2019-07-25,49200.0,226,49377.0,-403.0, , ,SELL,36.29432127040845,-45.06604506604517,80.0
12,2019-07-29,48800.0,175,48975.0,0.0, ,BUY, ,68.87568543897939,-94.01709401709377,70.0
13,2019-07-31,50500.0,232,48975.0,1293.0, ,SELL,SELL,27.96453538441797,138.71323898424205,90.0
14,2019-08-02,46800.0,168,46968.0,0.0, , ,BUY,32.54540634095045,-211.15065243179131,4.545454545454546
15,2019-08-14,49600.0,228,46968.0,2404.0, ,SELL, ,53.02274125169765,70.50092764378478,70.83333333333333
16,2019-08-21,48800.0,175,48975.0,0.0,BUY,BUY, ,14.715281089198413,-69.62025316455704,70.0
17,2019-08-23,49400.0,227,48975.0,198.0, ,SELL,SELL,25.71430849833733,58.54387394729659,85.0
18,2019-08-28,45800.0,164,45964.0,0.0, ,BUY,BUY,31.886006981182447,-137.81425035821295,0.0
19,2019-09-09,48400.0,222,45964.0,2214.0, ,SELL, ,10.843431739074376,8.810572687224749,73.6842105263158
20,2019-09-10,47600.0,171,47771.0,0.0,BUY,BUY, ,15.775777183851446,-42.216358839049995,52.63157894736842
21,2019-10-10,34200.0,157,47771.0,-13728.0,SELL, , ,87.66274231809926,-101.74255199550304,64.15094339622641
22,2019-10-11,33600.0,120,33720.0,0.0, ,BUY, ,56.04275089082868,-105.05970870435571,58.490566037735846
23,2019-10-18,36000.0,165,33720.0,2115.0, ,SELL, ,57.64893664993026,15.384615384615328,54.54545454545455
24,2019-10-24,34200.0,123,34323.0,0.0, ,BUY,BUY,53.87042117674583,-29.549549549549713,17.647058823529413
25,2019-10-25,38400.0,176,34323.0,3901.0, ,SELL,SELL,55.23042291872844,97.08222811671064,100.0
26,2019-10-30,38000.0,136,38136.0,0.0,BUY, , ,5.7004995327695696,161.19116234389995,91.66666666666667
27,2019-10-31,37600.0,172,38136.0,-708.0, ,SELL,SELL,20.945265723520365,71.61904761904778,83.33333333333333
28,2019-11-04,34600.0,124,34724.0,0.0,BUY,BUY, ,19.947016525797906,-40.687679083094366,20.833333333333332
29,2019-11-21,33000.0,151,34724.0,-1875.0, , ,SELL,1.0442397433022705,-48.48484848484839,81.81818181818181
30,2019-11-22,33200.0,119,33319.0,0.0,BUY,BUY, ,1.2446436975206154,-37.75971093044265,83.63636363636364
31,2019-11-28,31600.0,145,33319.0,-1864.0, , ,SELL,1.9934704752250383,-72.1921921921921,82.6086956521739
32,2019-11-29,29000.0,104,29104.0,0.0,BUY,BUY, ,2.4709790907683242,-118.34733893557411,54.34782608695652
33,2019-12-16,27800.0,127,29104.0,-1431.0,SELL, , ,96.49607043812227,-72.22222222222234,19.23076923076923
34,2019-12-17,26200.0,94,26294.0,0.0, ,BUY, ,91.04009836882301,-159.66266437964563,42.5531914893617
35,2019-12-18,31000.0,142,26294.0,4564.0,SELL,SELL,SELL,92.77808890444523,33.81437464629306,84.61538461538461
