,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-28,101500.0,365,101865.0,0.0,BUY,BUY, ,1020.25,1098.126504800869,942.373495199131,-20.5804749340367,51.61290322580645
1,2019-03-04,105000.0,483,101865.0,2652.0,SELL,SELL, ,1027.0,1101.5251635355453,952.4748364644547,62.328312967699375,71.42857142857143
2,2019-03-08,99000.0,356,99356.0,0.0,BUY,BUY,BUY,1023.25,1091.899471957181,954.6005280428191,-66.78959229666043,9.090909090909092
3,2019-06-03,72500.0,333,99356.0,-27189.0,SELL,SELL, ,720.75,768.7369774001244,672.7630225998756,7.786762503743502,65.0
4,2019-08-05,86000.0,309,86309.0,0.0,BUY,BUY,BUY,901.0,984.6420946653052,817.3579053346948,-59.97144217039505,3.8461538461538463
5,2019-08-07,100500.0,462,86309.0,13729.0,SELL,SELL,SELL,916.0,994.0768851837718,837.9231148162282,161.301671064204,87.5
6,2019-08-27,102000.0,367,102367.0,0.0,BUY, ,BUY,1020.5,1164.3019471356342,876.6980528643656,7.669285447063141,7.142857142857143
7,2019-08-29,105500.0,485,102367.0,2648.0,SELL,SELL, ,1032.75,1163.9168784411665,901.5831215588335,41.30308318789975,29.62962962962963
8,2019-09-13,107000.0,385,107385.0,0.0,BUY,BUY, ,1080.25,1160.5292002949686,999.9707997050315,-1.6792611251048013,32.25806451612903
9,2019-12-09,82500.0,379,107385.0,-25264.0,SELL,SELL,SELL,804.0,851.6025209416496,756.3974790583504,63.208109719737344,81.81818181818181
