,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-02-12,96000.0,345,96345.0,0.0, ,BUY,70.2573564454455
1,2019-02-13,101000.0,464,96345.0,4191.0, ,SELL,71.45537411089462
2,2019-02-15,95000.0,342,95342.0,0.0, ,BUY,66.56029896955214
3,2019-02-18,99500.0,457,95342.0,3701.0, ,SELL,70.91111354764715
4,2019-02-28,101500.0,365,101865.0,0.0, ,BUY,51.33501693004194
5,2019-03-04,105000.0,483,101865.0,2652.0, ,SELL,64.44842296886357
6,2019-03-05,103500.0,372,103872.0,0.0, ,BUY,56.341030460756194
7,2019-03-06,104500.0,480,103872.0,148.0, ,SELL,55.403531247752085
8,2019-03-08,99000.0,356,99356.0,0.0, ,BUY,51.64185529002416
9,2019-06-03,72500.0,333,99356.0,-27189.0, ,SELL,67.43635867888912
10,2019-07-08,82500.0,297,82797.0,0.0, ,BUY,71.83044118486836
11,2019-07-09,82500.0,379,82797.0,-676.0, ,SELL,74.74002828247949
12,2019-08-02,90000.0,324,90324.0,0.0, ,BUY,66.39206481169936
13,2019-08-07,100500.0,462,90324.0,9714.0, ,SELL,64.3767293893703
14,2019-08-26,103000.0,370,103370.0,0.0, ,BUY,79.81603557458072
15,2019-08-29,105500.0,485,103370.0,1645.0, ,SELL,70.33019091450937
16,2019-09-13,107000.0,385,107385.0,0.0, ,BUY,58.2284089515084
17,2019-12-09,82500.0,379,107385.0,-25264.0, ,SELL,60.65924740397742
