,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-26,47400.0,170,47570.0,0.0,BUY,BUY,476.6,492.3022291411123,460.8977708588877,-18.899388549193862
1,2019-03-04,48200.0,221,47570.0,409.0,SELL,SELL,479.4,490.5785508899856,468.22144911001436,80.9160305343514
2,2019-03-13,47600.0,171,47771.0,0.0,BUY,BUY,483.65,501.39570370540434,465.9042962945956,-124.77813276535377
3,2019-03-15,49400.0,227,47771.0,1402.0,SELL,SELL,485.05,503.6131355110068,466.4868644889932,94.23485219663563
4,2019-04-18,50500.0,181,50681.0,0.0,BUY,BUY,504.8,518.269966592387,491.330033407613,-46.7917535325449
5,2019-05-01,51000.0,234,50681.0,85.0,SELL,SELL,507.7,522.8670695917184,492.5329304082816,30.62886933854707
6,2019-05-08,51000.0,183,51183.0,0.0,BUY,BUY,510.2,526.3567323428977,494.0432676571023,-17.553286763389416
7,2019-05-28,51000.0,234,51183.0,-417.0,SELL,SELL,506.95,521.9763102590099,491.92368974099,22.43158366980748
8,2019-05-29,51000.0,183,51183.0,0.0,BUY,BUY,506.95,521.9763102590099,491.92368974099,-11.743450767840807
9,2019-05-30,51000.0,234,51183.0,-417.0,SELL,SELL,506.2,518.8585939187583,493.5414060812417,37.03703703703704
10,2019-06-03,50500.0,181,50681.0,0.0,BUY,BUY,505.2,516.4178429299051,493.9821570700949,-14.598540145985407
11,2019-06-14,51000.0,234,50681.0,85.0,SELL,SELL,506.45,517.0608435102977,495.83915648970236,113.38263012904227
12,2019-06-28,50000.0,180,50180.0,0.0,BUY,BUY,511.75,527.6481130955859,495.8518869044141,-22.911283376399957
13,2019-07-29,52000.0,239,50180.0,1581.0,SELL,SELL,509.45,529.987526628103,488.912473371897,167.27866177070564
14,2019-08-19,54000.0,194,54194.0,0.0,BUY,BUY,538.25,567.9611090334926,508.5388909665074,-9.127099718418911
15,2019-10-16,51500.0,236,54194.0,-2930.0,SELL,SELL,509.8,523.8513344562018,495.7486655437982,78.59922178988421
16,2019-10-29,51000.0,183,51183.0,0.0,BUY,BUY,513.15,527.0823364874686,499.2176635125314,-54.72636815920333
