,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-26,47400.0,170,47570.0,0.0,BUY,BUY, ,476.6,492.3022291411123,460.8977708588877,-18.899388549193862,52.17391304347826
1,2019-03-04,48200.0,221,47570.0,409.0,SELL,SELL, ,479.4,490.5785508899856,468.22144911001436,80.9160305343514,69.56521739130434
2,2019-03-13,47600.0,171,47771.0,0.0,BUY,BUY, ,483.65,501.39570370540434,465.9042962945956,-124.77813276535377,28.88888888888889
3,2019-03-15,49400.0,227,47771.0,1402.0,SELL,SELL, ,485.05,503.6131355110068,466.4868644889932,94.23485219663563,48.888888888888886
4,2019-04-18,50500.0,181,50681.0,0.0,BUY,BUY, ,504.8,518.269966592387,491.330033407613,-46.7917535325449,50.0
5,2019-05-01,51000.0,234,50681.0,85.0,SELL,SELL, ,507.7,522.8670695917184,492.5329304082816,30.62886933854707,40.0
6,2019-05-08,51000.0,183,51183.0,0.0,BUY,BUY, ,510.2,526.3567323428977,494.0432676571023,-17.553286763389416,34.78260869565217
7,2019-05-28,51000.0,234,51183.0,-417.0,SELL,SELL, ,506.95,521.9763102590099,491.92368974099,22.43158366980748,40.0
8,2019-05-29,51000.0,183,51183.0,0.0,BUY,BUY, ,506.95,521.9763102590099,491.92368974099,-11.743450767840807,40.0
9,2019-05-30,51000.0,234,51183.0,-417.0,SELL,SELL, ,506.2,518.8585939187583,493.5414060812417,37.03703703703704,34.78260869565217
10,2019-06-03,50500.0,181,50681.0,0.0,BUY,BUY, ,505.2,516.4178429299051,493.9821570700949,-14.598540145985407,35.483870967741936
11,2019-06-11,51000.0,234,50681.0,85.0, ,SELL,SELL,504.95,515.4851791631667,494.4148208368333,45.454545454546384,90.9090909090909
12,2019-06-13,50500.0,181,50681.0,0.0,BUY,BUY, ,505.95,516.7846665846266,495.11533341537336,-3.9817974971551657,81.81818181818181
13,2019-06-14,51000.0,234,50681.0,85.0,SELL,SELL,SELL,506.45,517.0608435102977,495.83915648970236,113.38263012904227,90.9090909090909
14,2019-06-28,50000.0,180,50180.0,0.0,BUY,BUY, ,511.75,527.6481130955859,495.8518869044141,-22.911283376399957,53.333333333333336
15,2019-07-19,51000.0,234,50180.0,586.0, , ,SELL,509.45,526.8221040752131,492.07789592478684,-29.625326749927492,84.84848484848484
16,2019-07-22,50000.0,180,50180.0,0.0,BUY,BUY, ,508.45,525.578631001923,491.32136899807705,-95.72943536830147,54.54545454545455
17,2019-07-26,53500.0,246,50180.0,3074.0,SELL, ,SELL,509.2,529.335540717846,489.0644592821539,218.72265966754208,100.0
18,2019-08-19,54000.0,194,54194.0,0.0,BUY,BUY, ,538.25,567.9611090334926,508.5388909665074,-9.127099718418911,41.666666666666664
19,2019-08-30,56000.0,257,54194.0,1549.0, ,SELL,SELL,542.5,565.1936114358225,519.8063885641775,21.097046413502536,100.0
20,2019-09-04,53000.0,190,53190.0,0.0,BUY,BUY, ,542.5,566.0584379787815,518.9415620212185,-64.93506493506463,50.0
21,2019-10-16,51500.0,236,53190.0,-1926.0,SELL,SELL, ,509.8,523.8513344562018,495.7486655437982,78.59922178988421,45.65217391304348
22,2019-10-29,51000.0,183,51183.0,0.0,BUY,BUY, ,513.15,527.0823364874686,499.2176635125314,-54.72636815920333,37.5
