,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-02-14,48000.0,172,48172.0,0.0,BUY, ,459.9
1,2019-02-15,48000.0,220,48172.0,-392.0,SELL, ,463.2
2,2019-02-22,47800.0,172,47972.0,0.0,BUY, ,476.4
3,2019-02-25,47800.0,219,47972.0,-391.0, ,SELL,476.8
4,2019-02-26,47400.0,170,47570.0,0.0,BUY, ,476.6
5,2019-02-28,48600.0,223,47570.0,807.0, ,SELL,478.2
6,2019-03-01,48200.0,173,48373.0,0.0,BUY, ,478.8
7,2019-03-04,48200.0,221,48373.0,-394.0,SELL, ,479.4
8,2019-03-05,48200.0,173,48373.0,0.0,BUY, ,480.0
9,2019-03-06,48400.0,222,48373.0,-195.0, ,SELL,480.7
10,2019-03-13,47600.0,171,47771.0,0.0,BUY, ,483.65
11,2019-03-14,49400.0,227,47771.0,1402.0, ,SELL,484.35
12,2019-03-25,49400.0,177,49577.0,0.0,BUY, ,488.85
13,2019-03-26,49200.0,226,49577.0,-603.0,SELL, ,489.75
14,2019-04-09,50000.0,180,50180.0,0.0,BUY, ,498.8
15,2019-04-10,51000.0,234,50180.0,586.0,SELL, ,500.5
16,2019-04-11,50000.0,180,50180.0,0.0,BUY, ,500.8
17,2019-04-12,51000.0,234,50180.0,586.0, ,SELL,501.6
18,2019-04-15,51500.0,185,51685.0,0.0,BUY, ,502.65
19,2019-04-16,51000.0,234,51685.0,-919.0,SELL, ,503.55
20,2019-04-18,50500.0,181,50681.0,0.0,BUY, ,504.8
21,2019-04-29,52500.0,241,50681.0,1578.0, ,SELL,507.7
22,2019-04-30,51000.0,183,51183.0,0.0,BUY, ,507.7
23,2019-05-01,51000.0,234,51183.0,-417.0,SELL, ,507.7
24,2019-05-07,51000.0,183,51183.0,0.0,BUY, ,510.2
25,2019-05-13,50500.0,232,51183.0,-915.0, ,SELL,509.95
26,2019-05-14,50000.0,180,50180.0,0.0,BUY, ,509.45
27,2019-05-22,51500.0,236,50180.0,1084.0, ,SELL,508.6
28,2019-05-23,50000.0,180,50180.0,0.0,BUY, ,508.9
29,2019-05-27,51500.0,236,50180.0,1084.0, ,SELL,506.95
30,2019-05-29,51000.0,183,51183.0,0.0,BUY, ,506.95
31,2019-05-30,51000.0,234,51183.0,-417.0,SELL, ,506.2
32,2019-05-31,50500.0,181,50681.0,0.0,BUY, ,505.7
33,2019-06-04,50500.0,232,50681.0,-413.0,SELL, ,504.95
34,2019-06-05,50500.0,181,50681.0,0.0, ,BUY,504.7
35,2019-06-06,50500.0,232,50681.0,-413.0,SELL, ,504.7
36,2019-06-07,50500.0,181,50681.0,0.0, ,BUY,504.45
37,2019-06-11,51000.0,234,50681.0,85.0, ,SELL,504.95
38,2019-06-12,51500.0,185,51685.0,0.0,BUY, ,505.7
39,2019-06-14,51000.0,234,51685.0,-919.0,SELL, ,506.45
40,2019-06-18,52000.0,187,52187.0,0.0,BUY, ,508.3
41,2019-06-20,52500.0,241,52187.0,72.0,SELL, ,508.8
42,2019-06-24,52000.0,187,52187.0,0.0,BUY, ,511.25
43,2019-06-25,52000.0,239,52187.0,-426.0,SELL, ,511.5
