,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-02-26,47400.0,170,47570.0,0.0,BUY,-18.899388549193862
1,2019-02-28,48600.0,223,47570.0,807.0,SELL,47.720292936450974
2,2019-03-13,47600.0,171,47771.0,0.0,BUY,-124.77813276535377
3,2019-03-14,49400.0,227,47771.0,1402.0,SELL,45.82330391370269
4,2019-04-18,50500.0,181,50681.0,0.0,BUY,-46.7917535325449
5,2019-04-29,52500.0,241,50681.0,1578.0,SELL,173.5537190082651
6,2019-05-08,51000.0,183,51183.0,0.0,BUY,-17.553286763389416
7,2019-05-13,50500.0,232,51183.0,-915.0,SELL,51.12316034082085
8,2019-05-15,50000.0,180,50180.0,0.0,BUY,-96.99842022116859
9,2019-05-22,51500.0,236,50180.0,1084.0,SELL,28.464419475655053
10,2019-05-23,50000.0,180,50180.0,0.0,BUY,-47.67637852155054
11,2019-05-27,51500.0,236,50180.0,1084.0,SELL,5.194805194805782
12,2019-05-29,51000.0,183,51183.0,0.0,BUY,-11.743450767840807
13,2019-05-30,51000.0,234,51183.0,-417.0,SELL,37.03703703703704
14,2019-06-03,50500.0,181,50681.0,0.0,BUY,-14.598540145985407
15,2019-06-11,51000.0,234,50681.0,85.0,SELL,45.454545454546384
16,2019-06-13,50500.0,181,50681.0,0.0,BUY,-3.9817974971551657
17,2019-06-14,51000.0,234,50681.0,85.0,SELL,113.38263012904227
18,2019-06-28,50000.0,180,50180.0,0.0,BUY,-22.911283376399957
19,2019-07-01,51500.0,236,50180.0,1084.0,SELL,57.503625970479824
20,2019-07-02,50000.0,180,50180.0,0.0,BUY,-91.77661604846043
21,2019-07-09,51500.0,236,50180.0,1084.0,SELL,23.989898989899277
22,2019-07-12,51000.0,183,51183.0,0.0,BUY,-45.5486542443062
23,2019-07-24,51000.0,234,51183.0,-417.0,SELL,0.0
24,2019-08-19,54000.0,194,54194.0,0.0,BUY,-9.127099718418911
25,2019-08-20,54000.0,248,54194.0,-442.0,SELL,31.853608946120264
26,2019-08-23,54500.0,196,54696.0,0.0,BUY,-70.57823129251669
27,2019-08-28,54500.0,250,54696.0,-446.0,SELL,9.259259259258744
28,2019-09-04,53000.0,190,53190.0,0.0,BUY,-64.93506493506463
29,2019-09-27,52000.0,239,53190.0,-1429.0,SELL,2.069679199723729
30,2019-09-30,51000.0,183,51183.0,0.0,BUY,-80.07590132827285
31,2019-10-08,52000.0,239,51183.0,578.0,SELL,35.74957334051909
32,2019-10-10,50500.0,181,50681.0,0.0,BUY,-37.660818713450325
33,2019-10-11,51500.0,236,50681.0,583.0,SELL,8.168642951250504
34,2019-10-15,50000.0,180,50180.0,0.0,BUY,-86.64169787765242
35,2019-10-16,51500.0,236,50180.0,1084.0,SELL,78.59922178988421
36,2019-10-29,51000.0,183,51183.0,0.0,BUY,-54.72636815920333
37,2019-12-23,45000.0,207,51183.0,-6390.0,SELL,46.42694583523013
38,2019-12-26,44800.0,161,44961.0,0.0,BUY,-75.21697203471571
