,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-04-25,49400.0,177,49577.0,0.0, ,BUY,BUY,59.27323092260693,-189.63101354507225,13.333333333333334
1,2019-06-11,51000.0,234,49577.0,1189.0, ,SELL,SELL,2.7445674741451853,45.454545454546384,90.9090909090909
2,2019-06-13,50500.0,181,50681.0,0.0,BUY,BUY, ,4.738934529928073,-3.9817974971551657,81.81818181818181
3,2019-06-14,51000.0,234,50681.0,85.0, ,SELL,SELL,4.346685372995154,113.38263012904227,90.9090909090909
4,2019-06-28,50000.0,180,50180.0,0.0,BUY,BUY, ,10.923189662483281,-22.911283376399957,53.333333333333336
5,2019-07-19,51000.0,234,50180.0,586.0, , ,SELL,33.03957693299209,-29.625326749927492,84.84848484848484
6,2019-08-27,54500.0,196,54696.0,0.0,BUY,BUY, ,9.529396430426289,-40.0432900432889,75.0
7,2019-08-30,56000.0,257,54696.0,1047.0, ,SELL,SELL,37.99059117323928,21.097046413502536,100.0
8,2019-09-10,52000.0,187,52187.0,0.0,BUY,BUY, ,15.743170297783763,-118.32061068702322,33.333333333333336
9,2019-10-17,52000.0,239,52187.0,-426.0,SELL,SELL, ,83.9573048269649,160.17009213323894,72.22222222222223
10,2019-10-31,49800.0,179,49979.0,0.0, ,BUY,BUY,32.91335888536682,-154.57685664939504,0.0
