,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-02-14,48000.0,172,48172.0,0.0, ,BUY,89.7485889469717
1,2019-02-15,48000.0,220,48172.0,-392.0,SELL, ,93.28377769213151
2,2019-02-22,47800.0,172,47972.0,0.0, ,BUY,93.05338539395184
3,2019-02-25,47800.0,219,47972.0,-391.0,SELL, ,92.91497873987753
4,2019-02-26,47400.0,170,47570.0,0.0, ,BUY,87.70623848038397
5,2019-02-27,47400.0,218,47570.0,-388.0,SELL, ,87.62491768613069
6,2019-02-28,48600.0,174,48774.0,0.0, ,BUY,89.02706180498436
7,2019-03-01,48200.0,221,48774.0,-795.0,SELL, ,87.15234602436982
8,2019-03-05,48200.0,173,48373.0,0.0, ,BUY,82.76666543107757
9,2019-03-06,48400.0,222,48373.0,-195.0,SELL, ,85.05062808868198
10,2019-03-13,47600.0,171,47771.0,0.0, ,BUY,47.35306012837199
11,2019-03-15,49400.0,227,47771.0,1402.0, ,SELL,55.62502657376008
12,2019-03-25,49400.0,177,49577.0,0.0, ,BUY,90.6787023372753
13,2019-03-26,49200.0,226,49577.0,-603.0,SELL, ,90.39843869386318
14,2019-04-09,50000.0,180,50180.0,0.0, ,BUY,90.84184535468684
15,2019-04-10,51000.0,234,50180.0,586.0,SELL, ,89.11397166119657
16,2019-04-11,50000.0,180,50180.0,0.0, ,BUY,81.75035947434874
17,2019-04-12,51000.0,234,50180.0,586.0,SELL, ,87.83993900515911
18,2019-04-15,51500.0,185,51685.0,0.0, ,BUY,95.69180524049892
19,2019-04-16,51000.0,234,51685.0,-919.0,SELL, ,95.83068240719186
20,2019-04-18,50500.0,181,50681.0,0.0, ,BUY,88.8626013259053
21,2019-04-19,50500.0,232,50681.0,-413.0,SELL, ,88.8626013259053
22,2019-04-22,50500.0,181,50681.0,0.0, ,BUY,79.63068622432921
23,2019-05-01,51000.0,234,50681.0,85.0, ,SELL,63.87133908998527
24,2019-05-07,51000.0,183,51183.0,0.0, ,BUY,36.71599527286373
25,2019-05-28,51000.0,234,51183.0,-417.0, ,SELL,29.141091593724482
26,2019-05-29,51000.0,183,51183.0,0.0, ,BUY,21.851397086879885
27,2019-05-30,51000.0,234,51183.0,-417.0, ,SELL,10.089581828096627
28,2019-05-31,50500.0,181,50681.0,0.0,BUY, ,5.251546207848378
29,2019-06-04,50500.0,232,50681.0,-413.0, ,SELL,8.297527984504043
30,2019-06-05,50500.0,181,50681.0,0.0,BUY, ,5.917366407073885
31,2019-06-06,50500.0,232,50681.0,-413.0, ,SELL,6.041668628221643
32,2019-06-07,50500.0,181,50681.0,0.0,BUY, ,6.462389134471991
33,2019-06-14,51000.0,234,50681.0,85.0, ,SELL,4.346685372995154
34,2019-06-17,51500.0,185,51685.0,0.0,BUY, ,4.269023648829858
35,2019-06-20,52500.0,241,51685.0,574.0, ,SELL,4.109751874150902
36,2019-06-21,52500.0,189,52689.0,0.0,BUY, ,11.129679642984954
37,2019-06-25,52000.0,239,52689.0,-928.0, ,SELL,10.427199384400765
38,2019-06-26,52500.0,189,52689.0,0.0,BUY, ,11.113858705760393
39,2019-07-26,53500.0,246,52689.0,565.0,SELL, ,80.61864566760988
40,2019-08-05,54000.0,194,54194.0,0.0, ,BUY,93.73974630569313
41,2019-08-06,54000.0,248,54194.0,-442.0,SELL, ,93.57372476537108
42,2019-08-13,53500.0,192,53692.0,0.0, ,BUY,76.33857072599534
43,2019-08-14,55000.0,253,53692.0,1055.0, ,SELL,74.0943905823825
44,2019-08-15,53500.0,192,53692.0,0.0, ,BUY,43.109132879905495
45,2019-10-16,51500.0,236,53692.0,-2428.0, ,SELL,53.28718091233617
46,2019-10-17,52000.0,187,52187.0,0.0, ,BUY,83.9573048269649
47,2019-10-25,52000.0,239,52187.0,-426.0, ,SELL,45.36447910932811
48,2019-10-28,51500.0,185,51685.0,0.0, ,BUY,42.92234541662201
