,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-26,47400.0,170,47570.0,0.0, ,BUY,BUY,87.70623848038397,476.6,492.3022291411123,460.8977708588877,-18.899388549193862
1,2019-02-27,47400.0,218,47570.0,-388.0,SELL, , ,87.62491768613069,477.6,489.5063008529097,465.69369914709034,-32.900432900432534
2,2019-03-13,47600.0,171,47771.0,0.0, ,BUY,BUY,47.35306012837199,483.65,501.39570370540434,465.9042962945956,-124.77813276535377
3,2019-03-15,49400.0,227,47771.0,1402.0, ,SELL,SELL,55.62502657376008,485.05,503.6131355110068,466.4868644889932,94.23485219663563
4,2019-04-18,50500.0,181,50681.0,0.0, ,BUY,BUY,88.8626013259053,504.8,518.269966592387,491.330033407613,-46.7917535325449
5,2019-04-19,50500.0,232,50681.0,-413.0,SELL, , ,88.8626013259053,505.45,517.57394325292,493.32605674708,-4.975124378109165
6,2019-04-22,50500.0,181,50681.0,0.0, ,BUY,BUY,79.63068622432921,506.0,516.936178491595,495.06382150840494,-45.534150612961156
7,2019-05-01,51000.0,234,50681.0,85.0, ,SELL,SELL,63.87133908998527,507.7,522.8670695917184,492.5329304082816,30.62886933854707
8,2019-05-08,51000.0,183,51183.0,0.0, ,BUY,BUY,35.627555744427696,510.2,526.3567323428977,494.0432676571023,-17.553286763389416
9,2019-05-28,51000.0,234,51183.0,-417.0, ,SELL,SELL,29.141091593724482,506.95,521.9763102590099,491.92368974099,22.43158366980748
10,2019-05-29,51000.0,183,51183.0,0.0, ,BUY,BUY,21.851397086879885,506.95,521.9763102590099,491.92368974099,-11.743450767840807
11,2019-05-30,51000.0,234,51183.0,-417.0, ,SELL,SELL,10.089581828096627,506.2,518.8585939187583,493.5414060812417,37.03703703703704
12,2019-05-31,50500.0,181,50681.0,0.0,BUY,BUY, ,5.251546207848378,505.7,517.701666550943,493.69833344905703,3.442340791738379
13,2019-06-14,51000.0,234,50681.0,85.0, ,SELL,SELL,4.346685372995154,506.45,517.0608435102977,495.83915648970236,113.38263012904227
14,2019-06-17,51500.0,185,51685.0,0.0,BUY, , ,4.269023648829858,507.2,518.0000000000013,496.3999999999987,151.2605042016805
15,2019-06-20,52500.0,241,51685.0,574.0, ,SELL,SELL,4.109751874150902,508.8,521.9696621065247,495.6303378934753,197.54977029096406
16,2019-06-21,52500.0,189,52689.0,0.0,BUY, , ,11.129679642984954,510.05,524.3395066394902,495.76049336050977,246.5192465192458
17,2019-06-25,52000.0,239,52689.0,-928.0, ,SELL,SELL,10.427199384400765,511.5,525.3202749610866,497.6797250389133,115.90909090909074
18,2019-06-26,52500.0,189,52689.0,0.0,BUY, , ,11.113858705760393,512.25,527.2416643505663,497.25833564943366,115.93458344036218
19,2019-07-26,53500.0,246,52689.0,565.0,SELL,SELL, ,80.61864566760988,509.2,529.335540717846,489.0644592821539,218.72265966754208
20,2019-08-19,54000.0,194,54194.0,0.0, ,BUY,BUY,38.19152824507464,538.25,567.9611090334926,508.5388909665074,-9.127099718418911
21,2019-10-16,51500.0,236,54194.0,-2930.0, ,SELL,SELL,53.28718091233617,509.8,523.8513344562018,495.7486655437982,78.59922178988421
22,2019-10-29,51000.0,183,51183.0,0.0, ,BUY,BUY,34.92625067774213,513.15,527.0823364874686,499.2176635125314,-54.72636815920333
