,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-04-25,49400.0,177,49577.0,0.0, ,BUY,BUY,59.27323092260693,-189.63101354507225,13.333333333333334
1,2019-06-11,51000.0,234,49577.0,1189.0, ,SELL,SELL,2.7445674741451853,45.454545454546384,90.9090909090909
2,2019-06-12,51500.0,185,51685.0,0.0,BUY, , ,5.645071146454342,119.02789284727832,100.0
3,2019-06-14,51000.0,234,51685.0,-919.0, ,SELL,SELL,4.346685372995154,113.38263012904227,90.9090909090909
4,2019-06-17,51500.0,185,51685.0,0.0,BUY, , ,4.269023648829858,151.2605042016805,100.0
5,2019-06-18,52000.0,239,51685.0,76.0, ,SELL,SELL,3.8295094991896548,112.43611584327176,100.0
6,2019-06-20,52500.0,189,52689.0,0.0,BUY, , ,4.109751874150902,197.54977029096406,100.0
7,2019-06-24,52000.0,239,52689.0,-928.0, ,SELL,SELL,10.37706106546942,92.51192698610258,80.0
8,2019-06-25,52000.0,187,52187.0,0.0,BUY, , ,10.427199384400765,115.90909090909074,80.0
9,2019-06-26,52500.0,241,52187.0,72.0, ,SELL,SELL,11.113858705760393,115.93458344036218,86.66666666666667
10,2019-06-27,51000.0,183,51183.0,0.0,BUY, , ,11.016863143580409,10.820244328098006,66.66666666666667
11,2019-07-26,53500.0,246,51183.0,2071.0,SELL, ,SELL,80.61864566760988,218.72265966754208,100.0
12,2019-08-27,54500.0,196,54696.0,0.0,BUY,BUY, ,9.529396430426289,-40.0432900432889,75.0
13,2019-08-30,56000.0,257,54696.0,1047.0, ,SELL,SELL,37.99059117323928,21.097046413502536,100.0
14,2019-09-10,52000.0,187,52187.0,0.0,BUY,BUY, ,15.743170297783763,-118.32061068702322,33.333333333333336
15,2019-10-17,52000.0,239,52187.0,-426.0,SELL,SELL, ,83.9573048269649,160.17009213323894,72.22222222222223
16,2019-10-31,49800.0,179,49979.0,0.0, ,BUY,BUY,32.91335888536682,-154.57685664939504,0.0
