,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-04,820000.0,2952,822952.0,0.0,BUY,BUY,8296.25,8515.495866551688,8077.004133448312,17.647058823529413
1,2019-04-01,735000.0,3381,822952.0,-91333.0,SELL,SELL,7228.75,7405.013297370681,7052.486702629319,87.5
2,2019-05-02,747500.0,2691,750191.0,0.0,BUY,BUY,7635.0,7837.731349327111,7432.268650672889,12.0
3,2019-05-30,720000.0,3312,750191.0,-33503.0,SELL,SELL,7116.25,7534.662177165033,6697.837822834967,88.46153846153847
4,2019-06-24,735000.0,2646,737646.0,0.0,BUY,BUY,7415.0,7722.977271888671,7107.022728111329,12.5
5,2019-07-11,752500.0,3461,737646.0,11393.0,SELL,SELL,7376.25,7594.467208303991,7158.032791696009,100.0
6,2019-07-17,710000.0,2556,712556.0,0.0,BUY,BUY,7357.5,7597.343699104203,7117.656300895797,0.0
7,2019-09-06,675000.0,3105,712556.0,-40661.0,SELL,SELL,6542.5,6791.045770432682,6293.954229567318,100.0
8,2019-09-17,647500.0,2331,649831.0,0.0,BUY,BUY,6590.0,6888.914703552662,6291.085296447338,18.181818181818183
9,2019-10-18,670000.0,3082,649831.0,17087.0,SELL,SELL,6483.75,6743.208570873992,6224.291429126008,90.0
10,2019-11-08,662500.0,2385,664885.0,0.0,BUY,BUY,6743.75,7100.427375228621,6387.072624771379,16.666666666666668
11,2019-12-06,677500.0,3116,664885.0,9499.0,SELL,SELL,6586.25,6813.997118532762,6358.502881467238,100.0
