,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-29,837500.0,3015,840515.0,0.0,BUY, , ,8277.5,8484.200266085945,8070.799733914056,71.63120567376014,70.83333333333333
1,2019-01-30,835000.0,3841,840515.0,-9356.0, ,SELL, ,8285.0,8490.791156272568,8079.208843727432,38.70967741935339,60.0
2,2019-02-04,820000.0,2952,822952.0,0.0,BUY,BUY,BUY,8296.25,8515.495866551688,8077.004133448312,-0.31580609505717566,17.647058823529413
3,2019-03-29,730000.0,3358,822952.0,-96310.0, ,SELL,SELL,7218.75,7388.952085768609,7048.547914231391,12.652705061081729,80.0
4,2019-04-22,752500.0,2709,755209.0,0.0,BUY, , ,7515.0,7952.149859887876,7077.850140112124,43.41085271317809,23.076923076923077
5,2019-04-23,765000.0,3519,755209.0,6272.0,SELL,SELL, ,7542.5,7939.079121992056,7145.920878007944,38.14002089864159,42.30769230769231
6,2019-04-25,755000.0,2718,757718.0,0.0,BUY,BUY, ,7588.75,7880.0724158900075,7297.4275841099925,-35.349940688018805,26.923076923076923
7,2019-04-30,762500.0,3507,757718.0,1275.0, ,SELL, ,7628.75,7843.386320318792,7414.113679681208,3.2240730789897913,36.0
8,2019-05-01,762500.0,2745,765245.0,0.0,BUY,BUY, ,7638.75,7832.059984222211,7445.440015777789,-5.91715976331361,36.0
9,2019-05-29,720000.0,3312,765245.0,-48557.0, ,SELL,SELL,7130.0,7575.701693961313,6684.298306038687,16.550657385924435,88.46153846153847
10,2019-06-21,745000.0,2682,747682.0,0.0,BUY, , ,7406.25,7730.624397879962,7081.875602120038,40.67197170645409,28.571428571428573
11,2019-07-10,745000.0,3427,747682.0,-6109.0, ,SELL, ,7375.0,7590.058131676036,7159.941868323964,20.435510887771702,63.1578947368421
12,2019-07-17,710000.0,2556,712556.0,0.0,BUY,BUY,BUY,7357.5,7597.343699104203,7117.656300895797,-125.20325203252045,0.0
13,2019-08-30,667500.0,3070,712556.0,-48126.0, ,SELL,SELL,6597.5,6937.683773863446,6257.316226136554,10.314111579934092,85.0
14,2019-09-02,655000.0,2358,657358.0,0.0,BUY, , ,6578.75,6884.231177816206,6273.268822183794,7.731958762886597,60.0
15,2019-09-05,670000.0,3082,657358.0,9560.0, ,SELL,SELL,6543.75,6796.670442036573,6290.829557963427,61.32542037586567,90.0
16,2019-09-16,670000.0,2412,672412.0,0.0,BUY, , ,6587.5,6891.021004215484,6283.978995784516,54.37997724687128,59.09090909090909
17,2019-09-18,670000.0,3082,672412.0,-5494.0, ,SELL, ,6607.5,6888.61385593737,6326.38614406263,19.668737060041583,59.09090909090909
18,2019-09-19,660000.0,2376,662376.0,0.0,BUY, , ,6621.25,6870.887236805683,6371.612763194317,11.66442350829968,40.90909090909091
19,2019-09-26,670000.0,3082,662376.0,4542.0, ,SELL, ,6637.5,6869.609887768654,6405.390112231346,8.865248226950618,57.142857142857146
20,2019-09-27,665000.0,2394,667394.0,0.0,BUY, , ,6636.25,6867.807228347501,6404.692771652499,15.119549929676028,47.61904761904762
21,2019-10-17,662500.0,3047,667394.0,-7941.0, ,SELL,SELL,6477.5,6721.374967965092,6233.625032034908,38.086669665616576,88.23529411764706
22,2019-11-07,672500.0,2421,674921.0,0.0,BUY, , ,6736.25,7108.565390495717,6363.934609504283,19.50354609929103,38.888888888888886
23,2019-12-05,670000.0,3082,674921.0,-8003.0, ,SELL,SELL,6578.75,6790.454392963339,6367.045607036661,73.5382760699216,100.0
24,2019-12-11,655000.0,2358,657358.0,0.0,BUY, , ,6572.5,6777.37801248542,6367.62198751458,16.80672268907651,47.05882352941177
25,2019-12-13,685000.0,3151,657358.0,24491.0,SELL,SELL,SELL,6587.5,6824.407154809593,6350.592845190407,198.39142091152797,90.9090909090909
