,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-02-04,820000.0,2952,822952.0,0.0,BUY,-0.31580609505717566
1,2019-03-29,730000.0,3358,822952.0,-96310.0,SELL,12.652705061081729
2,2019-04-25,755000.0,2718,757718.0,0.0,BUY,-35.349940688018805
3,2019-04-30,762500.0,3507,757718.0,1275.0,SELL,3.2240730789897913
4,2019-05-01,762500.0,2745,765245.0,0.0,BUY,-5.91715976331361
5,2019-05-29,720000.0,3312,765245.0,-48557.0,SELL,16.550657385924435
6,2019-06-24,735000.0,2646,737646.0,0.0,BUY,-25.804835274958894
7,2019-07-10,745000.0,3427,737646.0,3927.0,SELL,20.435510887771702
8,2019-07-17,710000.0,2556,712556.0,0.0,BUY,-125.20325203252045
9,2019-08-30,667500.0,3070,712556.0,-48126.0,SELL,10.314111579934092
10,2019-09-03,647500.0,2331,649831.0,0.0,BUY,-47.52066115702483
11,2019-09-05,670000.0,3082,649831.0,17087.0,SELL,61.32542037586567
12,2019-09-17,647500.0,2331,649831.0,0.0,BUY,-18.22541966426876
13,2019-09-18,670000.0,3082,649831.0,17087.0,SELL,19.668737060041583
14,2019-09-20,657500.0,2367,659867.0,0.0,BUY,-41.74573055028391
15,2019-09-26,670000.0,3082,659867.0,7051.0,SELL,8.865248226950618
16,2019-09-30,660000.0,2376,662376.0,0.0,BUY,-13.446567586694725
17,2019-10-17,662500.0,3047,662376.0,-2923.0,SELL,38.086669665616576
18,2019-11-08,662500.0,2385,664885.0,0.0,BUY,-49.2686682063127
19,2019-12-05,670000.0,3082,664885.0,2033.0,SELL,73.5382760699216
20,2019-12-12,655000.0,2358,657358.0,0.0,BUY,-5.271695052716363
21,2019-12-13,685000.0,3151,657358.0,24491.0,SELL,198.39142091152797
