,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-02-04,820000.0,2952,822952.0,0.0, ,BUY,54.80581607385753
1,2019-03-29,730000.0,3358,822952.0,-96310.0, ,SELL,51.20983385240523
2,2019-04-25,755000.0,2718,757718.0,0.0, ,BUY,65.59748088734557
3,2019-04-30,762500.0,3507,757718.0,1275.0, ,SELL,73.82963207462704
4,2019-05-01,762500.0,2745,765245.0,0.0, ,BUY,77.3416601050708
5,2019-05-29,720000.0,3312,765245.0,-48557.0, ,SELL,40.59760293562873
6,2019-06-24,735000.0,2646,737646.0,0.0, ,BUY,31.758593207557794
7,2019-07-10,745000.0,3427,737646.0,3927.0, ,SELL,32.213307511441286
8,2019-07-17,710000.0,2556,712556.0,0.0, ,BUY,36.134929104892315
9,2019-08-30,667500.0,3070,712556.0,-48126.0, ,SELL,29.173221403550002
10,2019-09-03,647500.0,2331,649831.0,0.0, ,BUY,28.441568009415704
11,2019-09-05,670000.0,3082,649831.0,17087.0, ,SELL,36.04843736939874
12,2019-09-17,647500.0,2331,649831.0,0.0, ,BUY,38.018769249464455
13,2019-09-18,670000.0,3082,649831.0,17087.0, ,SELL,44.216914811381834
14,2019-09-20,657500.0,2367,659867.0,0.0, ,BUY,31.475920548595923
15,2019-09-26,670000.0,3082,659867.0,7051.0, ,SELL,32.69547070667963
16,2019-09-30,660000.0,2376,662376.0,0.0, ,BUY,36.972934414918846
17,2019-10-17,662500.0,3047,662376.0,-2923.0, ,SELL,37.17135486025406
18,2019-11-08,662500.0,2385,664885.0,0.0, ,BUY,50.869900303400485
19,2019-12-05,670000.0,3082,664885.0,2033.0, ,SELL,39.63885357547052
20,2019-12-12,655000.0,2358,657358.0,0.0, ,BUY,29.50633608046286
21,2019-12-13,685000.0,3151,657358.0,24491.0, ,SELL,42.97038416833901
