,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-01-30,900000.0,3240,903240.0,0.0, ,BUY,BUY,51.262343188825504,9018.75,9381.336196648466,8656.163803351534,-21.95845697329381
1,2019-02-01,925000.0,4255,903240.0,17505.0, ,SELL,SELL,60.349863619525046,9062.5,9379.714438511239,8745.285561488761,86.28762541806029
2,2019-02-07,907500.0,3267,910767.0,0.0, ,BUY,BUY,45.224314898868,9110.0,9361.19713374161,8858.80286625839,-28.05132796180208
3,2019-03-15,907500.0,4174,910767.0,-7441.0, ,SELL,SELL,49.481693816758806,8823.75,9055.307228347552,8592.192771652448,194.75655430711763
4,2019-04-25,960000.0,3456,963456.0,0.0, ,BUY,BUY,58.814752209675895,9650.0,9910.768096208107,9389.231903791893,-18.27956989247231
5,2019-06-05,840000.0,3864,963456.0,-127320.0, ,SELL,SELL,54.17926134722602,8392.5,8754.12826216987,8030.871737830129,0.3965893317463988
6,2019-07-17,905000.0,3258,908258.0,0.0, ,BUY,BUY,55.5073864984868,9102.5,9471.925229241318,8733.074770758682,-32.21248940378556
7,2019-09-11,800000.0,3680,908258.0,-111938.0, ,SELL,SELL,56.869429018824114,7660.0,8001.833292702746,7318.166707297254,130.90757005437095
8,2019-09-23,757500.0,2727,760227.0,0.0, ,BUY,BUY,53.31489846531995,7668.75,7970.774419542528,7366.725580457472,-47.43544806636322
9,2019-10-17,737500.0,3392,760227.0,-26119.0, ,SELL,SELL,60.56806956676412,7156.25,7772.463234197385,6540.036765802615,41.9076610857432
10,2019-11-07,760000.0,2736,762736.0,0.0, ,BUY,BUY,47.15643486633506,7508.75,8046.633584058856,6970.866415941144,-0.11841326228546213
11,2019-11-22,765000.0,3519,762736.0,-1255.0, ,SELL,SELL,52.24211309278352,7600.0,7858.843582110897,7341.156417889103,43.28297264189468
12,2019-11-25,750000.0,2700,752700.0,0.0, ,BUY,BUY,40.818246205616816,7586.25,7835.486333627344,7337.013666372656,-26.725403817915055
13,2019-12-09,757500.0,3484,752700.0,1316.0, ,SELL,SELL,53.68335600736835,7511.25,7715.256740084735,7307.243259915265,69.87951807228923
