,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-28,265000.0,954,265954.0,0.0,BUY, ,2686.0
1,2019-02-01,279000.0,1283,265954.0,11763.0,SELL, ,2717.5
2,2019-02-07,272000.0,979,272979.0,0.0,BUY, ,2730.0
3,2019-03-21,252000.0,1159,272979.0,-22138.0,SELL, ,2399.5
4,2019-04-01,238000.0,856,238856.0,0.0,BUY, ,2397.5
5,2019-04-16,258000.0,1186,238856.0,17958.0,SELL, ,2420.0
6,2019-04-25,245000.0,882,245882.0,0.0,BUY, ,2459.0
7,2019-04-29,253000.0,1163,245882.0,5955.0,SELL, ,2469.5
8,2019-05-02,249000.0,896,249896.0,0.0,BUY, ,2493.5
9,2019-05-27,246000.0,1131,249896.0,-5027.0,SELL, ,2381.5
10,2019-06-27,245000.0,882,245882.0,0.0,BUY, ,2564.0
11,2019-09-11,218000.0,1002,245882.0,-28884.0, ,SELL,2132.0
12,2019-09-16,215000.0,774,215774.0,0.0,BUY, ,2115.5
13,2019-09-17,221000.0,1016,215774.0,4210.0,SELL, ,2114.5
14,2019-09-26,216000.0,777,216777.0,0.0,BUY, ,2149.5
15,2019-10-22,191500.0,880,216777.0,-26157.0, ,SELL,1926.0
16,2019-10-23,193000.0,694,193694.0,0.0,BUY, ,1912.5
17,2019-10-24,201000.0,924,193694.0,6382.0,SELL, ,1905.0
18,2019-10-31,186000.0,669,186669.0,0.0,BUY, ,1898.75
19,2019-11-18,195500.0,899,186669.0,7932.0,SELL, ,1898.75
20,2019-12-11,210000.0,756,210756.0,0.0,BUY, ,2103.0
21,2019-12-13,217000.0,998,210756.0,5246.0,SELL, ,2129.25
22,2019-12-16,216000.0,777,216777.0,0.0,BUY, ,2139.5
