,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-28,265000.0,954,265954.0,0.0, ,BUY,BUY,BUY,47.37119868449808,2686.0,2842.0,2530.0,-25.88130298973652,15.0
1,2019-03-21,252000.0,1159,265954.0,-15113.0, ,SELL,SELL,SELL,64.75810226067074,2399.5,2568.553246049876,2230.446753950124,83.13155770782905,96.42857142857143
2,2019-04-02,235000.0,846,235846.0,0.0, ,BUY,BUY,BUY,57.472741663770066,2397.5,2554.9642816641285,2240.0357183358715,-36.905735842195845,18.181818181818183
3,2019-04-16,258000.0,1186,235846.0,20968.0, ,SELL,SELL,SELL,66.45722353682942,2420.0,2556.674796506159,2283.325203493841,155.81448480694536,100.0
4,2019-05-06,238000.0,856,238856.0,0.0, ,BUY,BUY,BUY,55.850419443911285,2500.5,2680.996537362909,2320.003462637091,-87.7351392024081,3.0303030303030303
5,2019-05-27,246000.0,1131,238856.0,6013.0, ,SELL,SELL,SELL,55.26567030561876,2381.5,2552.0608395851755,2210.9391604148245,59.7359735973599,96.7741935483871
6,2019-06-27,245000.0,882,245882.0,0.0, ,BUY,BUY,BUY,47.44653423223232,2564.0,2748.6510222013403,2379.3489777986597,-48.6257928118397,3.3333333333333335
7,2019-09-11,218000.0,1002,245882.0,-28884.0, , ,SELL,SELL,42.23945650739873,2132.0,2316.347497948846,1947.6525020511538,8.288928359976053,82.6086956521739
8,2019-09-27,208000.0,748,208748.0,0.0, ,BUY,BUY,BUY,45.31776419988315,2153.5,2313.159011646696,1993.8409883533038,-56.05306799336668,8.695652173913043
9,2019-10-22,191500.0,880,208748.0,-18128.0, , , ,SELL,43.71088352005222,1926.0,2139.485362495886,1712.514637504114,-7.986548970155532,81.81818181818181
10,2019-10-31,186000.0,669,186669.0,0.0, ,BUY,BUY,BUY,47.456172457630984,1898.75,2023.4045225814123,1774.0954774185877,-40.62126642771802,15.0
11,2019-11-18,195500.0,899,186669.0,7932.0, ,SELL,SELL,SELL,51.71578675540928,1898.75,2014.4165465897545,1783.0834534102455,68.84561891516029,85.71428571428571
