,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-01-28,265000.0,954,265954.0,0.0, ,BUY,47.37119868449808
1,2019-01-31,274000.0,1260,265954.0,6786.0, ,SELL,55.89140339427904
2,2019-02-07,272000.0,979,272979.0,0.0, ,BUY,47.43145278879144
3,2019-03-15,244000.0,1122,272979.0,-30101.0, ,SELL,33.817120468791856
4,2019-04-01,238000.0,856,238856.0,0.0, ,BUY,60.3703184400573
5,2019-04-15,244000.0,1122,238856.0,4022.0, ,SELL,51.27992605566265
6,2019-05-03,248000.0,892,248892.0,0.0, ,BUY,66.85039489003535
7,2019-05-27,246000.0,1131,248892.0,-4023.0, ,SELL,55.26567030561876
8,2019-06-27,245000.0,882,245882.0,0.0, ,BUY,47.44653423223232
9,2019-07-31,246000.0,1131,245882.0,-1013.0, ,SELL,41.47062159343485
10,2019-08-01,240000.0,864,240864.0,0.0, ,BUY,39.82689867201033
11,2019-09-11,218000.0,1002,240864.0,-23866.0, ,SELL,42.23945650739873
12,2019-09-27,208000.0,748,208748.0,0.0, ,BUY,45.31776419988315
13,2019-10-24,201000.0,924,208748.0,-8672.0, ,SELL,62.174568705853545
14,2019-10-31,186000.0,669,186669.0,0.0, ,BUY,47.456172457630984
15,2019-11-18,195500.0,899,186669.0,7932.0, ,SELL,51.71578675540928
16,2019-12-20,213000.0,766,213766.0,0.0, ,BUY,56.24831449119668
