,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-01-28,265000.0,954,265954.0,0.0, ,BUY,BUY,47.37119868449808,-25.88130298973652,15.0
1,2019-01-31,274000.0,1260,265954.0,6786.0, ,SELL, ,55.89140339427904,26.394557823128977,60.0
2,2019-02-07,272000.0,979,272979.0,0.0, ,BUY, ,47.43145278879144,-22.637795275589607,41.666666666666664
3,2019-03-15,244000.0,1122,272979.0,-30101.0, ,SELL, ,33.817120468791856,7.858048162230787,65.51724137931035
4,2019-04-01,238000.0,856,238856.0,0.0, ,BUY, ,60.3703184400573,-4.916187577150965e-13,46.42857142857143
5,2019-04-15,244000.0,1122,238856.0,4022.0, ,SELL, ,51.27992605566265,22.560202788339215,72.72727272727273
6,2019-05-03,248000.0,892,248892.0,0.0, ,BUY, ,66.85039489003535,-20.323457850293664,21.428571428571427
7,2019-05-27,246000.0,1131,248892.0,-4023.0, ,SELL,SELL,55.26567030561876,59.7359735973599,96.7741935483871
8,2019-06-27,245000.0,882,245882.0,0.0, ,BUY,BUY,47.44653423223232,-48.6257928118397,3.3333333333333335
9,2019-07-31,246000.0,1131,245882.0,-1013.0, ,SELL, ,41.47062159343485,41.853512705529134,76.92307692307692
10,2019-08-01,240000.0,864,240864.0,0.0, ,BUY, ,39.82689867201033,-106.89170182841119,30.76923076923077
11,2019-09-11,218000.0,1002,240864.0,-23866.0, ,SELL,SELL,42.23945650739873,8.288928359976053,82.6086956521739
12,2019-09-27,208000.0,748,208748.0,0.0, ,BUY,BUY,45.31776419988315,-56.05306799336668,8.695652173913043
13,2019-10-22,191500.0,880,208748.0,-18128.0, , ,SELL,43.71088352005222,-7.986548970155532,81.81818181818181
14,2019-10-23,193000.0,694,193694.0,0.0, ,BUY, ,44.70474704070312,-8.781558726673985,90.9090909090909
15,2019-10-24,201000.0,924,193694.0,6382.0, ,SELL,SELL,62.174568705853545,108.46082140702975,92.0
16,2019-10-31,186000.0,669,186669.0,0.0, ,BUY,BUY,47.456172457630984,-40.62126642771802,15.0
17,2019-11-18,195500.0,899,186669.0,7932.0, ,SELL,SELL,51.71578675540928,68.84561891516029,85.71428571428571
18,2019-12-20,213000.0,766,213766.0,0.0, ,BUY, ,56.24831449119668,-22.397891963108716,26.666666666666668
