,Date,Close Price,Fee,Purchased Price,Capital Gain,SO,SO_14
0,2019-01-28,265000.0,954,265954.0,0.0,BUY,15.0
1,2019-03-21,252000.0,1159,265954.0,-15113.0,SELL,96.42857142857143
2,2019-04-02,235000.0,846,235846.0,0.0,BUY,18.181818181818183
3,2019-04-16,258000.0,1186,235846.0,20968.0,SELL,100.0
4,2019-05-06,238000.0,856,238856.0,0.0,BUY,3.0303030303030303
5,2019-05-27,246000.0,1131,238856.0,6013.0,SELL,96.7741935483871
6,2019-06-27,245000.0,882,245882.0,0.0,BUY,3.3333333333333335
7,2019-09-11,218000.0,1002,245882.0,-28884.0,SELL,82.6086956521739
8,2019-09-27,208000.0,748,208748.0,0.0,BUY,8.695652173913043
9,2019-10-22,191500.0,880,208748.0,-18128.0,SELL,81.81818181818181
10,2019-10-31,186000.0,669,186669.0,0.0,BUY,15.0
11,2019-11-18,195500.0,899,186669.0,7932.0,SELL,85.71428571428571
