,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-02-12,25200.0,90,25290.0,0.0,BUY, ,260.5
1,2019-02-22,26600.0,122,25290.0,1188.0,SELL, ,259.4
2,2019-02-25,24000.0,86,24086.0,0.0,BUY, ,258.4
3,2019-03-28,24800.0,114,24086.0,600.0,SELL, ,244.5
4,2019-03-29,24000.0,86,24086.0,0.0,BUY, ,244.0
5,2019-04-01,25800.0,118,24086.0,1596.0, ,SELL,244.4
6,2019-04-12,27600.0,99,27699.0,0.0,BUY, ,262.4
7,2019-04-15,28000.0,128,27699.0,173.0,SELL, ,263.9
8,2019-04-29,29000.0,104,29104.0,0.0,BUY, ,289.6
9,2019-05-01,29600.0,136,29104.0,360.0,SELL, ,291.2
10,2019-05-02,29600.0,106,29706.0,0.0,BUY, ,291.9
11,2019-06-06,24400.0,112,29706.0,-5418.0,SELL, ,243.8
12,2019-07-17,32200.0,115,32315.0,0.0,BUY, ,310.9
13,2019-07-18,32400.0,149,32315.0,-64.0,SELL, ,312.9
14,2019-07-22,30600.0,110,30710.0,0.0,BUY, ,315.4
15,2019-08-19,31800.0,146,30710.0,944.0,SELL, ,306.7
16,2019-08-21,30800.0,110,30910.0,0.0,BUY, ,307.2
17,2019-08-22,31800.0,146,30910.0,744.0, ,SELL,306.8
18,2019-08-26,30200.0,108,30308.0,0.0,BUY, ,305.5
19,2019-08-29,31000.0,142,30308.0,550.0,SELL, ,304.3
20,2019-09-02,30800.0,110,30910.0,0.0,BUY, ,305.4
21,2019-10-18,26800.0,123,30910.0,-4233.0, ,SELL,257.1
22,2019-10-28,25600.0,92,25692.0,0.0,BUY, ,255.9
23,2019-10-30,26600.0,122,25692.0,786.0,SELL, ,257.2
24,2019-10-31,25400.0,91,25491.0,0.0,BUY, ,257.4
25,2019-12-13,21200.0,97,25491.0,-4388.0, ,SELL,204.45
