,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-02-25,24000.0,86,24086.0,0.0,BUY,BUY,-101.41843971631232,0.0
1,2019-04-01,25800.0,118,24086.0,1596.0,SELL,SELL,166.66666666666632,86.66666666666667
2,2019-05-06,27200.0,97,27297.0,0.0,BUY,BUY,-130.41495668034707,11.11111111111111
3,2019-06-14,29000.0,133,27297.0,1570.0,SELL,SELL,199.25834363411653,83.87096774193549
4,2019-07-22,30600.0,110,30710.0,0.0,BUY,BUY,-36.187563710499205,5.882352941176471
5,2019-08-19,31800.0,146,30710.0,944.0,SELL,SELL,77.39665787159198,85.71428571428571
6,2019-09-05,30200.0,108,30308.0,0.0,BUY,BUY,-20.99167571480278,7.6923076923076925
7,2019-10-18,26800.0,123,30308.0,-3631.0,SELL,SELL,42.276422764227625,89.47368421052632
8,2019-11-01,25000.0,90,25090.0,0.0,BUY,BUY,-52.261573152938006,5.2631578947368425
9,2019-12-13,21200.0,97,25090.0,-3987.0,SELL,SELL,31.363088057900814,81.81818181818181
