,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-12,25200.0,90,25290.0,0.0, ,BUY,BUY,60.57865922375076,260.5,278.4722007556113,242.5277992443887,-64.90929705215447
1,2019-02-21,26200.0,120,25290.0,790.0, , ,SELL,62.56678449894086,259.7,274.68132170404186,244.71867829595814,8.58369098712398
2,2019-02-25,24000.0,86,24086.0,0.0, ,BUY,BUY,69.52750680891116,258.4,274.92150114245055,241.87849885754943,-101.41843971631232
3,2019-02-27,26400.0,121,24086.0,2193.0, , ,SELL,67.59279041267138,259.3,275.75721726173646,242.8427827382636,36.37673329731618
4,2019-02-28,25400.0,91,25491.0,0.0, ,BUY,BUY,61.51167287429964,258.9,275.4638159854544,242.33618401454555,-12.318840579710065
5,2019-03-19,24800.0,114,25491.0,-805.0, , ,SELL,25.971005050445655,249.2,267.15104453785307,231.24895546214688,7.179487179487357
6,2019-03-20,24200.0,87,24287.0,0.0, ,BUY,BUY,29.07138308528964,248.5,266.4276323032347,230.57236769676527,-61.84165817193336
7,2019-03-27,24800.0,114,24287.0,399.0, , ,SELL,57.00228272689461,244.8,255.18460398859688,234.41539601140315,26.31578947368469
8,2019-03-29,24000.0,86,24086.0,0.0, ,BUY,BUY,57.42608274667388,244.0,253.4657276529584,234.5342723470416,-31.68044077134921
9,2019-04-01,25800.0,118,24086.0,1596.0, , ,SELL,76.3695259644673,244.4,255.3981816678932,233.4018183321068,166.66666666666632
10,2019-05-03,27800.0,100,27900.0,0.0, ,BUY,BUY,57.66819084860813,291.8,315.6629419812399,267.9370580187601,-88.0880880880882
11,2019-06-07,24400.0,112,27900.0,-3612.0, ,SELL,SELL,75.85736304656467,243.0,254.48912529307503,231.51087470692497,8.385744234800358
12,2019-07-22,30600.0,110,30710.0,0.0, ,BUY,BUY,73.5514018735602,315.4,334.7121723273172,296.08782767268275,-36.187563710499205
13,2019-07-25,32600.0,149,30710.0,1741.0, , ,SELL,62.518113710754704,317.0,334.5499287747842,299.4500712252158,28.38164251207723
14,2019-07-31,31800.0,114,31914.0,0.0, ,BUY,BUY,67.29505764825755,320.1,333.5149170701872,306.68508292981284,-10.861132660978178
15,2019-08-16,31400.0,144,31914.0,-658.0, , ,SELL,52.915229969416714,306.1,329.47434491060653,282.7256550893935,23.41175133537905
16,2019-08-26,30200.0,108,30308.0,0.0, ,BUY,BUY,69.17064078162453,305.5,326.81196846844506,284.18803153155494,-1.6374269005849018
17,2019-08-27,31000.0,142,30308.0,550.0, , ,SELL,68.69430061558889,304.8,324.49365380014575,285.1063461998543,32.93413173652719
18,2019-09-03,30200.0,108,30308.0,0.0, ,BUY,BUY,63.30119744602427,305.5,323.24823934929873,287.75176065070127,-15.895278167367808
19,2019-10-18,26800.0,123,30308.0,-3631.0, , ,SELL,50.862802385759096,257.1,283.12998271224876,231.07001728775128,42.276422764227625
20,2019-11-01,25000.0,90,25090.0,0.0, ,BUY,BUY,34.7743349238538,257.6,279.71243993773567,235.48756006226435,-52.261573152938006
21,2019-12-10,21200.0,97,25090.0,-3987.0, , ,SELL,70.39218569386995,207.75,233.44727612024312,182.05272387975688,9.098808976128323
