,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-02-12,25200.0,90,25290.0,0.0, ,BUY,BUY,60.57865922375076,260.5,278.4722007556113,242.5277992443887,-64.90929705215447
1,2019-02-22,26600.0,122,25290.0,1188.0, ,SELL,SELL,72.40669884140422,259.4,273.60422472365155,245.19577527634837,57.20695457094742
2,2019-02-25,24000.0,86,24086.0,0.0, ,BUY,BUY,69.52750680891116,258.4,274.92150114245055,241.87849885754943,-101.41843971631232
3,2019-03-28,24800.0,114,24086.0,600.0, ,SELL,SELL,60.09989699830657,244.5,254.12288937897458,234.87711062102542,65.35947712418255
4,2019-03-29,24000.0,86,24086.0,0.0, ,BUY,BUY,57.42608274667388,244.0,253.4657276529584,234.5342723470416,-31.68044077134921
5,2019-04-02,28000.0,128,24086.0,3786.0,SELL,SELL, ,87.73756128823891,246.1,265.1357558294905,227.06424417050945,411.9743406985033
6,2019-05-03,27800.0,100,27900.0,0.0, ,BUY,BUY,57.66819084860813,291.8,315.6629419812399,267.9370580187601,-88.0880880880882
7,2019-06-07,24400.0,112,27900.0,-3612.0, ,SELL,SELL,75.85736304656467,243.0,254.48912529307503,231.51087470692497,8.385744234800358
8,2019-07-22,30600.0,110,30710.0,0.0, ,BUY,BUY,73.5514018735602,315.4,334.7121723273172,296.08782767268275,-36.187563710499205
9,2019-08-19,31800.0,146,30710.0,944.0, ,SELL,SELL,50.46352005839099,306.7,330.6424309542702,282.7575690457298,77.39665787159198
10,2019-08-26,30200.0,108,30308.0,0.0, ,BUY,BUY,69.17064078162453,305.5,326.81196846844506,284.18803153155494,-1.6374269005849018
11,2019-08-29,31000.0,142,30308.0,550.0, ,SELL,SELL,63.52349334948457,304.3,323.0733854165943,285.5266145834057,52.738336713995906
12,2019-09-03,30200.0,108,30308.0,0.0, ,BUY,BUY,63.30119744602427,305.5,323.24823934929873,287.75176065070127,-15.895278167367808
13,2019-10-21,27800.0,127,30308.0,-2635.0, ,SELL,SELL,64.77427022386686,257.0,282.69046515732964,231.3095348426704,136.86534216335545
14,2019-11-01,25000.0,90,25090.0,0.0, ,BUY,BUY,34.7743349238538,257.6,279.71243993773567,235.48756006226435,-52.261573152938006
15,2019-12-16,21200.0,97,25090.0,-3987.0, ,SELL,SELL,62.63533766485167,203.95,219.06919310016315,188.83080689983683,76.58604977216957
