,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-12,25200.0,90,25290.0,0.0, ,BUY,BUY, ,60.57865922375076,260.5,278.4722007556113,242.5277992443887,-64.90929705215447,33.333333333333336
1,2019-02-21,26200.0,120,25290.0,790.0, , ,SELL, ,62.56678449894086,259.7,274.68132170404186,244.71867829595814,8.58369098712398,61.111111111111114
2,2019-02-25,24000.0,86,24086.0,0.0, ,BUY,BUY,BUY,69.52750680891116,258.4,274.92150114245055,241.87849885754943,-101.41843971631232,0.0
3,2019-02-27,26400.0,121,24086.0,2193.0, , ,SELL, ,67.59279041267138,259.3,275.75721726173646,242.8427827382636,36.37673329731618,66.66666666666667
4,2019-02-28,25400.0,91,25491.0,0.0, ,BUY,BUY, ,61.51167287429964,258.9,275.4638159854544,242.33618401454555,-12.318840579710065,41.1764705882353
5,2019-03-19,24800.0,114,25491.0,-805.0, , ,SELL, ,25.971005050445655,249.2,267.15104453785307,231.24895546214688,7.179487179487357,42.10526315789474
6,2019-03-20,24200.0,87,24287.0,0.0, ,BUY,BUY, ,29.07138308528964,248.5,266.4276323032347,230.57236769676527,-61.84165817193336,38.46153846153846
7,2019-03-27,24800.0,114,24287.0,399.0, , ,SELL, ,57.00228272689461,244.8,255.18460398859688,234.41539601140315,26.31578947368469,66.66666666666667
8,2019-03-29,24000.0,86,24086.0,0.0, ,BUY,BUY, ,57.42608274667388,244.0,253.4657276529584,234.5342723470416,-31.68044077134921,33.333333333333336
9,2019-04-01,25800.0,118,24086.0,1596.0, , ,SELL,SELL,76.3695259644673,244.4,255.3981816678932,233.4018183321068,166.66666666666632,86.66666666666667
10,2019-04-12,27600.0,99,27699.0,0.0, ,BUY, , ,77.16945938839115,262.4,300.3810479055014,224.41895209449856,33.941722702529574,61.29032258064516
11,2019-04-15,28000.0,128,27699.0,173.0, ,SELL,SELL, ,77.15924890559879,263.9,302.1721831099298,225.6278168900702,67.4228103339634,66.66666666666667
12,2019-04-29,29000.0,104,29104.0,0.0, ,BUY, , ,64.92517410032849,289.6,314.17966639318,265.02033360682003,46.898002103049784,50.0
13,2019-04-30,29600.0,136,29104.0,360.0, , ,SELL, ,61.78176709945108,290.4,314.7178946457135,266.08210535428645,17.185581966298376,60.0
14,2019-05-02,29600.0,106,29706.0,0.0, ,BUY, , ,65.08220604058532,291.9,315.5465642324635,268.2534357675365,22.444197804908303,52.0
15,2019-06-06,24400.0,112,29706.0,-5418.0, ,SELL, , ,68.54749769700142,243.8,257.4762567978222,230.12374320217785,-0.9350163627866934,61.53846153846154
16,2019-07-17,32200.0,115,32315.0,0.0, ,BUY, , ,73.89462908362611,310.9,339.3387060183827,282.46129398161725,43.71584699453582,61.904761904761905
17,2019-07-18,32400.0,149,32315.0,-64.0, ,SELL,SELL, ,75.38026252605002,312.9,339.02202136129586,286.7779786387041,66.5701881331404,66.66666666666667
18,2019-07-22,30600.0,110,30710.0,0.0, ,BUY,BUY,BUY,73.5514018735602,315.4,334.7121723273172,296.08782767268275,-36.187563710499205,5.882352941176471
19,2019-07-25,32600.0,149,30710.0,1741.0, , ,SELL, ,62.518113710754704,317.0,334.5499287747842,299.4500712252158,28.38164251207723,66.66666666666667
20,2019-07-26,32400.0,116,32516.0,0.0, ,BUY, , ,70.46086009601203,317.9,334.9399530515784,300.86004694842154,54.282463838777765,61.111111111111114
21,2019-07-29,32000.0,147,32516.0,-663.0, , ,SELL, ,58.24674711798827,318.9,333.838540758722,303.96145924127796,8.390541571319142,52.94117647058823
22,2019-07-30,32400.0,116,32516.0,0.0, ,BUY, , ,66.89611515390848,319.8,333.65063175454463,305.9493682454554,33.42490842490768,64.70588235294117
23,2019-08-16,31400.0,144,32516.0,-1260.0, , ,SELL, ,52.915229969416714,306.1,329.47434491060653,282.7256550893935,23.41175133537905,73.33333333333333
24,2019-08-21,30800.0,110,30910.0,0.0, ,BUY, , ,50.70220002262478,307.2,331.3130669969624,283.0869330030376,20.15113350125938,73.07692307692308
25,2019-08-22,31800.0,146,30910.0,744.0, , ,SELL,SELL,58.165935381676526,306.8,329.8963200532032,283.7036799467968,48.46526655896609,92.3076923076923
26,2019-08-26,30200.0,108,30308.0,0.0, ,BUY,BUY, ,69.17064078162453,305.5,326.81196846844506,284.18803153155494,-1.6374269005849018,42.857142857142854
27,2019-08-27,31000.0,142,30308.0,550.0, , ,SELL, ,68.69430061558889,304.8,324.49365380014575,285.1063461998543,32.93413173652719,61.904761904761905
28,2019-08-28,31000.0,111,31111.0,0.0, ,BUY, , ,64.49530567319502,304.4,323.31454466805883,285.4854553319411,33.7552742616037,61.904761904761905
29,2019-08-29,31000.0,142,31111.0,-253.0, ,SELL,SELL, ,63.52349334948457,304.3,323.0733854165943,285.5266145834057,52.738336713995906,61.904761904761905
30,2019-09-02,30800.0,110,30910.0,0.0, ,BUY, , ,67.95545027676198,305.4,323.24824921385834,287.5517507861416,42.01680672268912,55.0
31,2019-10-18,26800.0,123,30910.0,-4233.0, , ,SELL,SELL,50.862802385759096,257.1,283.12998271224876,231.07001728775128,42.276422764227625,89.47368421052632
32,2019-10-28,25600.0,92,25692.0,0.0, ,BUY, , ,46.94951918219276,255.9,278.85996515676726,232.94003484323275,11.64483260553146,42.30769230769231
33,2019-10-29,25800.0,118,25692.0,-10.0, , ,SELL, ,45.2816719190412,256.1,279.0599651567673,233.14003484323274,1.4641288433381308,41.666666666666664
34,2019-10-31,25400.0,91,25491.0,0.0, ,BUY, ,BUY,39.86085622147745,257.4,279.85350752109713,234.9464924789028,7.03949941337531,15.789473684210526
35,2019-12-10,21200.0,97,25491.0,-4388.0, , ,SELL, ,70.39218569386995,207.75,233.44727612024312,182.05272387975688,9.098808976128323,77.14285714285714
36,2019-12-11,20800.0,74,20874.0,0.0, ,BUY, , ,59.95085872213449,206.35,228.55157652059913,184.14842347940086,5.79093541334276,69.6969696969697
37,2019-12-12,20800.0,95,20874.0,-169.0, , ,SELL, ,53.907058511985056,205.25,224.6600489437822,185.8399510562178,1.5438596491225998,69.6969696969697
38,2019-12-13,21200.0,76,21276.0,0.0, ,BUY, , ,60.456836848755835,204.45,221.17692440348853,187.72307559651145,31.363088057900814,81.81818181818181
39,2019-12-16,21200.0,97,21276.0,-173.0, ,SELL,SELL,SELL,62.63533766485167,203.95,219.06919310016315,188.83080689983683,76.58604977216957,81.81818181818181
