,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-01-28,717500.0,2583,720083.0,0.0,BUY,7558.75,8000.415880502445,7117.084119497555
1,2019-03-19,737500.0,3392,720083.0,14025.0,SELL,7070.0,7429.026461420324,6710.973538579676
2,2019-04-11,740000.0,2664,742664.0,0.0,BUY,7407.5,7724.556777249753,7090.443222750247
3,2019-04-17,762500.0,3507,742664.0,16329.0,SELL,7455.0,7727.763633939717,7182.236366060283
4,2019-04-25,765000.0,2754,767754.0,0.0,BUY,7572.5,7853.079756931964,7291.920243068036
5,2019-04-29,777500.0,3576,767754.0,6170.0,SELL,7598.75,7891.783701133504,7305.716298866496
6,2019-05-02,770000.0,2772,772772.0,0.0,BUY,7630.0,7907.7588882466225,7352.2411117533775
7,2019-05-24,770000.0,3542,772772.0,-6314.0,SELL,7506.25,7880.039713609136,7132.460286390864
8,2019-05-28,737500.0,2655,740155.0,0.0,BUY,7486.25,7842.787164963205,7129.712835036795
9,2019-05-30,755000.0,3473,740155.0,11372.0,SELL,7470.0,7797.337746066658,7142.662253933342
10,2019-07-05,782500.0,2817,785317.0,0.0,BUY,7915.0,8105.0,7725.0
11,2019-07-11,800000.0,3680,785317.0,11003.0,SELL,7937.5,8089.569063257455,7785.430936742545
12,2019-07-16,807500.0,2907,810407.0,0.0,BUY,7980.0,8133.785564992297,7826.214435007703
13,2019-09-13,720000.0,3312,810407.0,-93719.0,SELL,7117.5,7374.453303150592,6860.546696849408
14,2019-09-16,700000.0,2520,702520.0,0.0,BUY,7100.0,7338.222584991431,6861.777415008569
15,2019-09-19,710000.0,3266,702520.0,4214.0,SELL,7072.5,7266.084606826058,6878.915393173942
16,2019-09-20,707500.0,2547,710047.0,0.0,BUY,7067.5,7255.316399709928,6879.683600290072
17,2019-10-21,680000.0,3128,710047.0,-33175.0,SELL,6677.5,7123.005331056766,6231.994668943234
18,2019-11-06,697500.0,2511,700011.0,0.0,BUY,6872.5,7301.423070025383,6443.576929974617
19,2019-11-11,705000.0,3243,700011.0,1746.0,SELL,6946.25,7295.990975580499,6596.509024419501
20,2019-11-12,702500.0,2529,705029.0,0.0,BUY,6968.75,7275.293226968072,6662.206773031928
21,2019-11-20,710000.0,3266,705029.0,1705.0,SELL,7025.0,7218.002590656186,6831.997409343814
22,2019-11-21,717500.0,2583,720083.0,0.0,BUY,7022.5,7206.1436767220675,6838.8563232779325
23,2019-11-22,707500.0,3254,720083.0,-15837.0,SELL,7026.25,7210.9626146206565,6841.5373853793435
24,2019-11-25,697500.0,2511,700011.0,0.0,BUY,7025.0,7210.741756210065,6839.258243789935
25,2019-12-03,717500.0,3300,700011.0,14189.0,SELL,7007.5,7219.101039694987,6795.898960305013
