,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20
0,2019-01-28,717500.0,2583,720083.0,0.0,BUY,BUY,7558.75,8000.415880502445,7117.084119497555,-118.58055984130488
1,2019-03-19,737500.0,3392,720083.0,14025.0,SELL,SELL,7070.0,7429.026461420324,6710.973538579676,121.13720642768821
2,2019-04-12,732500.0,2637,735137.0,0.0,BUY,BUY,7418.75,7705.923727906993,7131.576272093007,-50.07824726134522
3,2019-04-17,762500.0,3507,735137.0,23856.0,SELL,SELL,7455.0,7727.763633939717,7182.236366060283,115.67863839607655
4,2019-05-06,752500.0,2709,755209.0,0.0,BUY,BUY,7636.25,7909.414327832167,7363.085672167833,-100.72127769191148
5,2019-05-24,770000.0,3542,755209.0,11249.0,SELL,SELL,7506.25,7880.039713609136,7132.460286390864,84.02366863905324
6,2019-05-28,737500.0,2655,740155.0,0.0,BUY,BUY,7486.25,7842.787164963205,7129.712835036795,-6.0606060606060606
7,2019-05-30,755000.0,3473,740155.0,11372.0,SELL,SELL,7470.0,7797.337746066658,7142.662253933342,49.79674796747942
8,2019-07-05,782500.0,2817,785317.0,0.0,BUY,BUY,7915.0,8105.0,7725.0,-47.49701008030086
9,2019-07-11,800000.0,3680,785317.0,11003.0,SELL,SELL,7937.5,8089.569063257455,7785.430936742545,69.64573268921052
10,2019-07-18,785000.0,2826,787826.0,0.0,BUY,BUY,7981.25,8134.445136998535,7828.054863001465,-118.20330969267174
11,2019-09-13,720000.0,3312,787826.0,-71138.0,SELL,SELL,7117.5,7374.453303150592,6860.546696849408,42.97851074462784
12,2019-09-16,700000.0,2520,702520.0,0.0,BUY,BUY,7100.0,7338.222584991431,6861.777415008569,-62.015503875968705
13,2019-09-19,710000.0,3266,702520.0,4214.0,SELL,SELL,7072.5,7266.084606826058,6878.915393173942,41.95535026943848
14,2019-09-23,700000.0,2520,702520.0,0.0,BUY,BUY,7065.0,7254.999999999999,6875.000000000001,-46.901172529312575
15,2019-10-21,680000.0,3128,702520.0,-25648.0,SELL,SELL,6677.5,7123.005331056766,6231.994668943234,33.62573099415227
16,2019-11-13,687500.0,2475,689975.0,0.0,BUY,BUY,6981.25,7248.586398569292,6713.913601430708,-54.84874187164248
17,2019-11-20,710000.0,3266,689975.0,16759.0,SELL,SELL,7025.0,7218.002590656186,6831.997409343814,106.32911392405161
18,2019-11-25,697500.0,2511,700011.0,0.0,BUY,BUY,7025.0,7210.741756210065,6839.258243789935,-25.708061002179285
19,2019-12-03,717500.0,3300,700011.0,14189.0,SELL,SELL,7007.5,7219.101039694987,6795.898960305013,115.41218637992858
