,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-01-28,717500.0,2583,720083.0,0.0,BUY, ,7558.75
1,2019-02-01,760000.0,3496,720083.0,36421.0, ,SELL,7563.75
2,2019-02-04,735000.0,2646,737646.0,0.0,BUY, ,7560.0
3,2019-02-11,762500.0,3507,737646.0,21347.0, ,SELL,7537.5
4,2019-02-12,742500.0,2673,745173.0,0.0,BUY, ,7518.75
5,2019-03-18,710000.0,3266,745173.0,-38439.0, ,SELL,7061.25
6,2019-04-11,740000.0,2664,742664.0,0.0,BUY, ,7407.5
7,2019-04-16,762500.0,3507,742664.0,16329.0, ,SELL,7443.75
8,2019-04-25,765000.0,2754,767754.0,0.0,BUY, ,7572.5
9,2019-04-26,772500.0,3553,767754.0,1193.0, ,SELL,7585.0
10,2019-05-02,770000.0,2772,772772.0,0.0,BUY, ,7630.0
11,2019-05-03,765000.0,3519,772772.0,-11291.0, ,SELL,7635.0
12,2019-05-06,752500.0,2709,755209.0,0.0,BUY, ,7636.25
13,2019-05-24,770000.0,3542,755209.0,11249.0,SELL, ,7506.25
14,2019-05-28,737500.0,2655,740155.0,0.0,BUY, ,7486.25
15,2019-05-29,755000.0,3473,740155.0,11372.0, ,SELL,7477.5
16,2019-07-05,782500.0,2817,785317.0,0.0,BUY, ,7915.0
17,2019-07-10,795000.0,3657,785317.0,6026.0, ,SELL,7931.25
18,2019-07-16,807500.0,2907,810407.0,0.0,BUY, ,7980.0
19,2019-07-17,797500.0,3668,810407.0,-16575.0, ,SELL,7986.25
20,2019-07-18,785000.0,2826,787826.0,0.0,BUY, ,7981.25
21,2019-07-31,797500.0,3668,787826.0,6006.0, ,SELL,7901.25
22,2019-08-01,777500.0,2799,780299.0,0.0,BUY, ,7888.75
23,2019-09-12,715000.0,3289,780299.0,-68588.0, ,SELL,7126.25
24,2019-09-16,700000.0,2520,702520.0,0.0,BUY, ,7100.0
25,2019-09-18,720000.0,3312,702520.0,14168.0, ,SELL,7078.75
26,2019-09-20,707500.0,2547,710047.0,0.0,BUY, ,7067.5
27,2019-10-18,677500.0,3116,710047.0,-35663.0, ,SELL,6687.5
28,2019-11-06,697500.0,2511,700011.0,0.0,BUY, ,6872.5
29,2019-11-07,700000.0,3220,700011.0,-3231.0, ,SELL,6896.25
30,2019-11-08,710000.0,2556,712556.0,0.0,BUY, ,6923.75
31,2019-11-11,705000.0,3243,712556.0,-10799.0,SELL, ,6946.25
32,2019-11-12,702500.0,2529,705029.0,0.0,BUY, ,6968.75
33,2019-11-19,715000.0,3289,705029.0,6682.0, ,SELL,7023.75
34,2019-11-21,717500.0,2583,720083.0,0.0,BUY, ,7022.5
35,2019-11-22,707500.0,3254,720083.0,-15837.0,SELL, ,7026.25
36,2019-11-25,697500.0,2511,700011.0,0.0,BUY, ,7025.0
37,2019-12-02,710000.0,3266,700011.0,6723.0, ,SELL,7008.75
