,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-01-24,747500.0,2691,750191.0,0.0, ,BUY,
1,2019-02-11,762500.0,3507,750191.0,8802.0, ,SELL,7537.5
2,2019-02-12,742500.0,2673,745173.0,0.0,BUY, ,7518.75
3,2019-03-19,737500.0,3392,745173.0,-11065.0,SELL, ,7070.0
4,2019-04-11,740000.0,2664,742664.0,0.0,BUY, ,7407.5
5,2019-04-17,762500.0,3507,742664.0,16329.0,SELL, ,7455.0
6,2019-04-25,765000.0,2754,767754.0,0.0,BUY, ,7572.5
7,2019-04-29,777500.0,3576,767754.0,6170.0,SELL, ,7598.75
8,2019-05-02,770000.0,2772,772772.0,0.0,BUY, ,7630.0
9,2019-05-23,757500.0,3484,772772.0,-18756.0, ,SELL,7507.5
10,2019-05-28,737500.0,2655,740155.0,0.0,BUY, ,7486.25
11,2019-05-30,755000.0,3473,740155.0,11372.0,SELL, ,7470.0
12,2019-07-05,782500.0,2817,785317.0,0.0,BUY, ,7915.0
13,2019-07-11,800000.0,3680,785317.0,11003.0,SELL, ,7937.5
14,2019-07-16,807500.0,2907,810407.0,0.0,BUY, ,7980.0
15,2019-09-13,720000.0,3312,810407.0,-93719.0,SELL, ,7117.5
16,2019-09-16,700000.0,2520,702520.0,0.0,BUY, ,7100.0
17,2019-09-19,710000.0,3266,702520.0,4214.0,SELL, ,7072.5
18,2019-09-20,707500.0,2547,710047.0,0.0,BUY, ,7067.5
19,2019-10-21,680000.0,3128,710047.0,-33175.0,SELL, ,6677.5
20,2019-11-06,697500.0,2511,700011.0,0.0,BUY, ,6872.5
21,2019-11-11,705000.0,3243,700011.0,1746.0,SELL, ,6946.25
22,2019-11-12,702500.0,2529,705029.0,0.0,BUY, ,6968.75
23,2019-11-19,715000.0,3289,705029.0,6682.0, ,SELL,7023.75
24,2019-11-21,717500.0,2583,720083.0,0.0,BUY, ,7022.5
25,2019-11-22,707500.0,3254,720083.0,-15837.0,SELL, ,7026.25
26,2019-11-25,697500.0,2511,700011.0,0.0,BUY, ,7025.0
27,2019-12-02,710000.0,3266,700011.0,6723.0, ,SELL,7008.75
