,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,CCI_20
0,2019-01-28,717500.0,2583,720083.0,0.0,BUY,-118.58055984130488
1,2019-02-01,760000.0,3496,720083.0,36421.0,SELL,0.4494382022475182
2,2019-02-04,735000.0,2646,737646.0,0.0,BUY,-46.222222222222236
3,2019-02-11,762500.0,3507,737646.0,21347.0,SELL,21.012416427889214
4,2019-02-12,742500.0,2673,745173.0,0.0,BUY,-13.071895424836491
5,2019-03-18,710000.0,3266,745173.0,-38439.0,SELL,29.43667937314713
6,2019-04-12,732500.0,2637,735137.0,0.0,BUY,-50.07824726134522
7,2019-04-16,762500.0,3507,735137.0,23856.0,SELL,63.63636363636362
8,2019-05-06,752500.0,2709,755209.0,0.0,BUY,-100.72127769191148
9,2019-05-24,770000.0,3542,755209.0,11249.0,SELL,84.02366863905324
10,2019-05-28,737500.0,2655,740155.0,0.0,BUY,-6.0606060606060606
11,2019-05-29,755000.0,3473,740155.0,11372.0,SELL,14.705882352941181
12,2019-07-05,782500.0,2817,785317.0,0.0,BUY,-47.49701008030086
13,2019-07-10,795000.0,3657,785317.0,6026.0,SELL,27.97478329393189
14,2019-07-18,785000.0,2826,787826.0,0.0,BUY,-118.20330969267174
15,2019-07-31,797500.0,3668,787826.0,6006.0,SELL,14.905149051490767
16,2019-08-01,777500.0,2799,780299.0,0.0,BUY,-56.506849315068514
17,2019-09-12,715000.0,3289,780299.0,-68588.0,SELL,34.36426116838538
18,2019-09-16,700000.0,2520,702520.0,0.0,BUY,-62.015503875968705
19,2019-09-18,720000.0,3312,702520.0,14168.0,SELL,61.40350877193009
20,2019-09-23,700000.0,2520,702520.0,0.0,BUY,-46.901172529312575
21,2019-10-18,677500.0,3116,702520.0,-28136.0,SELL,24.5857104047814
22,2019-11-13,687500.0,2475,689975.0,0.0,BUY,-54.84874187164248
23,2019-11-19,715000.0,3289,689975.0,21736.0,SELL,85.07765023632679
24,2019-11-25,697500.0,2511,700011.0,0.0,BUY,-25.708061002179285
25,2019-12-02,710000.0,3266,700011.0,6723.0,SELL,59.420289855072205
