,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20,SO_14
0,2019-01-28,717500.0,2583,720083.0,0.0,BUY,BUY,-118.58055984130488,10.256410256410257
1,2019-02-11,762500.0,3507,720083.0,38910.0,SELL,SELL,21.012416427889214,88.46153846153847
2,2019-02-19,720000.0,2592,722592.0,0.0,BUY,BUY,-85.9140859140854,17.391304347826086
3,2019-03-19,737500.0,3392,722592.0,11516.0,SELL,SELL,121.13720642768821,96.66666666666667
4,2019-05-15,742500.0,2673,745173.0,0.0,BUY,BUY,-100.81561706110482,18.181818181818183
5,2019-05-24,770000.0,3542,745173.0,21285.0,SELL,SELL,84.02366863905324,90.625
6,2019-07-22,777500.0,2799,780299.0,0.0,BUY,BUY,-161.11111111111111,11.11111111111111
7,2019-10-22,682500.0,3139,780299.0,-100938.0,SELL,SELL,49.13557779799818,91.66666666666667
8,2019-11-28,677500.0,2439,679939.0,0.0,BUY,BUY,-154.42989944981983,15.0
9,2019-12-02,710000.0,3266,679939.0,26795.0,SELL,SELL,59.420289855072205,80.0
