,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-01-29,108000.0,388,108388.0,0.0,BUY,1110.25,1206.762952498615,1013.7370475013848
1,2019-02-04,115500.0,531,108388.0,6581.0,SELL,1124.25,1189.0786202228608,1059.4213797771392
2,2019-02-27,120500.0,433,120933.0,0.0,BUY,1208.5,1305.200568767716,1111.799431232284
3,2019-04-24,110000.0,506,120933.0,-11439.0,SELL,1079.75,1122.1144898470407,1037.3855101529593
4,2019-04-25,109000.0,392,109392.0,0.0,BUY,1080.75,1123.0908785926792,1038.4091214073208
5,2019-06-11,105000.0,483,109392.0,-4875.0,SELL,977.75,1028.294534818318,927.2054651816821
6,2019-07-03,107000.0,385,107385.0,0.0,BUY,1071.0,1194.8789731956156,947.1210268043845
7,2019-07-10,111500.0,512,107385.0,3603.0,SELL,1099.75,1149.9968904510515,1049.5031095489485
8,2019-07-11,110500.0,397,110897.0,0.0,BUY,1102.25,1148.1275544247944,1056.3724455752056
9,2019-07-18,114500.0,526,110897.0,3077.0,SELL,1108.5,1150.344951905815,1066.655048094185
10,2019-07-26,108500.0,390,108890.0,0.0,BUY,1112.5,1166.1190264738175,1058.8809735261825
11,2019-10-17,99000.0,455,108890.0,-10345.0,SELL,982.25,1024.1397362130651,940.3602637869348
12,2019-10-18,100500.0,361,100861.0,0.0,BUY,982.0,1023.2795348811028,940.7204651188972
13,2019-10-21,99500.0,457,100861.0,-1818.0,SELL,981.5,1021.8856410126197,941.1143589873803
14,2019-10-23,99000.0,356,99356.0,0.0,BUY,980.25,1018.6524738786474,941.8475261213526
15,2019-10-24,103500.0,476,99356.0,3668.0,SELL,981.5,1024.98562981032,938.01437018968
16,2019-10-29,100000.0,360,100360.0,0.0,BUY,982.75,1028.4090626272614,937.0909373727385
17,2019-10-30,99500.0,457,100360.0,-1317.0,SELL,984.25,1029.4467919215533,939.0532080784467
18,2019-10-31,97500.0,351,97851.0,0.0,BUY,985.0,1029.0454310910925,940.9545689089075
19,2019-12-09,94000.0,432,97851.0,-4283.0,SELL,939.75,974.459508783621,905.040491216379
