,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-01-30,107500.0,387,107887.0,0.0,BUY,BUY,BUY,1115.5,1189.7899724054325,1041.2100275945675,-94.49259155717135,12.903225806451612
1,2019-02-08,125000.0,575,107887.0,16538.0,SELL,SELL,SELL,1139.25,1221.7287851510914,1056.7712148489086,170.85610200364312,97.5
2,2019-03-08,119000.0,428,119428.0,0.0,BUY,BUY,BUY,1225.75,1280.8204094773203,1170.6795905226797,-76.92307692307693,9.090909090909092
3,2019-06-11,105000.0,483,119428.0,-14911.0,SELL,SELL,SELL,977.75,1028.294534818318,927.2054651816821,163.58405260994653,90.9090909090909
4,2019-07-08,107000.0,385,107385.0,0.0,BUY,BUY,BUY,1090.0,1167.201036262475,1012.7989637375249,-32.96703296703246,16.0
5,2019-07-18,114500.0,526,107385.0,6589.0,SELL,SELL,SELL,1108.5,1150.344951905815,1066.655048094185,127.68240343347637,88.88888888888889
6,2019-07-26,108500.0,390,108890.0,0.0,BUY,BUY,BUY,1112.5,1166.1190264738175,1058.8809735261825,-60.60606060606068,15.0
7,2019-10-24,103500.0,476,108890.0,-5866.0,SELL,SELL,SELL,981.5,1024.98562981032,938.01437018968,158.82352941176487,94.73684210526316
8,2019-10-31,97500.0,351,97851.0,0.0,BUY,BUY,BUY,985.0,1029.0454310910925,940.9545689089075,-14.786242365798957,17.647058823529413
9,2019-12-11,95000.0,437,97851.0,-3288.0,SELL,SELL,SELL,939.25,973.0545854877746,905.4454145122254,59.29919137466309,82.3529411764706
