,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20
0,2019-01-29,108000.0,388,108388.0,0.0,BUY, ,-24.428684003152238
1,2019-02-01,114000.0,524,108388.0,5088.0,SELL, ,20.009095043201263
2,2019-02-28,119000.0,428,119428.0,0.0,BUY, ,-34.26791277258551
3,2019-03-06,122500.0,563,119428.0,2509.0,SELL, ,6.757543982290155
4,2019-03-07,122500.0,441,122941.0,0.0,BUY, ,-2.6455026455031296
5,2019-04-23,110000.0,506,122941.0,-13447.0,SELL, ,49.358974358974095
6,2019-04-26,107500.0,387,107887.0,0.0,BUY, ,-78.69339272457376
7,2019-05-07,110000.0,506,107887.0,1607.0,SELL, ,66.28787878787851
8,2019-05-09,106000.0,381,106381.0,0.0,BUY, ,-15.115354017502343
9,2019-06-11,105000.0,483,106381.0,-1864.0,SELL, ,163.58405260994653
10,2019-07-05,108000.0,388,108388.0,0.0,BUY, ,-4.076086956521737
11,2019-07-10,111500.0,512,108388.0,2600.0,SELL, ,29.98760842627058
12,2019-07-12,108500.0,390,108890.0,0.0,BUY, ,-29.75916551618398
13,2019-07-17,113500.0,522,108890.0,4088.0,SELL, ,63.93678160919495
14,2019-07-26,108500.0,390,108890.0,0.0,BUY, ,-60.60606060606068
15,2019-08-16,108500.0,499,108890.0,-889.0,SELL, ,11.691884456671248
16,2019-08-20,106500.0,383,106883.0,0.0,BUY, ,-27.830487033522793
17,2019-09-13,103500.0,476,106883.0,-3859.0,SELL, ,6.533738875746511
18,2019-09-16,102000.0,367,102367.0,0.0,BUY, ,-41.428571428571715
19,2019-10-16,99500.0,457,102367.0,-3324.0,SELL, ,34.426229508196734
20,2019-10-31,97500.0,351,97851.0,0.0,BUY, ,-14.786242365798957
21,2019-12-06,94500.0,434,97851.0,-3785.0,SELL, ,40.88443888193615
