,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-02-07,20400.0,73,20473.0,0.0,BUY,200.5,225.32337607981643,175.67662392018357
1,2019-02-11,20600.0,94,20473.0,33.0,SELL,202.65,224.68882937000066,180.61117062999935
2,2019-02-12,20400.0,73,20473.0,0.0,BUY,203.35,224.61287845048273,182.08712154951726
3,2019-02-21,23400.0,107,20473.0,2820.0,SELL,209.9,225.20882098660786,194.59117901339215
4,2019-03-13,23400.0,84,23484.0,0.0,BUY,230.0,260.5941170815569,199.40588291844315
5,2019-03-14,24000.0,110,23484.0,406.0,SELL,231.8,260.22252627758496,203.37747372241503
6,2019-03-19,24000.0,86,24086.0,0.0,BUY,236.8,255.3644822173959,218.23551778260412
7,2019-04-03,23200.0,106,24086.0,-992.0,SELL,229.9,243.89857135567794,215.90142864432207
8,2019-04-04,23600.0,84,23684.0,0.0,BUY,230.2,244.44921050444572,215.95078949555426
9,2019-04-11,24000.0,110,23684.0,206.0,SELL,230.5,246.69259089830922,214.30740910169078
10,2019-04-26,25400.0,91,25491.0,0.0,BUY,245.7,271.6622803312806,219.73771966871936
11,2019-04-29,26000.0,119,25491.0,390.0,SELL,247.3,272.6385082433832,221.9614917566168
12,2019-05-02,25400.0,91,25491.0,0.0,BUY,250.6,273.3719125239844,227.82808747601558
13,2019-05-28,24600.0,113,25491.0,-1004.0,SELL,242.6,258.1486333804619,227.05136661953813
14,2019-05-29,24000.0,86,24086.0,0.0,BUY,241.8,256.10524379379865,227.49475620620137
15,2019-06-03,25000.0,115,24086.0,799.0,SELL,242.5,255.93874994186638,229.06125005813362
16,2019-06-21,26400.0,95,26495.0,0.0,BUY,255.8,277.26252548047387,234.33747451952615
17,2019-06-24,26400.0,121,26495.0,-216.0,SELL,257.0,277.4548282808726,236.54517171912735
18,2019-07-08,27600.0,99,27699.0,0.0,BUY,272.5,291.7613602842569,253.2386397157431
19,2019-07-10,28000.0,128,27699.0,173.0,SELL,273.9,293.7181734778951,254.08182652210485
20,2019-07-17,27600.0,99,27699.0,0.0,BUY,277.7,295.28522106770157,260.1147789322984
21,2019-07-19,28400.0,130,27699.0,571.0,SELL,279.2,295.3195533436858,263.08044665631417
22,2019-07-22,28000.0,100,28100.0,0.0,BUY,280.0,294.53272169966556,265.46727830033444
23,2019-07-25,30600.0,140,28100.0,2360.0,SELL,283.2,298.18799519615357,268.2120048038464
24,2019-08-05,29400.0,105,29505.0,0.0,BUY,289.8,311.99549503840615,267.6045049615939
25,2019-08-07,30400.0,139,29505.0,756.0,SELL,292.3,316.0411035969247,268.5588964030753
26,2019-08-15,30600.0,110,30710.0,0.0,BUY,301.0,323.21711052319574,278.78288947680426
27,2019-08-16,31600.0,145,30710.0,745.0,SELL,302.6,324.2923949807276,280.90760501927247
28,2019-08-21,30800.0,110,30910.0,0.0,BUY,306.9,318.10535586226007,295.6946441377399
29,2019-10-11,30400.0,139,30910.0,-649.0,SELL,293.5,303.3691438331752,283.6308561668248
30,2019-10-31,30200.0,108,30308.0,0.0,BUY,300.1,311.01604323919156,289.1839567608085
31,2019-11-01,31200.0,143,30308.0,749.0,SELL,301.1,312.51753038094927,289.6824696190508
32,2019-11-20,31400.0,113,31513.0,0.0,BUY,317.8,343.1266657892411,292.47333421075894
33,2019-12-02,33200.0,152,31513.0,1535.0,SELL,322.1,341.30312474572617,302.8968752542739
34,2019-12-03,32400.0,116,32516.0,0.0,BUY,321.9,340.93575582948887,302.8642441705111
