,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-02-07,20400.0,73,20473.0,0.0,BUY, ,200.5
1,2019-02-08,20400.0,93,20473.0,-166.0, ,SELL,201.35
2,2019-02-12,20400.0,73,20473.0,0.0,BUY, ,203.35
3,2019-02-13,20600.0,94,20473.0,33.0, ,SELL,204.15
4,2019-02-14,20400.0,73,20473.0,0.0,BUY, ,204.95
5,2019-02-15,20800.0,95,20473.0,232.0, ,SELL,206.1
6,2019-02-18,20600.0,74,20674.0,0.0,BUY, ,207.3
7,2019-02-20,21600.0,99,20674.0,827.0, ,SELL,208.7
8,2019-03-13,23400.0,84,23484.0,0.0,BUY, ,230.0
9,2019-03-14,24000.0,110,23484.0,406.0,SELL, ,231.8
10,2019-03-19,24000.0,86,24086.0,0.0,BUY, ,236.8
11,2019-04-02,23200.0,106,24086.0,-992.0, ,SELL,229.8
12,2019-04-04,23600.0,84,23684.0,0.0,BUY, ,230.2
13,2019-04-05,23600.0,108,23684.0,-192.0, ,SELL,230.3
14,2019-04-08,22800.0,82,22882.0,0.0,BUY, ,229.9
15,2019-04-10,24800.0,114,22882.0,1804.0, ,SELL,230.5
16,2019-04-26,25400.0,91,25491.0,0.0,BUY, ,245.7
17,2019-04-29,26000.0,119,25491.0,390.0,SELL, ,247.3
18,2019-05-02,25400.0,91,25491.0,0.0,BUY, ,250.6
19,2019-05-27,25000.0,115,25491.0,-606.0, ,SELL,243.1
20,2019-05-29,24000.0,86,24086.0,0.0,BUY, ,241.8
21,2019-05-31,25000.0,115,24086.0,799.0, ,SELL,241.6
22,2019-06-21,26400.0,95,26495.0,0.0,BUY, ,255.8
23,2019-06-24,26400.0,121,26495.0,-216.0,SELL, ,257.0
24,2019-07-08,27600.0,99,27699.0,0.0,BUY, ,272.5
25,2019-07-09,28400.0,130,27699.0,571.0, ,SELL,273.3
26,2019-07-17,27600.0,99,27699.0,0.0,BUY, ,277.7
27,2019-07-18,28000.0,128,27699.0,173.0, ,SELL,278.2
28,2019-07-22,28000.0,100,28100.0,0.0,BUY, ,280.0
29,2019-07-24,28600.0,131,28100.0,369.0, ,SELL,281.5
30,2019-08-05,29400.0,105,29505.0,0.0,BUY, ,289.8
31,2019-08-06,31000.0,142,29505.0,1353.0, ,SELL,291.1
32,2019-08-15,30600.0,110,30710.0,0.0,BUY, ,301.0
33,2019-08-16,31600.0,145,30710.0,745.0,SELL, ,302.6
34,2019-08-21,30800.0,110,30910.0,0.0,BUY, ,306.9
35,2019-08-22,31000.0,142,30910.0,-52.0, ,SELL,307.1
36,2019-08-23,30600.0,110,30710.0,0.0,BUY, ,307.2
37,2019-08-30,31000.0,142,30710.0,148.0, ,SELL,307.8
38,2019-09-02,31000.0,111,31111.0,0.0,BUY, ,308.6
39,2019-10-10,30000.0,138,31111.0,-1249.0, ,SELL,293.0
40,2019-10-31,30200.0,108,30308.0,0.0,BUY, ,300.1
41,2019-11-01,31200.0,143,30308.0,749.0,SELL, ,301.1
42,2019-11-20,31400.0,113,31513.0,0.0,BUY, ,317.8
43,2019-12-02,33200.0,152,31513.0,1535.0,SELL, ,322.1
44,2019-12-03,32400.0,116,32516.0,0.0,BUY, ,321.9
