,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-07,20400.0,73,20473.0,0.0,BUY, , ,200.5,225.32337607981643,175.67662392018357,38.980509745127435,51.111111111111114
1,2019-02-08,20400.0,93,20473.0,-166.0, ,SELL, ,201.35,225.4188595492184,177.28114045078158,18.41085271317826,51.111111111111114
2,2019-02-12,20400.0,73,20473.0,0.0,BUY,BUY, ,203.35,224.61287845048273,182.08712154951726,-11.791202967673462,38.888888888888886
3,2019-02-13,20600.0,94,20473.0,33.0, ,SELL, ,204.15,224.52915601785324,183.77084398214677,12.523663899810723,47.05882352941177
4,2019-02-14,20400.0,73,20473.0,0.0,BUY, , ,204.95,223.93920746108176,185.9607925389182,0.32647730982694856,41.1764705882353
5,2019-02-15,20800.0,95,20473.0,232.0, ,SELL, ,206.1,222.7601320522979,189.43986794770208,4.592422502870333,52.94117647058823
6,2019-02-18,20600.0,74,20674.0,0.0,BUY,BUY, ,207.3,219.77557613900075,194.82442386099927,-10.25274201239909,37.93103448275862
7,2019-02-20,21600.0,99,20674.0,827.0, ,SELL, ,208.7,219.30377291344948,198.0962270865505,54.52501405283897,72.41379310344827
8,2019-03-13,23400.0,84,23484.0,0.0,BUY, , ,230.0,260.5941170815569,199.40588291844315,25.21342068691687,23.80952380952381
9,2019-03-14,24000.0,110,23484.0,406.0,SELL,SELL, ,231.8,260.22252627758496,203.37747372241503,57.50224618149146,38.095238095238095
10,2019-03-19,24000.0,86,24086.0,0.0,BUY, , ,236.8,255.3644822173959,218.23551778260412,30.167597765363325,57.142857142857146
11,2019-04-02,23200.0,106,24086.0,-992.0, ,SELL, ,229.8,243.76567220007712,215.8343277999229,12.609314622737418,50.0
12,2019-04-04,23600.0,84,23684.0,0.0,BUY, , ,230.2,244.44921050444572,215.95078949555426,54.22274234445111,60.0
13,2019-04-05,23600.0,108,23684.0,-192.0, ,SELL,SELL,230.3,244.68193311067768,215.91806688932235,47.703528484131255,80.0
14,2019-04-08,22800.0,82,22882.0,0.0,BUY, , ,229.9,244.06898020324707,215.73101979675295,10.99572388515583,57.142857142857146
15,2019-04-10,24800.0,114,22882.0,1804.0, ,SELL,SELL,230.5,246.69259089830922,214.30740910169078,138.0692167577415,90.0
16,2019-04-26,25400.0,91,25491.0,0.0,BUY, , ,245.7,271.6622803312806,219.73771966871936,38.123167155425215,57.142857142857146
17,2019-04-29,26000.0,119,25491.0,390.0,SELL,SELL, ,247.3,272.6385082433832,221.9614917566168,76.7386091127099,62.5
18,2019-05-02,25400.0,91,25491.0,0.0,BUY, , ,250.6,273.3719125239844,227.82808747601558,31.63764652327314,40.0
19,2019-05-27,25000.0,115,25491.0,-606.0, ,SELL,SELL,243.1,259.6638159854549,226.53618401454506,48.50746268656706,80.95238095238095
20,2019-05-29,24000.0,86,24086.0,0.0,BUY, , ,241.8,256.10524379379865,227.49475620620137,4.51467268623031,57.142857142857146
21,2019-05-31,25000.0,115,24086.0,799.0, ,SELL,SELL,241.6,255.31714255958633,227.88285744041366,74.16614874663388,80.95238095238095
22,2019-06-21,26400.0,95,26495.0,0.0,BUY, , ,255.8,277.26252548047387,234.33747451952615,37.794923403779464,33.333333333333336
23,2019-06-24,26400.0,121,26495.0,-216.0,SELL,SELL, ,257.0,277.4548282808726,236.54517171912735,49.35672514619864,33.333333333333336
24,2019-07-08,27600.0,99,27699.0,0.0,BUY, , ,272.5,291.7613602842569,253.2386397157431,22.988505747126414,52.0
25,2019-07-09,28400.0,130,27699.0,571.0, ,SELL, ,273.3,293.06967374540983,253.53032625459016,72.61292166952542,68.0
26,2019-07-17,27600.0,99,27699.0,0.0,BUY, , ,277.7,295.28522106770157,260.1147789322984,10.173548773189637,33.333333333333336
27,2019-07-18,28000.0,128,27699.0,173.0, ,SELL, ,278.2,295.44644890984614,260.95355109015384,12.458073790129447,44.44444444444444
28,2019-07-22,28000.0,100,28100.0,0.0,BUY, , ,280.0,294.53272169966556,265.46727830033444,17.01570680628282,44.44444444444444
29,2019-07-24,28600.0,131,28100.0,369.0, ,SELL, ,281.5,293.0844723660565,269.9155276339435,33.65079365079445,78.57142857142857
