,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,SO,BB_MAVG_20
0,2019-02-07,20400.0,73,20473.0,0.0,BUY, ,200.5
1,2019-02-11,20600.0,94,20473.0,33.0,SELL, ,202.65
2,2019-02-12,20400.0,73,20473.0,0.0,BUY, ,203.35
3,2019-02-21,23400.0,107,20473.0,2820.0,SELL, ,209.9
4,2019-03-13,23400.0,84,23484.0,0.0,BUY, ,230.0
5,2019-03-14,24000.0,110,23484.0,406.0,SELL, ,231.8
6,2019-03-19,24000.0,86,24086.0,0.0,BUY, ,236.8
7,2019-04-03,23200.0,106,24086.0,-992.0,SELL, ,229.9
8,2019-04-04,23600.0,84,23684.0,0.0,BUY, ,230.2
9,2019-04-05,23600.0,108,23684.0,-192.0, ,SELL,230.3
10,2019-04-08,22800.0,82,22882.0,0.0,BUY, ,229.9
11,2019-04-10,24800.0,114,22882.0,1804.0, ,SELL,230.5
12,2019-04-26,25400.0,91,25491.0,0.0,BUY, ,245.7
13,2019-04-29,26000.0,119,25491.0,390.0,SELL, ,247.3
14,2019-05-02,25400.0,91,25491.0,0.0,BUY, ,250.6
15,2019-05-27,25000.0,115,25491.0,-606.0, ,SELL,243.1
16,2019-05-29,24000.0,86,24086.0,0.0,BUY, ,241.8
17,2019-05-31,25000.0,115,24086.0,799.0, ,SELL,241.6
18,2019-06-21,26400.0,95,26495.0,0.0,BUY, ,255.8
19,2019-06-24,26400.0,121,26495.0,-216.0,SELL, ,257.0
20,2019-07-08,27600.0,99,27699.0,0.0,BUY, ,272.5
21,2019-07-10,28000.0,128,27699.0,173.0,SELL, ,273.9
22,2019-07-17,27600.0,99,27699.0,0.0,BUY, ,277.7
23,2019-07-19,28400.0,130,27699.0,571.0,SELL, ,279.2
24,2019-07-22,28000.0,100,28100.0,0.0,BUY, ,280.0
25,2019-07-25,30600.0,140,28100.0,2360.0,SELL, ,283.2
26,2019-08-05,29400.0,105,29505.0,0.0,BUY, ,289.8
27,2019-08-07,30400.0,139,29505.0,756.0,SELL, ,292.3
28,2019-08-15,30600.0,110,30710.0,0.0,BUY, ,301.0
29,2019-08-16,31600.0,145,30710.0,745.0,SELL, ,302.6
30,2019-08-21,30800.0,110,30910.0,0.0,BUY, ,306.9
31,2019-08-22,31000.0,142,30910.0,-52.0, ,SELL,307.1
32,2019-08-23,30600.0,110,30710.0,0.0,BUY, ,307.2
33,2019-10-10,30000.0,138,30710.0,-848.0, ,SELL,293.0
34,2019-10-30,30000.0,108,30108.0,0.0, ,BUY,299.6
35,2019-11-01,31200.0,143,30108.0,949.0,SELL, ,301.1
36,2019-11-20,31400.0,113,31513.0,0.0,BUY, ,317.8
37,2019-12-02,33200.0,152,31513.0,1535.0,SELL, ,322.1
38,2019-12-03,32400.0,116,32516.0,0.0,BUY, ,321.9
