,Date,Close Price,Fee,Purchased Price,Capital Gain,CCI,SO,CCI_20
0,2019-02-12,20400.0,73,20473.0,0.0,BUY, ,-11.791202967673462
1,2019-02-13,20600.0,94,20473.0,33.0,SELL, ,12.523663899810723
2,2019-02-18,20600.0,74,20674.0,0.0,BUY, ,-10.25274201239909
3,2019-02-20,21600.0,99,20674.0,827.0,SELL, ,54.52501405283897
4,2019-03-20,22400.0,80,22480.0,0.0,BUY, ,-104.0068201193523
5,2019-04-02,23200.0,106,22480.0,614.0,SELL, ,12.609314622737418
6,2019-04-09,22800.0,82,22882.0,0.0,BUY, ,-42.06349206349201
7,2019-04-10,24800.0,114,22882.0,1804.0,SELL, ,138.0692167577415
8,2019-05-03,24000.0,86,24086.0,0.0,BUY, ,-97.60589318600384
9,2019-05-27,25000.0,115,24086.0,799.0,SELL, ,48.50746268656706
10,2019-05-30,24000.0,86,24086.0,0.0,BUY, ,-10.482180293501168
11,2019-05-31,25000.0,115,24086.0,799.0,SELL, ,74.16614874663388
12,2019-07-23,27600.0,99,27699.0,0.0,BUY, ,-41.025641025640404
13,2019-07-24,28600.0,131,27699.0,770.0,SELL, ,33.65079365079445
14,2019-08-23,30600.0,110,30710.0,0.0,BUY, ,-4.79616306954409
15,2019-08-30,31000.0,142,30710.0,148.0,SELL, ,44.59124690338553
16,2019-09-03,30200.0,108,30308.0,0.0,BUY, ,-85.9259259259261
17,2019-10-10,30000.0,138,30308.0,-446.0,SELL, ,77.38095238095296
18,2019-10-30,30000.0,108,30108.0,0.0, ,BUY,79.18968692449296
19,2019-10-31,30200.0,138,30108.0,-46.0,SELL, ,29.16666666666705
20,2019-11-20,31400.0,113,31513.0,0.0,BUY, ,-13.185002060156531
21,2019-12-02,33200.0,152,31513.0,1535.0,SELL, ,78.52193995381063
22,2019-12-04,30000.0,108,30108.0,0.0,BUY, ,-120.99066179455932
