,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,MFII_14
0,2019-02-12,20400.0,73,20473.0,0.0, ,BUY,59.93259809343986
1,2019-02-13,20600.0,94,20473.0,33.0, ,SELL,54.403258734427595
2,2019-02-18,20600.0,74,20674.0,0.0, ,BUY,70.0164965878854
3,2019-02-20,21600.0,99,20674.0,827.0, ,SELL,66.63740482558637
4,2019-03-20,22400.0,80,22480.0,0.0, ,BUY,45.885710652572975
5,2019-04-02,23200.0,106,22480.0,614.0, ,SELL,46.48621984629004
6,2019-04-09,22800.0,82,22882.0,0.0, ,BUY,32.4465726169184
7,2019-04-10,24800.0,114,22882.0,1804.0, ,SELL,64.55385635861803
8,2019-05-03,24000.0,86,24086.0,0.0, ,BUY,61.358432316844436
9,2019-05-27,25000.0,115,24086.0,799.0, ,SELL,54.996844962037756
10,2019-05-30,24000.0,86,24086.0,0.0, ,BUY,29.597924973907936
11,2019-05-31,25000.0,115,24086.0,799.0, ,SELL,33.79930989503518
12,2019-07-23,27600.0,99,27699.0,0.0, ,BUY,43.45761854110293
13,2019-07-24,28600.0,131,27699.0,770.0, ,SELL,53.20243938991512
14,2019-08-23,30600.0,110,30710.0,0.0, ,BUY,65.53367908465148
15,2019-08-30,31000.0,142,30710.0,148.0, ,SELL,46.065030018092
16,2019-09-03,30200.0,108,30308.0,0.0, ,BUY,42.44667786228404
17,2019-10-10,30000.0,138,30308.0,-446.0, ,SELL,43.5581125303886
18,2019-11-20,31400.0,113,31513.0,0.0, ,BUY,58.516129329015364
19,2019-12-02,33200.0,152,31513.0,1535.0, ,SELL,42.716712171476004
20,2019-12-04,30000.0,108,30108.0,0.0, ,BUY,36.77375860723783
