,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-12,20400.0,73,20473.0,0.0, ,BUY, ,59.93259809343986,-11.791202967673462,38.888888888888886
1,2019-02-13,20600.0,94,20473.0,33.0, ,SELL, ,54.403258734427595,12.523663899810723,47.05882352941177
2,2019-02-18,20600.0,74,20674.0,0.0, ,BUY, ,70.0164965878854,-10.25274201239909,37.93103448275862
3,2019-02-20,21600.0,99,20674.0,827.0, ,SELL, ,66.63740482558637,54.52501405283897,72.41379310344827
4,2019-03-20,22400.0,80,22480.0,0.0, ,BUY,BUY,45.885710652572975,-104.0068201193523,0.0
5,2019-04-02,23200.0,106,22480.0,614.0, ,SELL, ,46.48621984629004,12.609314622737418,50.0
6,2019-04-09,22800.0,82,22882.0,0.0, ,BUY, ,32.4465726169184,-42.06349206349201,57.142857142857146
7,2019-04-10,24800.0,114,22882.0,1804.0, ,SELL,SELL,64.55385635861803,138.0692167577415,90.0
8,2019-05-03,24000.0,86,24086.0,0.0, ,BUY, ,61.358432316844436,-97.60589318600384,24.0
9,2019-05-27,25000.0,115,24086.0,799.0, ,SELL,SELL,54.996844962037756,48.50746268656706,80.95238095238095
10,2019-05-30,24000.0,86,24086.0,0.0, ,BUY, ,29.597924973907936,-10.482180293501168,57.142857142857146
11,2019-05-31,25000.0,115,24086.0,799.0, ,SELL,SELL,33.79930989503518,74.16614874663388,80.95238095238095
12,2019-07-23,27600.0,99,27699.0,0.0, ,BUY, ,43.45761854110293,-41.025641025640404,35.294117647058826
13,2019-07-24,28600.0,131,27699.0,770.0, ,SELL, ,53.20243938991512,33.65079365079445,78.57142857142857
14,2019-08-23,30600.0,110,30710.0,0.0, ,BUY, ,65.53367908465148,-4.79616306954409,74.07407407407408
15,2019-08-30,31000.0,142,30710.0,148.0, ,SELL, ,46.065030018092,44.59124690338553,54.54545454545455
16,2019-09-03,30200.0,108,30308.0,0.0, ,BUY,BUY,42.44667786228404,-85.9259259259261,18.181818181818183
17,2019-10-10,30000.0,138,30308.0,-446.0, ,SELL,SELL,43.5581125303886,77.38095238095296,100.0
18,2019-10-30,30000.0,108,30108.0,0.0, , ,BUY,86.71024566036452,79.18968692449296,10.0
19,2019-10-31,30200.0,138,30108.0,-46.0, ,SELL, ,76.37707563414395,29.16666666666705,20.0
20,2019-11-20,31400.0,113,31513.0,0.0, ,BUY,BUY,58.516129329015364,-13.185002060156531,19.23076923076923
21,2019-12-02,33200.0,152,31513.0,1535.0, ,SELL, ,42.716712171476004,78.52193995381063,63.63636363636363
22,2019-12-04,30000.0,108,30108.0,0.0, ,BUY, ,36.77375860723783,-120.99066179455932,20.833333333333332
