,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,BB_MAVG_20,BB_atas_20,BB_bawah_20
0,2019-02-08,59500.0,214,59714.0,0.0,BUY,615.5,669.5277706369604,561.4722293630396
1,2019-04-03,57500.0,264,59714.0,-2478.0,SELL,574.0,587.2664991614216,560.7335008385784
2,2019-04-04,55500.0,199,55699.0,0.0,BUY,572.5,587.1628782986152,557.8371217013848
3,2019-04-10,57500.0,264,55699.0,1537.0,SELL,573.0,587.2828568570857,558.7171431429143
4,2019-04-15,57000.0,205,57205.0,0.0,BUY,573.25,588.1748115565993,558.3251884434007
5,2019-04-19,57500.0,264,57205.0,31.0,SELL,571.75,584.8934394280949,558.6065605719051
6,2019-04-22,57000.0,205,57205.0,0.0,BUY,572.0,584.8062484748657,559.1937515251343
7,2019-04-23,60500.0,278,57205.0,3017.0,SELL,574.0,592.8679622641132,555.1320377358868
8,2019-04-25,57500.0,207,57707.0,0.0,BUY,575.25,596.100659461993,554.399340538007
9,2019-06-12,51500.0,236,57707.0,-6443.0,SELL,509.95,522.4475997695561,497.45240023044386
10,2019-06-13,54500.0,196,54696.0,0.0,BUY,511.95,531.4689651365027,492.4310348634973
11,2019-06-14,53000.0,243,54696.0,-1939.0,SELL,512.7,533.7247473230955,491.6752526769046
12,2019-06-17,50500.0,181,50681.0,0.0,BUY,512.45,533.7147595801131,491.185240419887
13,2019-06-27,51500.0,236,50681.0,583.0,SELL,514.75,535.6006594619932,493.8993405380068
14,2019-06-28,51500.0,185,51685.0,0.0,BUY,514.75,535.6006594619932,493.8993405380068
15,2019-09-10,37800.0,173,51685.0,-14058.0,SELL,359.5,385.93860813280867,333.06139186719133
16,2019-09-18,35400.0,127,35527.0,0.0,BUY,359.0,386.84241368847563,331.15758631152437
17,2019-10-29,32400.0,149,35527.0,-3276.0,SELL,321.5,330.87016542011315,312.12983457988685
18,2019-11-01,31800.0,114,31914.0,0.0,BUY,322.4,334.30630085292165,310.4936991470783
19,2019-11-06,32600.0,149,31914.0,537.0,SELL,322.8,334.4893113569741,311.1106886430259
20,2019-11-07,32000.0,115,32115.0,0.0,BUY,322.6,334.3371206009091,310.86287939909096
21,2019-12-11,29600.0,136,32115.0,-2651.0,SELL,275.6,317.96224734360055,233.23775265639946
22,2019-12-30,28000.0,100,28100.0,0.0,BUY,282.4,325.02581377522745,239.7741862247725
