,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,CCI,SO,MFII_14,CCI_20,SO_14
0,2019-02-13,59000.0,212,59212.0,0.0, ,BUY,BUY,38.97626876220972,-104.30839002267597,11.11111111111111
1,2019-04-23,60500.0,278,59212.0,1010.0, , ,SELL,77.71108377472123,323.4567901234565,91.66666666666667
2,2019-04-30,54000.0,194,54194.0,0.0, , ,BUY,53.18363196129732,-211.2068965517253,11.764705882352942
3,2019-09-09,37800.0,173,54194.0,-16567.0,SELL,SELL, ,81.23869864733001,86.85968819599128,60.0
4,2019-09-19,34800.0,125,34925.0,0.0, ,BUY,BUY,70.91425527032052,-74.74862454942135,17.142857142857142
5,2019-10-28,33800.0,155,34925.0,-1280.0, ,SELL,SELL,78.24402530436413,183.67346938775387,92.3076923076923
6,2019-11-01,31800.0,114,31914.0,0.0, ,BUY,BUY,73.88500155696006,-51.50631681243871,8.695652173913043
7,2019-11-06,32600.0,149,31914.0,537.0,SELL,SELL, ,80.03660180833846,54.708303074316746,26.08695652173913
8,2019-11-07,32000.0,115,32115.0,0.0, ,BUY,BUY,73.55417462703268,-29.640427599610767,13.043478260869565
9,2019-12-10,29600.0,136,32115.0,-2651.0, ,SELL,SELL,42.46666025952023,33.816425120772884,85.71428571428571
