,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,MFII_14
0,2019-02-08,59500.0,214,59714.0,0.0, ,BUY,62.23064264715913
1,2019-04-03,57500.0,264,59714.0,-2478.0, ,SELL,65.74617340317415
2,2019-04-04,55500.0,199,55699.0,0.0, ,BUY,58.803361961405635
3,2019-04-10,57500.0,264,55699.0,1537.0, ,SELL,63.3388729061322
4,2019-04-15,57000.0,205,57205.0,0.0, ,BUY,76.36451018811468
5,2019-04-19,57500.0,264,57205.0,31.0, ,SELL,70.21386576542358
6,2019-04-22,57000.0,205,57205.0,0.0, ,BUY,68.26266404920665
7,2019-04-23,60500.0,278,57205.0,3017.0, ,SELL,77.71108377472123
8,2019-04-25,57500.0,207,57707.0,0.0, ,BUY,79.32249684207157
9,2019-06-12,51500.0,236,57707.0,-6443.0, ,SELL,73.41661590596996
10,2019-06-13,54500.0,196,54696.0,0.0, ,BUY,88.33013644239237
11,2019-06-14,53000.0,243,54696.0,-1939.0, ,SELL,79.67905151224122
12,2019-06-17,50500.0,181,50681.0,0.0, ,BUY,71.46301215651437
13,2019-06-27,51500.0,236,50681.0,583.0, ,SELL,65.25407981182076
14,2019-06-28,51500.0,185,51685.0,0.0, ,BUY,63.66814309826598
15,2019-09-09,37800.0,173,51685.0,-14058.0,SELL, ,81.23869864733001
16,2019-09-18,35400.0,127,35527.0,0.0, ,BUY,74.68311211234582
17,2019-10-29,32400.0,149,35527.0,-3276.0, ,SELL,63.863463601081904
18,2019-11-01,31800.0,114,31914.0,0.0, ,BUY,73.88500155696006
19,2019-11-06,32600.0,149,31914.0,537.0,SELL, ,80.03660180833846
20,2019-11-07,32000.0,115,32115.0,0.0, ,BUY,73.55417462703268
21,2019-12-11,29600.0,136,32115.0,-2651.0, ,SELL,45.76083681972824
22,2019-12-30,28000.0,100,28100.0,0.0, ,BUY,70.41108229917936
