,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,CCI,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
0,2019-02-08,59500.0,214,59714.0,0.0, ,BUY,BUY, ,62.23064264715913,615.5,669.5277706369604,561.4722293630396,-43.9999999999996,26.08695652173913
1,2019-02-21,62500.0,287,59714.0,2499.0, , ,SELL, ,49.72223259787134,613.0,656.6348484585428,569.3651515414572,7.3884626314292605,68.75
2,2019-02-22,62500.0,225,62725.0,0.0, ,BUY, , ,58.57860344917582,612.5,655.3368999812078,569.6631000187922,27.55790090882454,68.75
3,2019-02-25,61000.0,280,62725.0,-2005.0, , ,SELL, ,55.25662166624243,611.75,654.2088035629832,569.2911964370168,18.770814411141263,50.0
4,2019-02-26,60500.0,217,60717.0,0.0, ,BUY,BUY, ,47.468158856058686,611.25,653.7794015946615,568.7205984053385,-21.621621621621635,43.75
5,2019-03-21,58500.0,269,60717.0,-2486.0, , ,SELL, ,57.74509117997091,584.25,614.7909561081509,553.7090438918491,0.5012531328323082,50.0
6,2019-03-22,58000.0,208,58208.0,0.0, ,BUY,BUY, ,49.4074886437691,582.0,606.1660919471891,557.8339080528109,-31.578947368421055,44.44444444444444
7,2019-04-03,57500.0,264,58208.0,-972.0, ,SELL, , ,65.74617340317415,574.0,587.2664991614216,560.7335008385784,-4.219409282699484,40.0
8,2019-04-04,55500.0,199,55699.0,0.0, ,BUY,BUY,BUY,58.803361961405635,572.5,587.1628782986152,557.8371217013848,-189.8989898989896,9.090909090909092
9,2019-04-10,57500.0,264,55699.0,1537.0, ,SELL,SELL, ,63.3388729061322,573.0,587.2828568570857,558.7171431429143,35.08771929824514,62.5
10,2019-04-15,57000.0,205,57205.0,0.0, ,BUY, , ,76.36451018811468,573.25,588.1748115565993,558.3251884434007,6.060606060606074,36.36363636363637
11,2019-04-19,57500.0,264,57205.0,31.0, ,SELL,SELL, ,70.21386576542358,571.75,584.8934394280949,558.6065605719051,35.714285714285666,45.45454545454545
12,2019-04-22,57000.0,205,57205.0,0.0, ,BUY, , ,68.26266404920665,572.0,584.8062484748657,559.1937515251343,30.905077262693112,36.36363636363637
13,2019-04-23,60500.0,278,57205.0,3017.0, ,SELL, ,SELL,77.71108377472123,574.0,592.8679622641132,555.1320377358868,323.4567901234565,91.66666666666667
14,2019-04-25,57500.0,207,57707.0,0.0, ,BUY, , ,79.32249684207157,575.25,596.100659461993,554.399340538007,52.18855218855226,27.272727272727273
15,2019-04-26,58000.0,266,57707.0,27.0, , ,SELL, ,76.31547451557118,575.75,596.5526440627148,554.9473559372852,30.75644222776328,36.36363636363637
16,2019-04-29,58000.0,208,58208.0,0.0, ,BUY, , ,75.55787196274592,576.0,596.8806130178211,555.1193869821789,42.0711974110038,36.36363636363637
17,2019-06-11,51500.0,236,58208.0,-6944.0, , ,SELL, ,74.65267405992374,510.2,523.2782261794177,497.1217738205822,38.88888888888947,67.74193548387096
18,2019-06-13,54500.0,196,54696.0,0.0, ,BUY, , ,88.33013644239237,511.95,531.4689651365027,492.4310348634973,364.2611683848791,75.0
19,2019-06-14,53000.0,243,54696.0,-1939.0, ,SELL, , ,79.67905151224122,512.7,533.7247473230955,491.6752526769046,257.24637681159373,50.0
20,2019-06-17,50500.0,181,50681.0,0.0, ,BUY, ,BUY,71.46301215651437,512.45,533.7147595801131,491.185240419887,19.819819819818996,8.333333333333334
21,2019-06-20,52000.0,239,50681.0,1080.0, , ,SELL, ,70.51070379992173,513.5,533.524984394501,493.47501560549904,31.368102796674126,33.333333333333336
22,2019-06-21,51000.0,183,51183.0,0.0, ,BUY, ,BUY,75.0174155631612,513.5,533.524984394501,493.47501560549904,26.354319180086588,16.666666666666668
23,2019-06-25,53500.0,246,51183.0,2071.0, , ,SELL, ,77.28279948764143,515.25,536.5748681121363,493.92513188786376,125.2989000478246,58.333333333333336
24,2019-06-26,51500.0,185,51685.0,0.0, ,BUY, , ,68.38124832133597,514.75,535.6006594619932,493.8993405380068,77.4365821094797,25.0
25,2019-06-27,51500.0,236,51685.0,-421.0, ,SELL,SELL, ,65.25407981182076,514.75,535.6006594619932,493.8993405380068,22.747156605425058,25.0
26,2019-06-28,51500.0,185,51685.0,0.0, ,BUY,BUY, ,63.66814309826598,514.75,535.6006594619932,493.8993405380068,-12.248468941381898,25.0
27,2019-07-01,52500.0,241,51685.0,574.0, , ,SELL, ,67.40702326043606,515.5,536.6896201004172,494.31037989958276,66.66666666666593,41.666666666666664
28,2019-07-02,52000.0,187,52187.0,0.0, ,BUY, , ,63.20807178179223,516.0,537.118712081943,494.881287918057,58.25242718446586,27.272727272727273
29,2019-09-09,37800.0,173,52187.0,-14560.0,SELL, ,SELL, ,81.23869864733001,360.0,388.1424945589444,331.8575054410556,86.85968819599128,60.0
30,2019-09-18,35400.0,127,35527.0,0.0, ,BUY,BUY, ,74.68311211234582,359.0,386.84241368847563,331.15758631152437,-31.377106333526903,25.714285714285715
31,2019-10-28,33800.0,155,35527.0,-1882.0, , ,SELL,SELL,78.24402530436413,321.9,332.2903801663021,311.50961983369785,183.67346938775387,92.3076923076923
32,2019-11-01,31800.0,114,31914.0,0.0, ,BUY,BUY,BUY,73.88500155696006,322.4,334.30630085292165,310.4936991470783,-51.50631681243871,8.695652173913043
33,2019-11-05,32400.0,149,31914.0,337.0, , ,SELL, ,76.83802892920934,322.7,334.312062693608,311.08793730639195,39.33434190620302,21.73913043478261
34,2019-11-07,32000.0,115,32115.0,0.0, ,BUY,BUY,BUY,73.55417462703268,322.6,334.3371206009091,310.86287939909096,-29.640427599610767,13.043478260869565
35,2019-12-10,29600.0,136,32115.0,-2651.0, , ,SELL,SELL,42.46666025952023,276.6,321.69722829620895,231.50277170379107,33.816425120772884,85.71428571428571
36,2019-12-30,28000.0,100,28100.0,0.0, ,BUY, , ,70.41108229917936,282.4,325.02581377522745,239.7741862247725,2.945508100147107,24.137931034482758
