,Date,Close Price,Fee,Purchased Price,Capital Gain,MFII,BB,SO,MFII_14,BB_MAVG_20,BB_atas_20,BB_bawah_20,SO_14
0,2019-02-08,59500.0,214,59714.0,0.0, ,BUY, ,62.23064264715913,615.5,669.5277706369604,561.4722293630396,26.08695652173913
1,2019-04-03,57500.0,264,59714.0,-2478.0, ,SELL, ,65.74617340317415,574.0,587.2664991614216,560.7335008385784,40.0
2,2019-04-04,55500.0,199,55699.0,0.0, ,BUY,BUY,58.803361961405635,572.5,587.1628782986152,557.8371217013848,9.090909090909092
3,2019-04-10,57500.0,264,55699.0,1537.0, ,SELL, ,63.3388729061322,573.0,587.2828568570857,558.7171431429143,62.5
4,2019-04-15,57000.0,205,57205.0,0.0, ,BUY, ,76.36451018811468,573.25,588.1748115565993,558.3251884434007,36.36363636363637
5,2019-04-19,57500.0,264,57205.0,31.0, ,SELL, ,70.21386576542358,571.75,584.8934394280949,558.6065605719051,45.45454545454545
6,2019-04-22,57000.0,205,57205.0,0.0, ,BUY, ,68.26266404920665,572.0,584.8062484748657,559.1937515251343,36.36363636363637
7,2019-04-23,60500.0,278,57205.0,3017.0, ,SELL,SELL,77.71108377472123,574.0,592.8679622641132,555.1320377358868,91.66666666666667
8,2019-04-25,57500.0,207,57707.0,0.0, ,BUY, ,79.32249684207157,575.25,596.100659461993,554.399340538007,27.272727272727273
9,2019-06-12,51500.0,236,57707.0,-6443.0, ,SELL, ,73.41661590596996,509.95,522.4475997695561,497.45240023044386,60.0
10,2019-06-13,54500.0,196,54696.0,0.0, ,BUY, ,88.33013644239237,511.95,531.4689651365027,492.4310348634973,75.0
11,2019-06-14,53000.0,243,54696.0,-1939.0, ,SELL, ,79.67905151224122,512.7,533.7247473230955,491.6752526769046,50.0
12,2019-06-17,50500.0,181,50681.0,0.0, ,BUY,BUY,71.46301215651437,512.45,533.7147595801131,491.185240419887,8.333333333333334
13,2019-06-27,51500.0,236,50681.0,583.0, ,SELL, ,65.25407981182076,514.75,535.6006594619932,493.8993405380068,25.0
14,2019-06-28,51500.0,185,51685.0,0.0, ,BUY, ,63.66814309826598,514.75,535.6006594619932,493.8993405380068,25.0
15,2019-09-09,37800.0,173,51685.0,-14058.0,SELL, , ,81.23869864733001,360.0,388.1424945589444,331.8575054410556,60.0
16,2019-09-18,35400.0,127,35527.0,0.0, ,BUY, ,74.68311211234582,359.0,386.84241368847563,331.15758631152437,25.714285714285715
17,2019-10-28,33800.0,155,35527.0,-1882.0, , ,SELL,78.24402530436413,321.9,332.2903801663021,311.50961983369785,92.3076923076923
18,2019-11-01,31800.0,114,31914.0,0.0, ,BUY,BUY,73.88500155696006,322.4,334.30630085292165,310.4936991470783,8.695652173913043
19,2019-11-06,32600.0,149,31914.0,537.0,SELL,SELL, ,80.03660180833846,322.8,334.4893113569741,311.1106886430259,26.08695652173913
20,2019-11-07,32000.0,115,32115.0,0.0, ,BUY,BUY,73.55417462703268,322.6,334.3371206009091,310.86287939909096,13.043478260869565
21,2019-12-10,29600.0,136,32115.0,-2651.0, , ,SELL,42.46666025952023,276.6,321.69722829620895,231.50277170379107,85.71428571428571
22,2019-12-30,28000.0,100,28100.0,0.0, ,BUY, ,70.41108229917936,282.4,325.02581377522745,239.7741862247725,24.137931034482758
