,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
0,2019-01-28,213000.0,766,213766.0,0.0,BUY, ,2187.0
1,2019-02-15,234000.0,1076,213766.0,19158.0, ,SELL,2166.5
2,2019-03-08,235000.0,846,235846.0,0.0,BUY, ,2404.0
3,2019-03-12,246000.0,1131,235846.0,9023.0, ,SELL,2437.0
4,2019-04-05,264000.0,950,264950.0,0.0,BUY, ,2633.5
5,2019-04-11,267000.0,1228,264950.0,822.0, ,SELL,2648.0
6,2019-05-02,278000.0,1000,279000.0,0.0,BUY, ,2781.0
7,2019-05-06,285000.0,1311,279000.0,4689.0, ,SELL,2804.0
8,2019-05-10,293000.0,1054,294054.0,0.0,BUY, ,2865.0
9,2019-05-24,279000.0,1283,294054.0,-16337.0, ,SELL,2787.5
10,2019-05-28,279000.0,1004,280004.0,0.0,BUY, ,2776.5
11,2019-05-29,290000.0,1334,280004.0,8662.0,SELL, ,2775.5
12,2019-06-13,286000.0,1029,287029.0,0.0,BUY, ,2811.5
13,2019-06-14,286000.0,1315,287029.0,-2344.0,SELL, ,2827.5
14,2019-06-17,285000.0,1026,286026.0,0.0,BUY, ,2837.5
15,2019-06-18,291000.0,1338,286026.0,3636.0,SELL, ,2849.5
16,2019-06-21,290000.0,1044,291044.0,0.0,BUY, ,2875.0
17,2019-06-26,292000.0,1343,291044.0,-387.0, ,SELL,2887.5
18,2019-07-03,286000.0,1029,287029.0,0.0,BUY, ,2904.0
19,2019-07-09,293000.0,1347,287029.0,4624.0, ,SELL,2905.0
20,2019-07-10,289000.0,1040,290040.0,0.0,BUY, ,2902.5
21,2019-07-16,294000.0,1352,290040.0,2608.0, ,SELL,2910.5
22,2019-07-17,298000.0,1072,299072.0,0.0,BUY, ,2914.0
23,2019-07-18,311000.0,1430,299072.0,10498.0,SELL, ,2920.0
24,2019-08-05,313000.0,1126,314126.0,0.0,BUY, ,3096.0
25,2019-08-06,314000.0,1444,314126.0,-1570.0, ,SELL,3106.5
26,2019-08-16,325000.0,1170,326170.0,0.0,BUY, ,3250.0
27,2019-08-22,335000.0,1541,326170.0,7289.0,SELL, ,3274.5
28,2019-08-23,333000.0,1198,334198.0,0.0,BUY, ,3282.5
29,2019-08-26,332000.0,1527,334198.0,-3725.0, ,SELL,3285.0
30,2019-08-27,338000.0,1216,339216.0,0.0,BUY, ,3289.0
31,2019-08-28,333000.0,1531,339216.0,-7747.0, ,SELL,3294.0
32,2019-09-06,327000.0,1177,328177.0,0.0,BUY, ,3369.5
33,2019-09-10,328000.0,1508,328177.0,-1685.0, ,SELL,3362.5
34,2019-09-11,327000.0,1177,328177.0,0.0,BUY, ,3358.0
35,2019-09-13,345000.0,1587,328177.0,15236.0, ,SELL,3369.5
36,2019-09-16,338000.0,1216,339216.0,0.0,BUY, ,3376.0
37,2019-09-17,344000.0,1582,339216.0,3202.0,SELL, ,3385.5
38,2019-09-20,341000.0,1227,342227.0,0.0,BUY, ,3407.0
39,2019-09-26,350000.0,1610,342227.0,6163.0, ,SELL,3410.0
40,2019-09-30,344000.0,1238,345238.0,0.0,BUY, ,3402.0
41,2019-10-01,345000.0,1587,345238.0,-1825.0, ,SELL,3399.5
42,2019-10-03,338000.0,1216,339216.0,0.0,BUY, ,3390.0
43,2019-10-08,345000.0,1587,339216.0,4197.0, ,SELL,3406.0
44,2019-10-16,353000.0,1270,354270.0,0.0,BUY, ,3435.0
45,2019-10-17,353000.0,1623,354270.0,-2893.0,SELL, ,3438.0
46,2019-10-21,350000.0,1260,351260.0,0.0,BUY, ,3450.0
47,2019-10-22,352000.0,1619,351260.0,-879.0,SELL, ,3461.5
48,2019-10-23,348000.0,1252,349252.0,0.0,BUY, ,3470.5
49,2019-10-28,346000.0,1591,349252.0,-4843.0, ,SELL,3463.5
50,2019-10-31,355000.0,1278,356278.0,0.0,BUY, ,3480.5
51,2019-11-01,352000.0,1619,356278.0,-5897.0, ,SELL,3489.0
52,2019-11-05,350000.0,1260,351260.0,0.0,BUY, ,3501.5
53,2019-11-06,352000.0,1619,351260.0,-879.0, ,SELL,3505.5
54,2019-11-07,350000.0,1260,351260.0,0.0,BUY, ,3506.0
55,2019-11-08,345000.0,1587,351260.0,-7847.0, ,SELL,3504.0
56,2019-11-11,330000.0,1188,331188.0,0.0,BUY, ,3494.5
57,2019-11-19,353000.0,1623,331188.0,20189.0,SELL, ,3480.5
58,2019-11-21,350000.0,1260,351260.0,0.0,BUY, ,3486.5
59,2019-11-22,354000.0,1628,351260.0,1112.0,SELL, ,3494.0
60,2019-11-26,349000.0,1256,350256.0,0.0,BUY, ,3497.0
